"ชื่อกลุ่ม","ทั้งหมด","กลุ่มผ่าตัด","ไม่ผ่าตัด"
"จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","9","324.0381","36.0042","9","324.0381","36.0042","0","0.0000","0.0000"
"01 Diseases and Disorders of the Nervous System","264,275","395,872.0980","1.4980","14,727","141,446.5968","9.6046","249,548","254,425.5012","1.0195"
"02 Diseases and Disorders of the Eye","117,516","144,465.2680","1.2293","101,824","135,923.1123","1.3349","15,692","8,542.1557","0.5444"
"03 Diseases and Disorders of the Ear, Mouth and Throat","169,136","90,446.7860","0.5348","16,208","30,582.0743","1.8869","152,928","59,864.7117","0.3915"
"04 Diseases and Disorders of the Respiratory","536,865","679,310.6021","1.2653","45,392","294,789.8752","6.4943","491,473","384,520.7269","0.7824"
"05 Diseases and Disorders of the Circulation","228,490","393,293.2022","1.7213","24,348","171,515.3253","7.0443","204,142","221,777.8769","1.0864"
"06 Diseases and Disorders of the Digestive System","574,386","560,663.6628","0.9761","138,950","292,658.1955","2.1062","435,436","268,005.4673","0.6155"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","101,017","193,324.9171","1.9138","19,981","70,352.6976","3.5210","81,036","122,972.2195","1.5175"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","229,783","371,498.7443","1.6167","114,294","270,694.4993","2.3684","115,489","100,804.2450","0.8728"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","150,526","157,472.0241","1.0461","28,751","59,695.5505","2.0763","121,775","97,776.4736","0.8029"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","112,101","76,740.8420","0.6846","5,606","14,238.7241","2.5399","106,495","62,502.1179","0.5869"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","239,884","274,256.9692","1.1433","30,486","77,984.3484","2.5580","209,398","196,272.6208","0.9373"
"12 Diseases and Disorders ofthe Male Reproductive System","18,067","23,786.1647","1.3166","8,470","15,387.9934","1.8168","9,597","8,398.1713","0.8751"
"13 Diseases and Disorders ofthe Female Reproductive System","67,392","85,923.6664","1.2750","35,362","55,265.0771","1.5628","32,030","30,658.5893","0.9572"
"14 Pregnancy, Childbirth and Puerperium","435,539","283,295.2158","0.6504","165,523","186,954.1087","1.1295","270,016","96,341.1071","0.3568"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","354,116","207,527.4360","0.5860","24,717","105,648.2451","4.2743","329,399","101,879.1909","0.3093"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","112,888","71,061.7753","0.6295","2,170","4,002.4798","1.8445","110,718","67,059.2955","0.6057"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","21,922","58,617.2349","2.6739","1,198","5,481.3285","4.5754","20,724","53,135.9064","2.5640"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","218,842","172,288.2077","0.7873","6,830","23,891.7753","3.4981","212,012","148,396.4324","0.6999"
"19 Mental Diseases and Disorders","23,513","27,608.7137","1.1742","97","367.5591","3.7893","23,416","27,241.1546","1.1634"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","30,753","21,110.1631","0.6864","21","41.7341","1.9873","30,732","21,068.4290","0.6856"
"21 Injuries, Poisonings and Toxic Effects of Drugs","108,721","64,446.7750","0.5928","8,527","17,999.7887","2.1109","100,194","46,446.9863","0.4636"
"22 Burns","5,841","13,079.0893","2.2392","231","3,017.5446","13.0630","5,610","10,061.5447","1.7935"
"23 Factors Influencing Health Status and Other Contacts with Health Services","24,338","15,151.6626","0.6226","1,341","2,332.0555","1.7390","22,997","12,819.6071","0.5574"
"24 Multiple Significant Trauma","17,629","91,975.6792","5.2173","15,377","82,631.2143","5.3737","2,252","9,344.4649","4.1494"
"25 Human Immunodeficiency Virus HIV Infections","18,484","28,336.2501","1.5330","943","3,203.1797","3.3968","17,541","25,133.0704","1.4328"
"26 Unacceptable, Ungroupable","82,432","14,424.6300","0.1750","5,926","14,423.5263","2.4339","76,506","1.1037","0.0000"
"28 LOS 6 hours or less","64,507","17,359.6636","0.2691","5,974","3,794.8175","0.6352","58,533","13,564.8461","0.2317"
