"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","6","265","44.17","1,904,603.00","317,433.83","192.8028","32.1338","0","0.0000"
"01 Diseases and Disorders of the Nervous System","1,858","16,883","9.09","83,772,328.65","45,087.37","7,920.7540","4.2631","228","4.8369"
"02 Diseases and Disorders of the Eye","4","26","6.50","65,004.25","16,251.06","7.9619","1.9905","1","4.1684"
"03 Diseases and Disorders of the Ear, Mouth and Throat","154","1,353","8.79","3,865,877.31","25,103.10","344.2841","2.2356","10","3.0903"
"04 Diseases and Disorders of the Respiratory","3,808","39,145","10.28","177,527,616.01","46,656.40","20,013.0042","5.2555","415","6.3419"
"05 Diseases and Disorders of the Circulation","1,350","9,481","7.02","47,246,358.63","35,023.25","4,855.3248","3.5965","141","4.0569"
"06 Diseases and Disorders of the Digestive System","1,456","11,653","8.00","66,831,464.19","45,900.73","5,333.4721","3.6631","172","3.7743"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","1,077","8,032","7.46","34,892,568.50","32,397.93","3,576.4276","3.3207","80","3.6604"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","309","4,184","13.54","21,581,447.91","69,842.87","1,540.8927","4.9867","46","4.8792"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","444","6,902","15.55","20,152,486.80","45,388.48","1,576.3258","3.5503","24","2.9700"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","231","2,076","8.99","10,013,964.75","43,350.50","505.0678","2.1864","22","2.1564"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","880","7,670","8.72","32,832,832.21","37,310.04","2,698.8314","3.0669","92","4.0312"
"12 Diseases and Disorders ofthe Male Reproductive System","39","401","10.28","1,269,096.00","32,540.92","141.1502","3.6192","0","0.0000"
"13 Diseases and Disorders ofthe Female Reproductive System","99","874","8.83","2,468,008.50","24,929.38","228.2780","2.3058","6","6.7964"
"14 Pregnancy, Childbirth and Puerperium","9","23","2.56","213,673.00","23,741.44","5.9538","0.6615","0","0.0000"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","186","2,096","11.27","10,559,969.57","56,774.03","1,347.2748","7.2434","15","6.4692"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","67","525","7.84","2,256,158.46","33,674.01","147.2014","2.1970","9","2.2471"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","197","1,836","9.32","7,028,339.75","35,676.85","779.4078","3.9564","11","3.6650"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","1,003","6,814","6.79","32,602,183.93","32,537.11","3,094.3358","3.0851","145","3.4110"
"19 Mental Diseases and Disorders","6","22","3.67","61,089.00","10,181.50","10.0330","1.6722","0","0.0000"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","21","120","5.71","468,151.75","22,292.94","28.9082","1.3766","4","1.5255"
"21 Injuries, Poisonings and Toxic Effects of Drugs","195","955","4.90","5,216,209.47","26,749.79","449.0749","2.3029","35","2.2929"
"22 Burns","15","218","14.53","1,682,462.00","112,164.13","199.4733","13.2982","0","0.0000"
"23 Factors Influencing Health Status and Other Contacts with Health Services","46","911","19.80","3,377,735.50","73,429.03","199.4684","4.3363","0","0.0000"
"24 Multiple Significant Trauma","100","906","9.06","10,199,063.25","101,990.63","856.8653","8.5687","17","10.4650"
"25 Human Immunodeficiency Virus HIV Infections","393","3,544","9.02","14,245,205.27","36,247.34","949.5397","2.4161","55","2.3758"
"26 Unacceptable, Ungroupable","229","2,404","10.50","10,652,235.90","46,720.33","177.7809","6.1304","66","2.7993"
"28 LOS 6 hours or less","1,148","1,193","1.04","8,750,434.58","7,628.98","808.3419","0.7041","183","0.7670"
