"ชื่อกลุ่ม","ทั้งหมด","กลุ่มผ่าตัด","ไม่ผ่าตัด"
"จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","79","2,259.3754","28.5997","79","2,259.3754","28.5997","0","0.0000","0.0000"
"01 Diseases and Disorders of the Nervous System","153,846","209,470.3732","1.3616","6,668","62,531.5927","9.3779","147,178","146,938.7805","0.9984"
"02 Diseases and Disorders of the Eye","72,874","87,717.8629","1.2037","63,329","82,581.5954","1.3040","9,545","5,136.2675","0.5381"
"03 Diseases and Disorders of the Ear, Mouth and Throat","102,376","50,897.1111","0.4972","8,452","15,160.7486","1.7937","93,924","35,736.3625","0.3805"
"04 Diseases and Disorders of the Respiratory","310,962","369,811.5123","1.1892","21,651","147,423.3682","6.8091","289,311","222,388.1441","0.7687"
"05 Diseases and Disorders of the Circulation","134,936","187,054.9370","1.3862","8,662","56,365.6284","6.5072","126,274","130,689.3086","1.0350"
"06 Diseases and Disorders of the Digestive System","369,259","328,752.3955","0.8903","81,133","165,668.0982","2.0419","288,126","163,084.2973","0.5660"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","61,461","114,217.3321","1.8584","11,247","38,739.0393","3.4444","50,214","75,478.2928","1.5031"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","138,107","208,401.6157","1.5090","61,639","143,425.7056","2.3269","76,468","64,975.9101","0.8497"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","96,840","97,953.4322","1.0115","15,943","33,353.4345","2.0920","80,897","64,599.9977","0.7985"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","74,995","49,494.8192","0.6600","2,935","7,330.5888","2.4976","72,060","42,164.2304","0.5851"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","148,907","163,370.5337","1.0971","19,473","47,034.4716","2.4154","129,434","116,336.0621","0.8988"
"12 Diseases and Disorders ofthe Male Reproductive System","10,606","13,495.1204","1.2724","4,897","8,635.4712","1.7634","5,709","4,859.6492","0.8512"
"13 Diseases and Disorders ofthe Female Reproductive System","39,066","47,960.2638","1.2277","20,462","31,617.9178","1.5452","18,604","16,342.3460","0.8784"
"14 Pregnancy, Childbirth and Puerperium","273,115","174,192.2469","0.6378","102,921","113,266.8822","1.1005","170,194","60,925.3647","0.3580"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","222,448","111,829.0248","0.5027","11,138","49,219.6216","4.4191","211,310","62,609.4032","0.2963"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","64,091","40,485.4292","0.6317","922","2,242.8049","2.4325","63,169","38,242.6243","0.6054"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","12,181","32,151.2470","2.6395","632","2,615.2213","4.1380","11,549","29,536.0257","2.5575"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","161,379","120,994.0113","0.7498","3,633","12,898.5812","3.5504","157,746","108,095.4301","0.6852"
"19 Mental Diseases and Disorders","14,809","16,298.9755","1.1006","90","285.8135","3.1757","14,719","16,013.1620","1.0879"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","17,944","11,644.2404","0.6489","0","0.0000","0.0000","17,944","11,644.2404","0.6489"
"21 Injuries, Poisonings and Toxic Effects of Drugs","68,187","37,984.2958","0.5571","4,974","9,598.9876","1.9298","63,213","28,385.3082","0.4490"
"22 Burns","3,808","7,516.4969","1.9739","85","1,126.9462","13.2582","3,723","6,389.5507","1.7162"
"23 Factors Influencing Health Status and Other Contacts with Health Services","15,959","9,593.9134","0.6012","884","1,188.2694","1.3442","15,075","8,405.6440","0.5576"
"24 Multiple Significant Trauma","9,674","46,755.4328","4.8331","8,653","42,399.3096","4.9000","1,021","4,356.1232","4.2665"
"25 Human Immunodeficiency Virus HIV Infections","12,536","18,643.7504","1.4872","504","1,860.4406","3.6914","12,032","16,783.3098","1.3949"
"26 Unacceptable, Ungroupable","71,151","10,186.3972","0.1432","3,753","9,008.5414","2.4004","67,398","1,177.8558","0.0175"
"28 LOS 6 hours or less","42,011","11,310.6473","0.2692","3,868","2,501.3545","0.6467","38,143","8,809.2928","0.2310"
