"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","1,285","69,246","53.89","448,027,935.21","352,777.90","38,058.9483","29.6179","432","29.9787"
"01 Diseases and Disorders of the Nervous System","15,189","129,449","8.52","838,723,021.88","55,870.17","59,097.9217","3.8908","5,382","3.8971"
"02 Diseases and Disorders of the Eye","41","497","12.12","2,230,638.61","57,195.86","111.8639","2.7284","13","2.6997"
"03 Diseases and Disorders of the Ear, Mouth and Throat","883","8,927","10.11","37,430,733.02","42,729.15","2,022.5010","2.2905","122","3.3293"
"04 Diseases and Disorders of the Respiratory","24,986","239,702","9.59","1,339,351,739.96","54,196.24","106,767.3345","4.2733","6,462","5.2081"
"05 Diseases and Disorders of the Circulation","9,831","73,629","7.49","684,885,952.98","70,367.41","39,649.4647","4.0331","2,840","4.6912"
"06 Diseases and Disorders of the Digestive System","8,870","75,179","8.48","552,625,877.97","63,063.55","32,269.2722","3.6384","2,507","4.3830"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","6,202","45,239","7.29","278,326,375.54","45,381.77","19,255.1393","3.1047","1,353","3.8228"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","2,120","28,033","13.22","197,052,832.29","93,879.39","10,745.5423","5.0687","700","5.5058"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","2,705","31,280","11.56","131,429,576.31","48,786.03","8,448.4291","3.1233","457","3.4823"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","1,624","10,666","6.57","62,023,605.60","38,789.00","3,809.8472","2.3460","313","2.6576"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","7,560","67,025","8.87","338,787,372.55","45,225.92","21,706.1373","2.8712","1,585","3.3779"
"12 Diseases and Disorders ofthe Male Reproductive System","325","3,175","9.77","16,508,686.26","50,795.96","968.9095","2.9813","54","3.5513"
"13 Diseases and Disorders ofthe Female Reproductive System","743","6,823","9.18","31,097,748.16","42,195.04","1,676.8432","2.2569","104","3.0989"
"14 Pregnancy, Childbirth and Puerperium","47","209","4.45","2,632,201.14","58,493.36","102.7756","2.1867","16","1.4057"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","1,550","19,494","12.58","152,729,459.74","100,878.11","10,452.3872","6.7435","198","8.4763"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","846","7,089","8.38","52,857,245.70","65,417.38","2,796.9446","3.3061","189","3.8251"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","1,577","19,955","12.65","146,913,501.05","94,054.74","8,129.7311","5.1552","357","5.9151"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","5,428","35,111","6.47","233,150,982.86","43,425.40","14,991.5322","2.7619","1,319","3.0119"
"19 Mental Diseases and Disorders","68","768","11.29","1,951,747.35","29,130.56","111.2682","1.6363","11","1.4147"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","149","804","5.40","4,356,034.33","30,041.62","258.7044","1.7363","40","1.6869"
"21 Injuries, Poisonings and Toxic Effects of Drugs","1,374","9,636","7.01","63,132,380.12","46,730.11","3,509.8785","2.5545","491","2.4586"
"22 Burns","116","1,354","11.67","16,288,432.82","140,417.52","878.7994","7.5759","47","7.2017"
"23 Factors Influencing Health Status and Other Contacts with Health Services","218","1,699","7.79","8,195,510.21","38,296.78","357.3352","1.6392","31","1.8254"
"24 Multiple Significant Trauma","1,285","8,297","6.46","112,709,165.97","89,451.72","8,055.4433","6.2688","523","6.1262"
"25 Human Immunodeficiency Virus HIV Infections","1,870","19,351","10.35","103,662,231.05","55,973.13","5,454.3318","2.9168","466","3.3088"
"26 Unacceptable, Ungroupable","2,722","26,040","9.57","146,255,121.23","53,928.88","1,382.5194","5.4645","791","6.0623"
"28 LOS 6 hours or less","3,538","4,772","1.35","48,342,767.16","13,895.59","2,456.4111","0.6943","1,010","0.7406"
