"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"01010 Craniotomy  for trauma, no CC","101","358","3.54","4,639,542.26","47,342.27","388.1904","3.8435","39","3.8416"
"01011 Craniotomy  for trauma, w mild CC","48","203","4.23","2,992,121.12","65,046.11","230.0630","4.7930","25","4.7151"
"01012 Craniotomy  for trauma, w mod CC","57","410","7.19","3,914,961.40","71,181.12","368.9351","6.4725","24","6.2196"
"01013 Craniotomy  for trauma, w severe CC","130","670","5.15","8,552,499.90","70,681.82","808.6658","6.2205","58","6.2260"
"01014 Craniotomy  for trauma, w catas CC","250","2,238","8.95","24,206,922.18","101,284.19","2,161.1771","8.6447","116","8.6280"
"01020 Craniotomy  except for trauma, no CC","102","431","4.23","5,100,313.80","52,044.02","527.0019","5.1667","42","5.1430"
"01022 Craniotomy  except for trauma, w mild to mod CC","81","482","5.95","5,027,352.28","66,149.37","577.5562","7.1303","36","7.0019"
"01023 Craniotomy  except for trauma, w severe CC","315","2,466","7.83","21,605,387.13","74,245.32","2,903.7432","9.2182","106","9.3690"
"01024 Craniotomy  except for trauma, w catas CC","583","7,194","12.34","59,451,489.13","107,701.97","6,047.8631","10.3737","205","10.3673"
"01030 Spinal procedures, no CC","2","9","4.50","83,005.61","41,502.81","7.9893","3.9946","0","0.0000"
"01032 Spinal procedures, w mild to mod CC","6","121","20.17","946,352.75","157,725.46","70.8186","11.8031","4","11.6331"
"01033 Spinal procedures, w severe CC","1","24","24.00","152,239.00","152,239.00","7.0138","7.0138","0","0.0000"
"01034 Spinal procedures, w catas CC","7","81","11.57","924,105.25","132,015.04","64.2992","9.1856","6","9.1856"
"01043 Ventricular shunt revision, w severe CC","2","10","5.00","97,007.00","48,503.50","8.5104","4.2552","0","0.0000"
"01044 Ventricular shunt revision, w catas CC","1","21","21.00","123,378.75","123,378.75","6.4857","6.4857","0","0.0000"
"01060 Peripheral & cranial nerve & other NS proc, no CC","12","146","12.17","819,806.00","68,317.17","23.0312","1.9193","3","1.9711"
"01061 Peripheral & cranial nerve & other NS proc, w mild CC","1","1","1.00","79,856.00","79,856.00","2.1682","2.1682","1","2.1682"
"01062 Peripheral & cranial nerve & other NS proc, w mod CC","1","10","10.00","44,057.00","44,057.00","3.7813","3.7813","1","3.7813"
"01063 Peripheral & cranial nerve & other NS proc, w severe CC","4","35","8.75","92,123.25","30,707.75","16.8448","4.2112","1","4.2645"
"01064 Peripheral & cranial nerve & other NS proc, w catas CC","31","2,080","67.10","5,434,193.49","187,385.98","203.7383","6.5722","7","6.5623"
"01080 Intracranial vasc proc for PDx intracranial h'ge, no CC","2","11","5.50","283,334.00","141,667.00","21.9122","10.9561","1","10.9561"
"01082 Intracranial vasc proc for PDx intracranial h'ge, w mild to mod CC","3","26","8.67","573,372.75","191,124.25","36.0921","12.0307","3","12.0307"
"01083 Intracranial vasc proc for PDx intracranial h'ge, w severe CC","9","76","8.44","1,120,768.00","140,096.00","122.0875","13.5653","4","13.5462"
"01084 Intracranial vasc proc for PDx intracranial h'ge, w catas CC","26","314","12.08","3,947,335.00","151,820.58","415.8726","15.9951","14","15.9951"
"01090 Intracranial vascular procedures, no CC","1","3","3.00","214,208.00","214,208.00","8.2894","8.2894","1","8.2894"
"01094 Intracranial vascular procedures, w catas CC","3","25","8.33","354,251.50","118,083.83","45.0435","15.0145","0","0.0000"
"01122 Craniotomy (multiple) for trauma, w mild to mod CC","1","5","5.00","86,712.75","86,712.75","8.7453","8.7453","0","0.0000"
"01123 Craniotomy (multiple) for trauma, w severe CC","2","13","6.50","132,231.00","66,115.50","21.1729","10.5864","0","0.0000"
"01124 Craniotomy (multiple) for trauma, w catas CC","5","63","12.60","792,358.00","158,471.60","71.2977","14.2595","3","14.1639"
"01130 Craniotomy (multiple), no CC","1","4","4.00","75,067.00","75,067.00","9.7234","9.7234","1","9.7234"
"01133 Craniotomy (multiple), w severe CC","4","104","26.00","554,013.25","138,503.31","54.5432","13.6358","3","13.6358"
"01134 Craniotomy (multiple), w catas CC","14","280","20.00","2,556,565.00","182,611.79","250.0016","17.8573","9","17.8216"
"01150 Trach for NS disease w mech vent 96+ hr, no CC","3","245","81.67","868,372.46","289,457.49","56.2179","18.7393","1","18.5639"
"01152 Trach for NS disease w mech vent 96+ hr, w mild to mod CC","3","198","66.00","1,284,892.57","428,297.52","60.9149","20.3050","0","0.0000"
"01153 Trach for NS disease w mech vent 96+ hr, w severe CC","31","1,465","47.26","6,812,455.05","234,912.24","701.2550","22.6211","14","22.5933"
"01154 Trach for NS disease w mech vent 96+ hr, w catas CC","422","23,997","56.86","132,304,276.53","337,510.91","10,159.4724","24.0746","136","24.0578"
"01160 Trach for NS disease, no CC","2","87","43.50","417,878.60","208,939.30","36.5732","18.2866","0","0.0000"
"01163 Trach for NS disease, w mild to sev CC","3","96","32.00","555,208.00","185,069.33","62.7852","20.9284","2","20.9284"
"01164 Trach for NS disease, w catas CC","30","1,618","53.93","9,873,172.00","329,105.73","697.2735","23.2425","11","23.2187"
"01174 Plasmapheresis for neurologic disease, w mild to cat CC","2","16","8.00","789,082.88","394,541.44","32.2940","16.1470","1","16.1470"
"01500 Spinal disorders and injuries, no CC","2","3","1.50","29,314.00","29,314.00","1.7886","0.8943","2","0.8943"
"01501 Spinal disorders and injuries, w mild CC","1","2","2.00","17,374.00","17,374.00","1.6784","1.6784","1","1.6784"
"01502 Spinal disorders and injuries, w mod CC","2","6","3.00","60,886.75","30,443.38","4.3246","2.1623","2","2.1623"
"01503 Spinal disorders and injuries, w severe CC","12","80","6.67","689,700.00","57,475.00","36.8056","3.0671","5","3.0619"
"01504 Spinal disorders and injuries, w catas CC","11","284","25.82","1,393,458.66","126,678.06","47.1339","4.2849","3","4.2839"
"01514 Cerebral palsy, w mild to cat CC","3","114","38.00","452,103.75","150,701.25","4.9183","1.6394","0","0.0000"
"01520 Nervous system neoplasms, no CC","48","298","6.21","697,166.84","15,492.60","39.0264","0.8130","5","0.7914"
"01522 Nervous system neoplasms, w mild to mod CC","19","130","6.84","362,730.25","21,337.07","20.3955","1.0734","1","1.0200"
"01523 Nervous system neoplasms, w severe CC","39","334","8.56","771,887.86","24,121.50","63.1395","1.6190","5","1.6011"
"01524 Nervous system neoplasms, w catas CC","50","403","8.06","1,141,463.37","24,286.45","174.0475","3.4810","6","3.4616"
"01530 Degenerative  nervous system disorders, no CC","21","92","4.38","279,607.24","13,314.63","15.9412","0.7591","1","0.8022"
"01531 Degenerative  nervous system disorders, w mild CC","10","445","44.50","1,216,441.50","121,644.15","16.8386","1.6839","0","0.0000"
"01532 Degenerative  nervous system disorders, w mod CC","7","25","3.57","54,249.50","9,041.58","9.6948","1.3850","0","0.0000"
"01533 Degenerative  nervous system disorders, w severe CC","32","878","27.44","2,263,155.40","75,438.51","86.5104","2.7034","5","2.1289"
"01534 Degenerative  nervous system disorders, w catas CC","39","1,543","39.56","5,069,820.65","129,995.40","184.7930","4.7383","5","4.6353"
"01543 Multiple sclerosis and cerebellar ataxia, w severe CC","1","4","4.00","99,493.00","99,493.00","4.1983","4.1983","0","0.0000"
"01544 Multiple sclerosis and cerebellar ataxia, w catas CC","9","145","16.11","941,826.50","104,647.39","48.8319","5.4258","2","5.4683"
"01550 Specific cerebrovascular disorders exc TIA, not transferred, no CC","1,482","3,979","2.68","22,404,776.80","16,498.36","1,549.7803","1.0457","498","1.0448"
"01551 Specific cerebrovascular disorders exc TIA, not transferred, w mild CC","550","1,958","3.56","10,955,997.97","21,191.49","925.0336","1.6819","178","1.6633"
"01552 Specific cerebrovascular disorders exc TIA, not transferred, w mod CC","554","2,180","3.94","11,414,964.85","21,619.25","871.6520","1.5734","209","1.6551"
"01553 Specific cerebrovascular disorders exc TIA, not transferred, w severe CC","1,844","9,790","5.31","49,717,384.05","29,091.51","4,261.0781","2.3108","614","2.2766"
"01554 Specific cerebrovascular disorders exc TIA, not transferred, w catas CC","1,635","20,529","12.56","98,747,165.73","63,584.78","8,748.4150","5.3507","505","5.2941"
"01561 TIA and precerebral occlusions, w mild CC","1","2","2.00","8,425.50","8,425.50","0.6931","0.6931","0","0.0000"
"01562 TIA and precerebral occlusions, w mod CC","6","48","8.00","249,556.00","41,592.67","9.4101","1.5684","1","0.8525"
"01563 TIA and precerebral occlusions, w severe CC","9","70","7.78","330,582.41","36,731.38","12.0019","1.3335","3","1.3167"
"01564 TIA and precerebral occlusions, w catas CC","21","306","14.57","1,194,705.79","56,890.75","76.0728","3.6225","5","3.7244"
"01570 Nonspecific cerebrovascular disorders, no CC","68","365","5.37","1,453,396.90","22,359.95","42.1576","0.6200","16","0.6117"
"01571 Nonspecific cerebrovascular disorders, w mild CC","19","111","5.84","365,846.25","20,324.79","19.6380","1.0336","4","1.0912"
