"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"01010 Craniotomy  for trauma, no CC","87","327","3.76","6,000,127.62","68,966.98","341.0945","3.9206","34","3.9541"
"01011 Craniotomy  for trauma, w mild CC","135","618","4.58","10,543,469.82","78,682.61","725.1129","5.3712","46","5.3415"
"01012 Craniotomy  for trauma, w mod CC","148","1,579","10.67","20,308,262.00","139,097.68","1,177.6950","7.9574","59","7.9367"
"01013 Craniotomy  for trauma, w severe CC","77","586","7.61","6,726,139.36","87,352.46","481.0218","6.2470","32","6.2736"
"01014 Craniotomy  for trauma, w catas CC","169","1,931","11.43","21,313,876.50","126,117.61","1,459.0434","8.6334","54","8.6665"
"01020 Craniotomy  except for trauma, no CC","117","656","5.61","8,404,319.59","71,831.79","569.8494","4.8705","46","4.9728"
"01022 Craniotomy  except for trauma, w mild to mod CC","103","1,092","10.60","11,189,458.65","110,786.72","865.5261","8.4032","31","8.5424"
"01023 Craniotomy  except for trauma, w severe CC","310","4,230","13.65","40,806,130.72","132,918.99","3,376.8227","10.8930","104","10.9234"
"01024 Craniotomy  except for trauma, w catas CC","483","6,060","12.55","58,633,102.67","121,645.44","5,027.0932","10.4081","168","10.4003"
"01030 Spinal procedures, no CC","2","7","3.50","146,119.75","73,059.88","9.3381","4.6691","1","5.1308"
"01032 Spinal procedures, w mild to mod CC","7","195","27.86","1,377,329.75","196,761.39","83.6386","11.9484","3","11.6898"
"01033 Spinal procedures, w severe CC","1","4","4.00","76,805.50","76,805.50","7.0138","7.0138","0","0.0000"
"01034 Spinal procedures, w catas CC","10","230","23.00","2,162,101.96","216,210.20","91.8560","9.1856","3","9.1856"
"01044 Ventricular shunt revision, w catas CC","2","36","18.00","443,330.69","221,665.35","12.9714","6.4857","2","6.4857"
"01062 Peripheral & cranial nerve & other NS proc, w mod CC","4","62","15.50","373,890.73","93,472.68","25.9278","6.4819","1","6.1456"
"01063 Peripheral & cranial nerve & other NS proc, w severe CC","1","1","1.00","66,552.00","66,552.00","4.0513","4.0513","1","4.0513"
"01064 Peripheral & cranial nerve & other NS proc, w catas CC","30","1,336","44.53","8,378,233.30","279,274.44","196.8691","6.5623","10","6.5673"
"01080 Intracranial vasc proc for PDx intracranial h'ge, no CC","1","7","7.00","125,059.00","125,059.00","10.9561","10.9561","0","0.0000"
"01083 Intracranial vasc proc for PDx intracranial h'ge, w severe CC","7","77","11.00","1,160,258.75","165,751.25","96.0239","13.7177","3","13.7177"
"01084 Intracranial vasc proc for PDx intracranial h'ge, w catas CC","25","316","12.64","4,427,603.38","177,104.14","399.8775","15.9951","8","15.9951"
"01094 Intracranial vascular procedures, w catas CC","3","19","6.33","414,731.50","138,243.83","45.0435","15.0145","2","15.0145"
"01123 Craniotomy (multiple) for trauma, w severe CC","2","19","9.50","261,657.75","130,828.88","21.7258","10.8629","2","10.8629"
"01124 Craniotomy (multiple) for trauma, w catas CC","5","73","14.60","438,799.00","87,759.80","72.0295","14.4059","4","14.4059"
"01130 Craniotomy (multiple), no CC","1","4","4.00","77,090.75","77,090.75","9.7234","9.7234","1","9.7234"
"01133 Craniotomy (multiple), w severe CC","3","51","17.00","743,720.00","247,906.67","40.9074","13.6358","2","13.6358"
"01134 Craniotomy (multiple), w catas CC","9","248","27.56","1,819,975.32","202,219.48","161.3016","17.9224","6","17.9224"
"01150 Trach for NS disease w mech vent 96+ hr, no CC","1","37","37.00","175,429.45","175,429.45","18.5639","18.5639","1","18.5639"
"01152 Trach for NS disease w mech vent 96+ hr, w mild to mod CC","3","176","58.67","995,193.55","331,731.18","60.4977","20.1659","1","20.1659"
"01153 Trach for NS disease w mech vent 96+ hr, w severe CC","6","289","48.17","1,654,547.60","275,757.93","135.5610","22.5935","2","22.5935"
"01154 Trach for NS disease w mech vent 96+ hr, w catas CC","296","19,047","64.35","117,757,612.05","397,829.77","7,129.9026","24.0875","103","24.0638"
"01163 Trach for NS disease, w mild to sev CC","3","135","45.00","680,910.75","226,970.25","62.7852","20.9284","2","20.9284"
"01164 Trach for NS disease, w catas CC","18","1,141","63.39","8,148,190.12","452,677.23","418.0494","23.2250","7","23.2187"
"01174 Plasmapheresis for neurologic disease, w mild to cat CC","2","37","18.50","184,296.75","184,296.75","32.2940","16.1470","0","0.0000"
"01500 Spinal disorders and injuries, no CC","4","6","1.50","18,254.28","4,563.57","4.3798","1.0949","1","1.1751"
"01501 Spinal disorders and injuries, w mild CC","3","49","16.33","101,220.75","33,740.25","7.8388","2.6129","1","3.5816"
"01503 Spinal disorders and injuries, w severe CC","3","9","3.00","51,591.75","17,197.25","9.0920","3.0307","1","2.9057"
"01504 Spinal disorders and injuries, w catas CC","5","29","5.80","292,646.00","58,529.20","21.3190","4.2638","2","4.2337"
"01510 Cerebral palsy, no CC","1","12","12.00","27,800.00","27,800.00","1.0700","1.0700","0","0.0000"
"01514 Cerebral palsy, w mild to cat CC","2","41","20.50","368,538.00","184,269.00","3.1378","1.5689","0","0.0000"
"01520 Nervous system neoplasms, no CC","78","355","4.55","1,223,939.07","15,895.31","65.0061","0.8334","13","0.8115"
"01522 Nervous system neoplasms, w mild to mod CC","23","187","8.13","755,275.70","32,838.07","61.3203","2.6661","7","1.6014"
"01523 Nervous system neoplasms, w severe CC","23","129","5.61","426,214.25","18,531.05","36.7866","1.5994","7","1.5980"
"01524 Nervous system neoplasms, w catas CC","21","265","12.62","805,064.12","40,253.21","74.5299","3.5490","4","3.5086"
"01530 Degenerative  nervous system disorders, no CC","43","192","4.47","740,310.21","17,216.52","34.5459","0.8034","9","0.7649"
"01531 Degenerative  nervous system disorders, w mild CC","18","169","9.39","453,431.30","25,190.63","33.4715","1.8595","3","1.7136"
"01532 Degenerative  nervous system disorders, w mod CC","15","121","8.07","429,917.50","28,661.17","44.6982","2.9799","2","1.8944"
"01533 Degenerative  nervous system disorders, w severe CC","46","1,195","25.98","3,797,610.63","82,556.75","200.6697","4.3624","5","3.6475"
"01534 Degenerative  nervous system disorders, w catas CC","50","930","18.60","4,734,033.00","94,680.66","231.5590","4.6312","12","4.6255"
"01540 Multiple sclerosis and cerebellar ataxia, no CC","1","11","11.00","77,324.40","77,324.40","2.5650","2.5650","0","0.0000"
"01541 Multiple sclerosis and cerebellar ataxia, w mild CC","4","28","7.00","161,865.50","40,466.38","18.8825","4.7206","2","4.5461"
"01542 Multiple sclerosis and cerebellar ataxia, w mod CC","2","5","2.50","58,930.00","29,465.00","6.3945","3.1973","0","0.0000"
