"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"01010 Craniotomy  for trauma, no CC","42","191","4.55","3,036,503.14","72,297.69","164.4582","3.9157","15","3.8642"
"01011 Craniotomy  for trauma, w mild CC","72","343","4.76","5,753,035.21","79,903.27","385.4868","5.3540","31","5.4311"
"01012 Craniotomy  for trauma, w mod CC","88","768","8.73","10,689,107.14","121,467.13","668.1396","7.5925","32","7.8127"
"01013 Craniotomy  for trauma, w severe CC","51","412","8.08","4,553,214.89","89,278.72","318.5067","6.2452","21","6.2071"
"01014 Craniotomy  for trauma, w catas CC","112","1,178","10.52","14,561,692.32","130,015.11","970.1068","8.6617","36","8.6559"
"01020 Craniotomy  except for trauma, no CC","79","439","5.56","5,911,905.72","74,834.25","382.7470","4.8449","28","4.7807"
"01022 Craniotomy  except for trauma, w mild to mod CC","79","747","9.46","8,251,340.39","104,447.35","632.5228","8.0066","27","7.7494"
"01023 Craniotomy  except for trauma, w severe CC","208","2,422","11.64","26,685,503.89","128,295.69","2,216.0980","10.6543","63","10.8550"
"01024 Craniotomy  except for trauma, w catas CC","282","3,951","14.01","40,509,785.83","143,651.72","2,936.0311","10.4115","100","10.4081"
"01032 Spinal procedures, w mild to mod CC","4","63","15.75","702,727.00","175,681.75","48.5693","12.1423","2","12.1416"
"01033 Spinal procedures, w severe CC","1","43","43.00","320,208.25","320,208.25","7.0138","7.0138","0","0.0000"
"01034 Spinal procedures, w catas CC","4","124","31.00","1,186,735.33","296,683.83","36.7424","9.1856","2","9.1856"
"01044 Ventricular shunt revision, w catas CC","1","5","5.00","38,434.60","38,434.60","6.4857","6.4857","0","0.0000"
"01060 Peripheral & cranial nerve & other NS proc, no CC","2","3","1.50","109,101.00","54,550.50","3.7487","1.8744","1","1.8263"
"01061 Peripheral & cranial nerve & other NS proc, w mild CC","1","6","6.00","106,261.00","106,261.00","2.1682","2.1682","0","0.0000"
"01062 Peripheral & cranial nerve & other NS proc, w mod CC","5","106","21.20","933,663.07","186,732.61","36.0490","7.2098","3","7.3179"
"01063 Peripheral & cranial nerve & other NS proc, w severe CC","6","35","5.83","212,737.00","35,456.17","25.3738","4.2290","1","4.0513"
"01064 Peripheral & cranial nerve & other NS proc, w catas CC","26","943","36.27","4,756,629.32","182,947.28","169.9609","6.5370","6","6.5413"
"01080 Intracranial vasc proc for PDx intracranial h'ge, no CC","1","9","9.00","140,800.00","140,800.00","10.9561","10.9561","1","10.9561"
"01083 Intracranial vasc proc for PDx intracranial h'ge, w severe CC","5","26","5.20","559,135.00","111,827.00","67.9026","13.5805","2","13.7177"
"01084 Intracranial vasc proc for PDx intracranial h'ge, w catas CC","22","290","13.18","4,252,524.00","193,296.55","351.0924","15.9587","8","15.9951"
"01093 Intracranial vascular procedures, w mild to sev CC","1","6","6.00","364,655.11","364,655.11","12.7813","12.7813","0","0.0000"
"01094 Intracranial vascular procedures, w catas CC","1","3","3.00","109,327.00","109,327.00","15.0145","15.0145","0","0.0000"
"01124 Craniotomy (multiple) for trauma, w catas CC","3","38","12.67","606,382.25","202,127.42","43.2177","14.4059","3","14.4059"
"01130 Craniotomy (multiple), no CC","1","5","5.00","95,711.00","95,711.00","9.7234","9.7234","1","9.7234"
"01133 Craniotomy (multiple), w severe CC","1","12","12.00","72,056.00","72,056.00","13.6358","13.6358","1","13.6358"
"01134 Craniotomy (multiple), w catas CC","9","152","16.89","1,817,198.75","201,910.97","161.3016","17.9224","6","17.9224"
"01143 Endovascular procedures, w severe CC","2","21","10.50","335,283.25","167,641.63","26.9060","13.4530","0","0.0000"
"01152 Trach for NS disease w mech vent 96+ hr, w mild to mod CC","2","68","34.00","453,412.00","226,706.00","40.3318","20.1659","0","0.0000"
"01153 Trach for NS disease w mech vent 96+ hr, w severe CC","12","557","46.42","4,029,727.11","335,810.59","271.3355","22.6113","0","0.0000"
"01154 Trach for NS disease w mech vent 96+ hr, w catas CC","236","13,312","56.41","96,252,214.36","407,848.37","5,679.9016","24.0674","79","24.0532"
"01163 Trach for NS disease, w mild to sev CC","6","183","30.50","1,520,873.50","253,478.92","125.5704","20.9284","4","20.9284"
"01164 Trach for NS disease, w catas CC","15","919","61.27","6,557,442.21","437,162.81","348.5114","23.2341","5","23.2187"
"01500 Spinal disorders and injuries, no CC","2","7","3.50","66,665.00","33,332.50","2.1916","1.0958","0","0.0000"
"01501 Spinal disorders and injuries, w mild CC","6","62","10.33","278,231.25","46,371.88","15.5531","2.5922","4","2.4736"
"01503 Spinal disorders and injuries, w severe CC","7","30","4.29","239,625.00","34,232.14","20.9316","2.9902","3","3.0300"
"01504 Spinal disorders and injuries, w catas CC","5","62","12.40","368,697.75","73,739.55","21.3620","4.2724","1","4.2982"
"01514 Cerebral palsy, w mild to cat CC","1","55","55.00","122,342.20","122,342.20","1.7905","1.7905","0","0.0000"
"01520 Nervous system neoplasms, no CC","28","86","3.07","378,097.74","14,542.22","23.3349","0.8334","4","0.9934"
"01522 Nervous system neoplasms, w mild to mod CC","11","192","17.45","914,609.87","83,146.35","42.3174","3.8470","3","4.6245"
"01523 Nervous system neoplasms, w severe CC","4","17","4.25","63,278.75","15,819.69","6.1801","1.5450","0","0.0000"
"01524 Nervous system neoplasms, w catas CC","8","129","16.13","467,126.06","58,390.76","27.9431","3.4929","1","3.5262"
"01530 Degenerative  nervous system disorders, no CC","14","50","3.57","304,512.75","21,750.91","10.6169","0.7583","2","0.7549"
"01531 Degenerative  nervous system disorders, w mild CC","12","94","7.83","244,681.63","20,390.14","18.7511","1.5626","4","1.5959"
"01532 Degenerative  nervous system disorders, w mod CC","10","115","11.50","1,068,239.76","106,823.98","23.2489","2.3249","1","4.2595"
"01533 Degenerative  nervous system disorders, w severe CC","35","465","13.29","3,401,971.40","97,199.18","110.0331","3.1438","7","2.9639"
"01534 Degenerative  nervous system disorders, w catas CC","17","647","38.06","1,811,533.97","106,560.82","79.8182","4.6952","2","4.6100"
"01540 Multiple sclerosis and cerebellar ataxia, no CC","1","1","1.00","21,555.50","21,555.50","2.2900","2.2900","0","0.0000"
"01541 Multiple sclerosis and cerebellar ataxia, w mild CC","1","9","9.00","55,051.25","55,051.25","5.4150","5.4150","1","5.4150"
"01543 Multiple sclerosis and cerebellar ataxia, w severe CC","1","4","4.00","41,151.00","41,151.00","4.1983","4.1983","0","0.0000"
"01544 Multiple sclerosis and cerebellar ataxia, w catas CC","5","68","13.60","531,533.00","106,306.60","26.9587","5.3917","1","5.0855"
"01550 Specific cerebrovascular disorders exc TIA, not transferred, no CC","1,469","4,459","3.04","34,171,970.66","23,325.58","1,616.8745","1.1007","408","1.0877"
"01551 Specific cerebrovascular disorders exc TIA, not transferred, w mild CC","1,011","4,025","3.98","30,181,684.07","30,061.44","2,024.7750","2.0027","310","1.9971"
"01552 Specific cerebrovascular disorders exc TIA, not transferred, w mod CC","498","2,825","5.67","18,212,496.76","36,867.40","1,087.4265","2.1836","133","2.1318"
"01553 Specific cerebrovascular disorders exc TIA, not transferred, w severe CC","1,270","7,616","6.00","53,661,542.72","42,353.23","3,217.2988","2.5333","375","2.4897"
"01554 Specific cerebrovascular disorders exc TIA, not transferred, w catas CC","1,142","13,918","12.19","97,770,871.57","85,914.65","6,598.8924","5.7784","288","5.7568"
"01560 TIA and precerebral occlusions, no CC","5","13","2.60","174,081.00","34,816.20","3.1237","0.6247","1","0.5478"
"01561 TIA and precerebral occlusions, w mild CC","5","14","2.80","112,856.50","22,571.30","9.9375","1.9875","1","1.9875"
"01562 TIA and precerebral occlusions, w mod CC","2","26","13.00","174,238.00","87,119.00","10.1824","5.0912","1","5.0912"
"01563 TIA and precerebral occlusions, w severe CC","5","38","7.60","220,568.87","44,113.77","6.6597","1.3319","0","0.0000"
"01564 TIA and precerebral occlusions, w catas CC","1","20","20.00","98,570.60","98,570.60","3.6201","3.6201","0","0.0000"
"01570 Nonspecific cerebrovascular disorders, no CC","110","673","6.12","3,661,285.19","33,589.77","75.7107","0.6883","22","0.7118"
"01571 Nonspecific cerebrovascular disorders, w mild CC","81","587","7.25","3,439,045.54","44,090.33","114.6649","1.4156","8","1.3652"
"01572 Nonspecific cerebrovascular disorders, w mod CC","28","187","6.68","1,146,058.50","40,930.66","60.3984","2.1571","5","2.1875"
