"ชื่อกลุ่ม","ทั้งหมด","กลุ่มผ่าตัด","ไม่ผ่าตัด"
"จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","19","495.1570","26.0609","19","495.1570","26.0609","0","0.0000","0.0000"
"01 Diseases and Disorders of the Nervous System","1,672","2,506.1690","1.4989","100","785.0651","7.8507","1,572","1,721.1039","1.0948"
"02 Diseases and Disorders of the Eye","441","523.6721","1.1875","382","491.1082","1.2856","59","32.5639","0.5519"
"03 Diseases and Disorders of the Ear, Mouth and Throat","828","396.6231","0.4790","50","98.3717","1.9674","778","298.2514","0.3834"
"04 Diseases and Disorders of the Respiratory","2,640","3,518.2302","1.3327","265","1,556.2198","5.8725","2,375","1,962.0104","0.8261"
"05 Diseases and Disorders of the Circulation","1,635","1,957.8195","1.1974","46","210.8266","4.5832","1,589","1,746.9929","1.0994"
"06 Diseases and Disorders of the Digestive System","3,399","3,973.2983","1.1690","980","2,061.4431","2.1035","2,419","1,911.8552","0.7903"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","498","900.4546","1.8081","55","206.8364","3.7607","443","693.6182","1.5657"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","1,483","2,527.9262","1.7046","696","1,788.3766","2.5695","787","739.5496","0.9397"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","1,088","1,261.5231","1.1595","219","525.8423","2.4011","869","735.6808","0.8466"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","810","540.5616","0.6674","19","61.8137","3.2534","791","478.7479","0.6052"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","1,402","1,764.7741","1.2588","118","380.3539","3.2233","1,284","1,384.4202","1.0782"
"12 Diseases and Disorders ofthe Male Reproductive System","95","151.8215","1.5981","48","111.5716","2.3244","47","40.2499","0.8564"
"13 Diseases and Disorders ofthe Female Reproductive System","281","278.1425","0.9898","131","165.5140","1.2635","150","112.6285","0.7509"
"14 Pregnancy, Childbirth and Puerperium","1,494","1,044.3803","0.6990","576","703.4091","1.2212","918","340.9712","0.3714"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","1,195","741.4512","0.6205","133","360.1923","2.7082","1,062","381.2589","0.3590"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","538","360.9813","0.6710","5","8.0273","1.6055","533","352.9540","0.6622"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","174","400.9131","2.3041","9","27.3577","3.0397","165","373.5554","2.2640"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","802","784.5490","0.9782","41","85.0990","2.0756","761","699.4500","0.9191"
"19 Mental Diseases and Disorders","162","150.0473","0.9262","0","0.0000","0.0000","162","150.0473","0.9262"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","174","135.8794","0.7809","0","0.0000","0.0000","174","135.8794","0.7809"
"21 Injuries, Poisonings and Toxic Effects of Drugs","519","324.9553","0.6261","37","74.8419","2.0228","482","250.1134","0.5189"
"22 Burns","17","38.3353","2.2550","1","6.3684","6.3684","16","31.9669","1.9979"
"23 Factors Influencing Health Status and Other Contacts with Health Services","233","217.8296","0.9349","12","16.9434","1.4120","221","200.8862","0.9090"
"24 Multiple Significant Trauma","80","464.4550","5.8057","60","363.3242","6.0554","20","101.1308","5.0565"
"25 Human Immunodeficiency Virus HIV Infections","60","104.7004","1.7450","0","0.0000","0.0000","60","104.7004","1.7450"
"26 Unacceptable, Ungroupable","4,086","84.1157","0.0206","37","84.1157","2.2734","4,049","0.0000","0.0000"
"28 LOS 6 hours or less","276","81.5149","0.2953","24","14.4797","0.6033","252","67.0352","0.2660"
