"ชื่อกลุ่ม","ทั้งหมด","กลุ่มผ่าตัด","ไม่ผ่าตัด"
"จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW"
"01 Diseases and Disorders of the Nervous System","9,884","15,134.5271","1.5312","518","5,085.3559","9.8173","9,366","10,049.1712","1.0729"
"02 Diseases and Disorders of the Eye","3,999","4,870.2243","1.2179","3,358","4,534.4017","1.3503","641","335.8226","0.5239"
"03 Diseases and Disorders of the Ear, Mouth and Throat","5,674","2,766.9531","0.4877","511","889.5056","1.7407","5,163","1,877.4475","0.3636"
"04 Diseases and Disorders of the Respiratory","18,162","22,888.6848","1.2603","1,544","10,831.6385","7.0153","16,618","12,057.0463","0.7255"
"05 Diseases and Disorders of the Circulation","7,751","10,001.0621","1.2903","428","2,748.3127","6.4213","7,323","7,252.7494","0.9904"
"06 Diseases and Disorders of the Digestive System","18,959","17,557.8968","0.9261","3,965","8,420.2340","2.1236","14,994","9,137.6628","0.6094"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","3,201","6,569.2553","2.0523","624","2,312.1805","3.7054","2,577","4,257.0748","1.6519"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","5,692","9,119.6521","1.6022","2,771","6,595.1566","2.3801","2,921","2,524.4955","0.8643"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","4,849","4,607.6761","0.9502","856","1,609.7474","1.8805","3,993","2,997.9287","0.7508"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","3,767","2,630.0351","0.6982","187","535.0426","2.8612","3,580","2,094.9925","0.5852"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","7,971","9,397.6989","1.1790","1,530","3,469.2472","2.2675","6,441","5,928.4517","0.9204"
"12 Diseases and Disorders ofthe Male Reproductive System","750","1,188.4555","1.5846","385","805.5409","2.0923","365","382.9146","1.0491"
"13 Diseases and Disorders ofthe Female Reproductive System","2,772","3,458.7714","1.2478","1,631","2,362.7158","1.4486","1,141","1,096.0556","0.9606"
"14 Pregnancy, Childbirth and Puerperium","16,603","10,351.7530","0.6235","5,913","6,626.5278","1.1207","10,690","3,725.2252","0.3485"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","12,241","7,944.4631","0.6490","521","4,240.5161","8.1392","11,720","3,703.9470","0.3160"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","3,109","2,066.5643","0.6647","75","100.7285","1.3430","3,034","1,965.8358","0.6479"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","764","2,559.1892","3.3497","44","228.9421","5.2032","720","2,330.2471","3.2365"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","8,632","5,438.3031","0.6300","207","657.9024","3.1783","8,425","4,780.4007","0.5674"
"19 Mental Diseases and Disorders","960","1,280.8904","1.3343","18","68.4396","3.8022","942","1,212.4508","1.2871"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","926","629.9917","0.6803","0","0.0000","0.0000","926","629.9917","0.6803"
"21 Injuries, Poisonings and Toxic Effects of Drugs","3,881","2,131.0763","0.5491","189","495.7835","2.6232","3,692","1,635.2928","0.4429"
"22 Burns","218","418.5975","1.9202","4","85.9690","21.4923","214","332.6285","1.5543"
"23 Factors Influencing Health Status and Other Contacts with Health Services","766","407.9499","0.5326","50","45.4040","0.9081","716","362.5459","0.5063"
"24 Multiple Significant Trauma","471","2,746.3834","5.8310","396","2,417.6528","6.1052","75","328.7306","4.3831"
"25 Human Immunodeficiency Virus HIV Infections","604","901.2395","1.4921","16","80.4243","5.0265","588","820.8152","1.3959"
"26 Unacceptable, Ungroupable","6,229","464.2185","0.0745","179","464.2185","2.5934","6,050","0.0000","0.0000"
"28 LOS 6 hours or less","2,072","532.6469","0.2571","200","107.4319","0.5372","1,872","425.2150","0.2271"
