"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"01010 Craniotomy  for trauma, no CC","91","231","2.54","4,454,114.80","50,046.23","349.5882","3.8416","48","3.8460"
"01011 Craniotomy  for trauma, w mild CC","26","81","3.12","1,087,124.30","45,296.85","108.0055","4.1541","16","4.1511"
"01012 Craniotomy  for trauma, w mod CC","25","78","3.12","1,246,057.53","49,842.30","126.0934","5.0437","7","5.0102"
"01013 Craniotomy  for trauma, w severe CC","102","491","4.81","5,970,251.41","59,702.51","623.4088","6.1119","55","6.2112"
"01014 Craniotomy  for trauma, w catas CC","267","2,410","9.03","27,655,072.26","108,451.26","2,301.4391","8.6196","87","8.6735"
"01020 Craniotomy  except for trauma, no CC","73","335","4.59","3,958,467.87","54,978.72","384.3006","5.2644","37","5.2934"
"01022 Craniotomy  except for trauma, w mild to mod CC","48","453","9.44","3,355,155.86","71,386.29","330.9612","6.8950","22","6.8704"
"01023 Craniotomy  except for trauma, w severe CC","201","1,351","6.72","12,171,784.18","61,473.66","1,765.8536","8.7853","81","8.8027"
"01024 Craniotomy  except for trauma, w catas CC","512","6,213","12.13","51,028,945.71","102,467.76","5,323.0771","10.3966","202","10.3973"
"01030 Spinal procedures, no CC","1","12","12.00","178,273.36","178,273.36","4.0971","4.0971","0","0.0000"
"01033 Spinal procedures, w severe CC","2","94","47.00","515,363.25","257,681.63","14.0391","7.0196","1","7.0253"
"01034 Spinal procedures, w catas CC","10","235","23.50","3,068,473.00","340,941.44","91.8560","9.1856","3","9.1856"
"01040 Ventricular shunt revision, no CC","1","15","15.00","23,244.00","23,244.00","2.3947","2.3947","1","2.3947"
"01042 Ventricular shunt revision, w mild to mod CC","1","2","2.00","9,567.00","9,567.00","3.4467","3.4467","0","0.0000"
"01043 Ventricular shunt revision, w severe CC","1","5","5.00","47,296.50","47,296.50","4.2552","4.2552","0","0.0000"
"01044 Ventricular shunt revision, w catas CC","3","45","15.00","392,245.00","130,748.33","19.4571","6.4857","2","6.4857"
"01052 Extracranial vascular procedures, w mild to mod CC","1","1","1.00","1,360.00","1,360.00","5.3274","5.3274","1","5.3274"
"01060 Peripheral & cranial nerve & other NS proc, no CC","2","4","2.00","16,108.25","8,054.13","3.8448","1.9224","2","1.9224"
"01063 Peripheral & cranial nerve & other NS proc, w severe CC","6","202","33.67","1,416,174.00","236,029.00","25.1345","4.1891","2","4.2515"
"01064 Peripheral & cranial nerve & other NS proc, w catas CC","46","1,479","32.15","8,160,801.58","185,472.76","301.2418","6.5487","15","6.5489"
"01080 Intracranial vasc proc for PDx intracranial h'ge, no CC","8","38","4.75","704,429.00","88,053.63","87.1010","10.8876","7","10.8778"
"01082 Intracranial vasc proc for PDx intracranial h'ge, w mild to mod CC","2","15","7.50","262,137.75","131,068.88","24.0614","12.0307","2","12.0307"
"01083 Intracranial vasc proc for PDx intracranial h'ge, w severe CC","6","80","13.33","948,660.00","158,110.00","82.3062","13.7177","4","13.7177"
"01084 Intracranial vasc proc for PDx intracranial h'ge, w catas CC","34","467","13.74","5,900,830.76","173,553.85","543.1870","15.9761","9","15.9951"
"01090 Intracranial vascular procedures, no CC","2","18","9.00","347,701.00","173,850.50","19.2990","9.6495","0","0.0000"
"01094 Intracranial vascular procedures, w catas CC","4","51","12.75","387,730.25","96,932.56","60.0580","15.0145","1","15.0145"
"01120 Craniotomy (multiple) for trauma, no CC","1","1","1.00","37,602.00","37,602.00","6.5681","6.5681","1","6.5681"
"01123 Craniotomy (multiple) for trauma, w severe CC","2","17","8.50","180,836.00","90,418.00","21.7258","10.8629","1","10.8629"
"01124 Craniotomy (multiple) for trauma, w catas CC","4","38","9.50","468,684.00","117,171.00","56.8800","14.2200","0","0.0000"
"01132 Craniotomy (multiple), w mild to mod CC","2","18","9.00","231,183.00","115,591.50","23.8102","11.9051","1","11.9051"
"01133 Craniotomy (multiple), w severe CC","3","28","9.33","260,845.00","86,948.33","40.9074","13.6358","2","13.6358"
"01134 Craniotomy (multiple), w catas CC","7","178","25.43","1,275,018.00","212,503.00","125.4601","17.9229","2","17.9224"
"01150 Trach for NS disease w mech vent 96+ hr, no CC","2","62","31.00","430,188.00","215,094.00","37.1278","18.5639","2","18.5639"
"01152 Trach for NS disease w mech vent 96+ hr, w mild to mod CC","2","83","41.50","384,916.00","192,458.00","40.3318","20.1659","0","0.0000"
"01153 Trach for NS disease w mech vent 96+ hr, w severe CC","31","1,250","40.32","7,403,144.13","238,811.10","700.4875","22.5964","16","22.5991"
"01154 Trach for NS disease w mech vent 96+ hr, w catas CC","484","31,203","64.47","152,313,053.46","326,852.05","11,657.6990","24.0862","151","24.0821"
"01163 Trach for NS disease, w mild to sev CC","2","56","28.00","204,514.00","102,257.00","41.8568","20.9284","2","20.9284"
"01164 Trach for NS disease, w catas CC","44","2,453","55.75","15,130,040.31","343,864.55","1,021.8061","23.2229","10","23.2187"
"01170 Plasmapheresis for neurologic disease, no CC","1","3","3.00","8,899.50","8,899.50","12.8689","12.8689","0","0.0000"
"01174 Plasmapheresis for neurologic disease, w mild to cat CC","2","25","12.50","364,652.00","182,326.00","32.2940","16.1470","1","16.1470"
"01500 Spinal disorders and injuries, no CC","1","28","28.00","33,337.00","33,337.00","0.9364","0.9364","0","0.0000"
"01502 Spinal disorders and injuries, w mod CC","1","3","3.00","47,316.00","47,316.00","2.2407","2.2407","0","0.0000"
"01503 Spinal disorders and injuries, w severe CC","22","337","15.32","1,467,368.75","66,698.58","68.7827","3.1265","6","3.1101"
"01504 Spinal disorders and injuries, w catas CC","11","277","25.18","1,234,264.15","112,205.83","46.7904","4.2537","2","4.2767"
"01514 Cerebral palsy, w mild to cat CC","2","6","3.00","16,906.00","8,453.00","3.0572","1.5286","0","0.0000"
"01520 Nervous system neoplasms, no CC","44","317","7.20","766,186.05","18,242.53","33.4562","0.7604","3","0.7256"
"01522 Nervous system neoplasms, w mild to mod CC","16","106","6.63","239,580.75","15,972.05","17.2544","1.0784","5","1.0669"
"01523 Nervous system neoplasms, w severe CC","50","349","6.98","949,715.74","18,994.31","80.8621","1.6172","2","1.5573"
"01524 Nervous system neoplasms, w catas CC","59","877","14.86","2,391,565.97","41,957.30","206.5017","3.5000","10","3.5012"
"01530 Degenerative  nervous system disorders, no CC","6","40","6.67","113,136.05","18,856.01","4.5121","0.7520","0","0.0000"
"01531 Degenerative  nervous system disorders, w mild CC","5","71","14.20","184,910.00","36,982.00","4.6767","0.9353","0","0.0000"
"01532 Degenerative  nervous system disorders, w mod CC","4","31","7.75","75,758.00","25,252.67","4.9320","1.2330","1","1.2330"
"01533 Degenerative  nervous system disorders, w severe CC","34","391","11.50","973,085.39","28,620.16","71.8690","2.1138","4","2.0486"
"01534 Degenerative  nervous system disorders, w catas CC","49","1,377","28.10","4,927,587.70","100,563.01","229.5303","4.6843","8","4.6449"
"01543 Multiple sclerosis and cerebellar ataxia, w severe CC","6","60","10.00","377,255.00","62,875.83","24.8506","4.1418","2","4.0923"
"01544 Multiple sclerosis and cerebellar ataxia, w catas CC","7","317","45.29","1,143,749.15","163,392.74","39.6415","5.6631","3","5.4318"
"01550 Specific cerebrovascular disorders exc TIA, not transferred, no CC","936","2,449","2.62","13,787,236.34","15,051.57","957.5086","1.0230","332","1.0220"
"01551 Specific cerebrovascular disorders exc TIA, not transferred, w mild CC","270","780","2.89","4,761,571.65","18,173.94","350.7134","1.2989","85","1.3024"
"01552 Specific cerebrovascular disorders exc TIA, not transferred, w mod CC","432","1,363","3.16","7,330,852.35","17,289.75","597.4867","1.3831","129","1.3657"
"01553 Specific cerebrovascular disorders exc TIA, not transferred, w severe CC","1,804","8,772","4.86","44,574,328.49","25,240.28","4,040.9291","2.2400","521","2.2336"
"01554 Specific cerebrovascular disorders exc TIA, not transferred, w catas CC","1,674","18,289","10.93","88,523,574.00","54,142.86","8,765.2448","5.2361","453","5.2394"
"01560 TIA and precerebral occlusions, no CC","7","42","6.00","134,818.00","19,259.71","4.0201","0.5743","1","0.5478"
"01561 TIA and precerebral occlusions, w mild CC","1","4","4.00","10,932.00","10,932.00","0.6931","0.6931","0","0.0000"
