"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"01010 Craniotomy  for trauma, no CC","81","233","2.88","3,542,207.06","44,838.06","311.0316","3.8399","54","3.8306"
"01011 Craniotomy  for trauma, w mild CC","12","38","3.17","517,787.25","51,778.73","49.8658","4.1555","2","4.1378"
"01012 Craniotomy  for trauma, w mod CC","13","44","3.38","839,400.19","64,569.25","66.0172","5.0782","6","5.1146"
"01013 Craniotomy  for trauma, w severe CC","73","306","4.19","3,970,370.00","60,157.12","455.5946","6.2410","34","6.2508"
"01014 Craniotomy  for trauma, w catas CC","148","1,178","7.96","12,025,481.23","87,777.24","1,269.2407","8.5760","60","8.6652"
"01020 Craniotomy  except for trauma, no CC","57","232","4.07","2,522,031.50","48,500.61","299.0768","5.2470","23","5.2128"
"01022 Craniotomy  except for trauma, w mild to mod CC","21","95","4.52","1,002,767.00","47,750.81","144.2146","6.8674","8","6.8467"
"01023 Craniotomy  except for trauma, w severe CC","108","678","6.28","5,884,584.52","59,440.25","944.8808","8.7489","43","8.7550"
"01024 Craniotomy  except for trauma, w catas CC","270","2,876","10.65","22,417,652.94","90,759.73","2,802.5607","10.3799","105","10.3907"
"01034 Spinal procedures, w catas CC","5","67","13.40","481,692.25","96,338.45","45.9280","9.1856","3","9.1856"
"01043 Ventricular shunt revision, w severe CC","1","42","42.00","186,809.00","186,809.00","4.2552","4.2552","0","0.0000"
"01044 Ventricular shunt revision, w catas CC","1","14","14.00","25,328.00","25,328.00","6.4857","6.4857","0","0.0000"
"01060 Peripheral & cranial nerve & other NS proc, no CC","1","2","2.00","44,435.00","44,435.00","1.8263","1.8263","0","0.0000"
"01063 Peripheral & cranial nerve & other NS proc, w severe CC","6","104","17.33","393,230.00","65,538.33","25.3206","4.2201","2","4.1579"
"01064 Peripheral & cranial nerve & other NS proc, w catas CC","30","893","29.77","3,597,802.06","119,926.74","195.2628","6.5088","13","6.4862"
"01080 Intracranial vasc proc for PDx intracranial h'ge, no CC","1","10","10.00","105,375.00","105,375.00","10.9561","10.9561","0","0.0000"
"01082 Intracranial vasc proc for PDx intracranial h'ge, w mild to mod CC","3","30","10.00","355,002.00","118,334.00","36.0921","12.0307","1","12.0307"
"01083 Intracranial vasc proc for PDx intracranial h'ge, w severe CC","7","70","10.00","819,041.75","117,005.96","96.0239","13.7177","2","13.7177"
"01084 Intracranial vasc proc for PDx intracranial h'ge, w catas CC","15","187","12.47","2,157,382.75","165,952.52","239.9265","15.9951","9","15.9951"
"01094 Intracranial vascular procedures, w catas CC","1","14","14.00","214,864.93","214,864.93","15.0145","15.0145","0","0.0000"
"01124 Craniotomy (multiple) for trauma, w catas CC","1","13","13.00","125,536.00","125,536.00","14.4059","14.4059","1","14.4059"
"01133 Craniotomy (multiple), w severe CC","1","2","2.00","31,972.00","31,972.00","13.6358","13.6358","0","0.0000"
"01150 Trach for NS disease w mech vent 96+ hr, no CC","2","65","32.50","368,278.00","184,139.00","37.1278","18.5639","1","18.5639"
"01152 Trach for NS disease w mech vent 96+ hr, w mild to mod CC","3","119","39.67","709,610.00","236,536.67","60.4977","20.1659","0","0.0000"
"01153 Trach for NS disease w mech vent 96+ hr, w severe CC","19","836","44.00","4,415,911.31","232,416.38","429.3536","22.5976","1","22.5935"
"01154 Trach for NS disease w mech vent 96+ hr, w catas CC","273","16,770","61.43","81,888,071.08","326,247.30","6,575.3105","24.0854","64","24.0991"
"01163 Trach for NS disease, w mild to sev CC","4","159","39.75","756,068.00","189,017.00","83.7136","20.9284","1","20.9284"
"01164 Trach for NS disease, w catas CC","13","741","57.00","3,394,874.38","261,144.18","301.8431","23.2187","4","23.2187"
"01174 Plasmapheresis for neurologic disease, w mild to cat CC","1","6","6.00","124,063.00","124,063.00","16.1470","16.1470","0","0.0000"
"01500 Spinal disorders and injuries, no CC","4","23","5.75","102,857.00","25,714.25","3.6614","0.9154","0","0.0000"
"01501 Spinal disorders and injuries, w mild CC","2","5","2.50","52,070.00","26,035.00","3.5733","1.7866","2","1.7867"
"01502 Spinal disorders and injuries, w mod CC","2","22","11.00","121,324.00","60,662.00","4.4814","2.2407","0","0.0000"
"01503 Spinal disorders and injuries, w severe CC","5","76","15.20","176,031.00","35,206.20","15.5595","3.1119","1","3.1244"
"01504 Spinal disorders and injuries, w catas CC","12","195","16.25","992,252.00","82,687.67","51.2775","4.2731","5","4.2982"
"01520 Nervous system neoplasms, no CC","21","101","4.81","283,338.64","14,166.93","15.8082","0.7528","1","0.7611"
"01522 Nervous system neoplasms, w mild to mod CC","15","181","12.07","357,553.00","23,836.87","16.6857","1.1124","0","0.0000"
"01523 Nervous system neoplasms, w severe CC","37","180","4.86","452,092.50","12,218.72","59.0467","1.5959","2","1.6306"
"01524 Nervous system neoplasms, w catas CC","25","238","9.52","840,118.50","35,004.94","87.6742","3.5070","3","3.5262"
"01530 Degenerative  nervous system disorders, no CC","7","28","4.00","56,011.50","8,001.64","5.2197","0.7457","0","0.0000"
"01531 Degenerative  nervous system disorders, w mild CC","6","58","9.67","81,484.00","13,580.67","5.6862","0.9477","0","0.0000"
"01532 Degenerative  nervous system disorders, w mod CC","5","102","20.40","114,054.00","22,810.80","6.2325","1.2465","0","0.0000"
"01533 Degenerative  nervous system disorders, w severe CC","34","182","5.35","608,906.50","18,451.71","71.2968","2.0970","3","2.1198"
"01534 Degenerative  nervous system disorders, w catas CC","31","788","25.42","2,819,930.88","90,965.51","145.0471","4.6789","2","4.6565"
"01544 Multiple sclerosis and cerebellar ataxia, w catas CC","5","77","15.40","337,614.25","67,522.85","27.0024","5.4005","1","5.4683"
"01550 Specific cerebrovascular disorders exc TIA, not transferred, no CC","496","1,164","2.35","6,629,403.79","13,898.12","507.5595","1.0233","122","1.0206"
"01551 Specific cerebrovascular disorders exc TIA, not transferred, w mild CC","133","384","2.89","1,999,508.62","15,621.16","172.6060","1.2978","25","1.2845"
"01552 Specific cerebrovascular disorders exc TIA, not transferred, w mod CC","206","575","2.79","3,234,643.67","15,934.21","288.6401","1.4012","38","1.3712"
"01553 Specific cerebrovascular disorders exc TIA, not transferred, w severe CC","1,118","5,313","4.75","26,706,535.71","24,569.03","2,500.9584","2.2370","267","2.2336"
"01554 Specific cerebrovascular disorders exc TIA, not transferred, w catas CC","992","10,801","10.89","49,306,520.80","51,956.29","5,190.5975","5.2325","243","5.2255"
"01560 TIA and precerebral occlusions, no CC","3","3","1.00","19,081.00","6,360.33","1.6434","0.5478","2","0.5478"
"01561 TIA and precerebral occlusions, w mild CC","2","12","6.00","22,306.00","11,153.00","1.4274","0.7137","0","0.0000"
"01562 TIA and precerebral occlusions, w mod CC","2","10","5.00","43,365.00","21,682.50","1.7050","0.8525","0","0.0000"
"01563 TIA and precerebral occlusions, w severe CC","8","35","4.38","144,834.50","18,104.31","10.5336","1.3167","0","0.0000"
"01564 TIA and precerebral occlusions, w catas CC","13","176","13.54","982,719.00","75,593.77","46.9889","3.6145","2","3.5839"
"01570 Nonspecific cerebrovascular disorders, no CC","21","186","8.86","605,646.00","28,840.29","13.1821","0.6277","3","0.6099"
"01571 Nonspecific cerebrovascular disorders, w mild CC","9","66","7.33","157,534.00","17,503.78","7.2836","0.8093","1","0.8016"
"01572 Nonspecific cerebrovascular disorders, w mod CC","8","25","3.13","76,813.01","9,601.63","6.8244","0.8530","0","0.0000"
"01573 Nonspecific cerebrovascular disorders, w severe CC","49","188","3.84","671,660.30","13,992.92","69.3343","1.4150","6","1.3825"
"01574 Nonspecific cerebrovascular disorders, w catas CC","65","894","13.75","3,442,064.00","54,635.94","254.7371","3.9190","10","3.8746"
"01580 Cranial and peripheral nerve disorders, no CC","1","1","1.00","6,940.00","6,940.00","0.6176","0.6176","0","0.0000"
"01582 Cranial and peripheral nerve disorders, w mod CC","1","2","2.00","1,796.00","1,796.00","1.0027","1.0027","0","0.0000"
"01583 Cranial and peripheral nerve disorders, w severe CC","3","54","18.00","109,820.50","54,910.25","4.3825","1.4608","2","1.4099"
"01590 Nervous syst infection exc viral meningitis, not transferred, no CC","18","132","7.33","303,483.00","17,851.94","17.5124","0.9729","4","0.9680"
"01591 Nervous syst infection exc viral meningitis, not transferred, w mild CC","13","107","8.23","233,937.60","19,494.80","20.9478","1.6114","2","1.5598"
"01592 Nervous syst infection exc viral meningitis, not transferred, w mod CC","15","137","9.13","386,437.00","32,203.08","29.4705","1.9647","5","1.9541"
"01593 Nervous syst infection exc viral meningitis, not transferred, w severe CC","97","566","5.84","2,645,383.85","28,754.17","285.7240","2.9456","22","2.9559"
"01594 Nervous syst infection exc viral meningitis, not transferred, w catas CC","191","1,907","9.98","11,190,316.77","62,866.95","1,097.8792","5.7481","56","5.7238"
"01604 Viral meningitis, w catas CC","1","6","6.00","31,281.00","31,281.00","5.2845","5.2845","0","0.0000"
