"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","3","78","26.00","294,989.00","98,329.67","73.4229","24.4743","1","33.5929"
"01 Diseases and Disorders of the Nervous System","11,183","109,928","9.83","612,526,523.15","57,525.03","52,401.3316","4.6858","4,068","4.7971"
"02 Diseases and Disorders of the Eye","26","445","17.12","1,967,385.84","78,695.43","107.0883","4.1188","8","2.8925"
"03 Diseases and Disorders of the Ear, Mouth and Throat","646","8,305","12.86","26,062,633.03","41,834.08","1,637.6264","2.5350","119","2.7738"
"04 Diseases and Disorders of the Respiratory","19,851","233,512","11.76","1,102,519,148.16","58,458.07","104,479.1717","5.2634","5,895","6.2835"
"05 Diseases and Disorders of the Circulation","6,990","59,973","8.58","403,865,951.52","60,676.98","30,398.4020","4.3488","2,290","4.9551"
"06 Diseases and Disorders of the Digestive System","6,870","61,785","8.99","391,218,107.24","59,060.70","28,452.5802","4.1416","2,157","4.8187"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","5,066","40,748","8.04","205,766,933.56","42,330.17","17,890.7212","3.5315","1,080","4.3792"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","1,693","25,204","14.89","143,542,057.56","87,847.04","9,214.9517","5.4430","562","6.0038"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","1,906","27,090","14.21","91,115,763.99","50,535.64","7,313.4158","3.8370","399","4.4047"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","997","7,725","7.75","36,191,700.92","37,426.78","2,021.8527","2.0279","181","2.3375"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","5,139","56,139","10.92","246,416,331.43","50,064.27","16,691.4276","3.2480","1,258","3.5337"
"12 Diseases and Disorders ofthe Male Reproductive System","223","2,894","12.98","11,841,207.44","53,823.67","781.2243","3.5032","55","4.3300"
"13 Diseases and Disorders ofthe Female Reproductive System","525","5,202","9.91","18,594,054.10","37,039.95","1,265.0743","2.4097","93","2.6869"
"14 Pregnancy, Childbirth and Puerperium","50","318","6.36","3,499,726.75","71,422.99","69.2108","1.4125","15","0.6290"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","1,186","15,777","13.30","95,778,265.29","83,722.26","9,711.7278","8.1886","187","9.0182"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","480","3,958","8.25","28,020,926.94","60,651.36","1,342.5951","2.7971","154","3.1479"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","1,134","13,945","12.30","75,738,706.77","70,389.13","5,961.1475","5.2567","320","6.3118"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","4,871","34,783","7.14","196,060,240.28","42,400.57","15,192.5261","3.1190","1,409","3.3599"
"19 Mental Diseases and Disorders","33","395","11.97","1,035,998.90","35,724.10","54.4375","1.6496","5","1.8268"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","106","537","5.07","3,150,499.50","30,887.25","169.9741","1.6035","22","1.9633"
"21 Injuries, Poisonings and Toxic Effects of Drugs","1,046","7,729","7.39","41,469,116.78","41,221.79","2,767.7189","2.6485","473","2.7495"
"22 Burns","90","1,490","16.56","16,998,749.85","195,387.93","1,040.3485","11.5594","40","11.8207"
"23 Factors Influencing Health Status and Other Contacts with Health Services","170","1,611","9.48","5,308,263.40","32,767.06","332.4322","1.9555","32","2.9616"
"24 Multiple Significant Trauma","883","8,557","9.69","89,194,772.92","105,182.52","6,992.1426","7.9186","387","7.6428"
"25 Human Immunodeficiency Virus HIV Infections","1,608","16,921","10.52","72,548,689.18","47,448.46","3,821.5736","2.3766","480","2.5043"
"26 Unacceptable, Ungroupable","1,790","16,111","9.00","89,727,008.49","52,687.62","1,292.9719","5.6709","431","6.3348"
"28 LOS 6 hours or less","5,563","6,378","1.15","57,462,158.30","10,874.75","3,885.6873","0.6986","1,877","0.7437"
