"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","277","16,916","61.07","248,061,268.70","895,528.05","7,943.0177","28.6752","68","30.3998"
"01 Diseases and Disorders of the Nervous System","12,182","112,655","9.25","653,344,619.94","56,995.95","54,900.1378","4.5067","4,066","4.6320"
"02 Diseases and Disorders of the Eye","29","270","9.31","1,735,319.41","66,743.05","108.1193","3.7283","5","1.3978"
"03 Diseases and Disorders of the Ear, Mouth and Throat","758","7,478","9.87","24,271,957.03","33,852.10","1,830.4472","2.4148","110","3.4976"
"04 Diseases and Disorders of the Respiratory","21,582","232,480","10.77","1,398,508,029.68","68,517.37","104,180.5344","4.8274","5,460","5.7344"
"05 Diseases and Disorders of the Circulation","8,070","66,489","8.24","472,253,772.32","61,845.70","34,410.7544","4.2640","2,371","4.7278"
"06 Diseases and Disorders of the Digestive System","7,600","66,416","8.74","430,563,744.37","59,667.92","29,993.3602","3.9465","2,093","4.6617"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","5,279","40,080","7.59","203,411,311.71","40,714.83","17,449.1358","3.3054","1,029","4.0269"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","1,919","25,633","13.36","149,123,081.59","80,563.52","9,637.8230","5.0223","581","5.3684"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","2,312","30,047","13.00","110,274,044.60","49,672.99","7,986.5944","3.4544","414","4.0911"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","1,170","9,017","7.71","41,604,915.05","37,213.70","2,256.0806","1.9283","173","2.0620"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","5,567","54,254","9.75","236,955,374.13","44,532.11","16,270.9498","2.9228","1,228","3.1915"
"12 Diseases and Disorders ofthe Male Reproductive System","232","2,987","12.88","12,959,114.96","57,596.07","837.0490","3.6080","36","4.2864"
"13 Diseases and Disorders ofthe Female Reproductive System","620","6,271","10.11","22,452,583.77","37,862.70","1,449.4759","2.3379","84","2.9390"
"14 Pregnancy, Childbirth and Puerperium","49","321","6.55","3,888,834.94","90,438.02","77.7726","1.5872","15","1.0815"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","1,227","14,858","12.11","100,942,141.80","87,094.17","9,515.4242","7.7550","178","8.1708"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","480","4,178","8.70","29,488,977.71","64,246.14","1,431.2690","2.9818","119","3.5593"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","1,247","15,779","12.65","86,364,935.50","73,066.78","6,252.9320","5.0144","287","5.7520"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","4,628","34,604","7.48","198,258,519.15","45,192.28","13,956.7916","3.0157","1,296","3.1930"
"19 Mental Diseases and Disorders","59","854","14.47","2,822,901.37","58,810.45","97.5976","1.6542","7","1.9885"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","107","604","5.64","2,697,724.59","26,710.14","157.7858","1.4746","18","1.6384"
"21 Injuries, Poisonings and Toxic Effects of Drugs","1,144","6,987","6.11","38,554,885.96","36,201.77","2,630.7290","2.2996","425","2.0951"
"22 Burns","81","1,185","14.63","13,985,931.73","174,824.15","839.8323","10.3683","30","10.8272"
"23 Factors Influencing Health Status and Other Contacts with Health Services","197","2,671","13.56","9,010,265.54","47,422.45","514.3092","2.6107","34","2.5480"
"24 Multiple Significant Trauma","882","7,764","8.80","88,465,293.54","105,693.30","6,702.1824","7.5988","358","7.3819"
"25 Human Immunodeficiency Virus HIV Infections","1,716","16,738","9.75","78,472,746.33","48,469.89","3,932.3339","2.2916","476","2.3994"
"26 Unacceptable, Ungroupable","1,929","19,374","10.04","168,860,230.27","89,344.04","1,373.3858","5.6286","406","5.8149"
"28 LOS 6 hours or less","5,399","6,880","1.27","51,965,549.85","10,898.81","3,760.0511","0.6964","1,661","0.7400"
