"ชื่อกลุ่ม","ทั้งหมด","กลุ่มผ่าตัด","ไม่ผ่าตัด"
"จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","67","1,897.2088","28.3165","67","1,897.2088","28.3165","0","0.0000","0.0000"
"01 Diseases and Disorders of the Nervous System","241,965","355,282.5116","1.4683","12,774","122,351.9807","9.5782","229,191","232,930.5309","1.0163"
"02 Diseases and Disorders of the Eye","116,956","143,927.4281","1.2306","102,620","136,085.9493","1.3261","14,336","7,841.4788","0.5470"
"03 Diseases and Disorders of the Ear, Mouth and Throat","159,728","82,746.9825","0.5180","14,781","27,263.9321","1.8445","144,947","55,483.0504","0.3828"
"04 Diseases and Disorders of the Respiratory","482,569","603,395.3754","1.2504","38,560","257,375.4159","6.6747","444,009","346,019.9595","0.7793"
"05 Diseases and Disorders of the Circulation","201,770","328,562.4132","1.6284","18,388","130,227.6376","7.0822","183,382","198,334.7756","1.0815"
"06 Diseases and Disorders of the Digestive System","548,482","515,498.7755","0.9399","125,338","265,692.4261","2.1198","423,144","249,806.3494","0.5904"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","88,267","169,150.4849","1.9164","16,762","60,206.5262","3.5918","71,505","108,943.9587","1.5236"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","208,776","337,803.7609","1.6180","102,855","245,484.5102","2.3867","105,921","92,319.2507","0.8716"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","136,950","144,062.8650","1.0519","25,601","53,925.3212","2.1064","111,349","90,137.5438","0.8095"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","103,154","70,277.2294","0.6813","5,060","12,718.1981","2.5135","98,094","57,559.0313","0.5868"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","221,778","254,453.4704","1.1473","29,542","75,926.4627","2.5701","192,236","178,527.0077","0.9287"
"12 Diseases and Disorders ofthe Male Reproductive System","17,294","23,036.2232","1.3320","8,517","15,389.1125","1.8069","8,777","7,647.1107","0.8713"
"13 Diseases and Disorders ofthe Female Reproductive System","61,623","78,608.9112","1.2756","33,077","51,793.3042","1.5658","28,546","26,815.6070","0.9394"
"14 Pregnancy, Childbirth and Puerperium","412,140","268,750.6979","0.6521","158,476","177,613.8395","1.1208","253,664","91,136.8584","0.3593"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","333,977","191,429.4213","0.5732","19,802","95,600.1872","4.8278","314,175","95,829.2341","0.3050"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","99,826","63,366.8256","0.6348","1,657","3,721.0524","2.2457","98,169","59,645.7732","0.6076"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","19,820","53,456.3915","2.6971","1,042","4,700.0863","4.5106","18,778","48,756.3052","2.5965"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","233,074","173,991.3530","0.7465","5,428","21,085.6308","3.8846","227,646","152,905.7222","0.6717"
"19 Mental Diseases and Disorders","20,579","23,999.8084","1.1662","215","778.8010","3.6223","20,364","23,221.0074","1.1403"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","28,112","18,339.5589","0.6524","2,592","1,385.2605","0.5344","25,520","16,954.2984","0.6644"
"21 Injuries, Poisonings and Toxic Effects of Drugs","96,831","57,892.9162","0.5979","7,897","16,580.2313","2.0996","88,934","41,312.6849","0.4645"
"22 Burns","5,684","13,052.6487","2.2964","243","3,356.9987","13.8148","5,441","9,695.6500","1.7820"
"23 Factors Influencing Health Status and Other Contacts with Health Services","22,892","14,435.3795","0.6306","1,400","2,215.3688","1.5824","21,492","12,220.0107","0.5686"
"24 Multiple Significant Trauma","16,396","84,705.1568","5.1662","14,452","76,467.3048","5.2911","1,944","8,237.8520","4.2376"
"25 Human Immunodeficiency Virus HIV Infections","17,604","26,771.9460","1.5208","801","2,848.9797","3.5568","16,803","23,922.9663","1.4237"
"26 Unacceptable, Ungroupable","103,795","14,071.9632","0.1356","5,257","12,839.6310","2.4424","98,538","1,232.3322","0.0125"
"28 LOS 6 hours or less","57,016","15,415.2328","0.2704","5,303","3,449.2579","0.6504","51,713","11,965.9749","0.2314"
