"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"01010 Craniotomy  for trauma, no CC","105","357","3.40","5,479,195.85","55,910.16","407.5444","3.8814","35","3.8864"
"01011 Craniotomy  for trauma, w mild CC","115","428","3.72","6,857,886.37","64,092.40","585.7574","5.0935","48","5.2131"
"01012 Craniotomy  for trauma, w mod CC","92","889","9.66","8,643,334.10","97,116.11","693.5001","7.5380","39","7.5799"
"01013 Craniotomy  for trauma, w severe CC","118","424","3.59","7,198,413.19","63,143.98","732.6661","6.2090","49","6.2007"
"01014 Craniotomy  for trauma, w catas CC","222","1,944","8.76","22,942,946.38","108,221.45","1,915.3579","8.6277","117","8.6301"
"01020 Craniotomy  except for trauma, no CC","136","595","4.38","7,365,235.82","56,223.17","680.6955","5.0051","52","5.0390"
"01022 Craniotomy  except for trauma, w mild to mod CC","89","720","8.09","7,095,039.32","82,500.46","680.0053","7.6405","39","7.5748"
"01023 Craniotomy  except for trauma, w severe CC","330","3,142","9.52","29,518,085.83","92,533.18","3,200.3303","9.6980","139","9.5069"
"01024 Craniotomy  except for trauma, w catas CC","500","6,456","12.91","54,771,635.31","115,308.71","5,201.7027","10.4034","203","10.3968"
"01030 Spinal procedures, no CC","1","2","2.00","76,890.25","76,890.25","4.0971","4.0971","0","0.0000"
"01032 Spinal procedures, w mild to mod CC","5","159","31.80","1,158,341.75","231,668.35","60.7124","12.1425","0","0.0000"
"01033 Spinal procedures, w severe CC","2","10","5.00","84,780.40","42,390.20","14.0276","7.0138","0","0.0000"
"01034 Spinal procedures, w catas CC","12","354","29.50","3,127,974.68","260,664.56","110.2272","9.1856","2","9.1856"
"01044 Ventricular shunt revision, w catas CC","3","75","25.00","405,052.11","135,017.37","19.4571","6.4857","0","0.0000"
"01060 Peripheral & cranial nerve & other NS proc, no CC","5","23","4.60","182,104.19","36,420.84","9.5159","1.9032","0","0.0000"
"01061 Peripheral & cranial nerve & other NS proc, w mild CC","1","8","8.00","21,786.00","21,786.00","2.1682","2.1682","0","0.0000"
"01062 Peripheral & cranial nerve & other NS proc, w mod CC","3","38","12.67","186,459.67","62,153.22","17.8767","5.9589","0","0.0000"
"01063 Peripheral & cranial nerve & other NS proc, w severe CC","6","141","23.50","800,664.57","133,444.10","25.5338","4.2556","1","4.2645"
"01064 Peripheral & cranial nerve & other NS proc, w catas CC","39","904","23.18","4,856,187.89","124,517.64","255.2720","6.5454","14","6.5413"
"01080 Intracranial vasc proc for PDx intracranial h'ge, no CC","1","5","5.00","100,000.00","100,000.00","10.9561","10.9561","0","0.0000"
"01082 Intracranial vasc proc for PDx intracranial h'ge, w mild to mod CC","2","10","5.00","258,833.50","129,416.75","24.0614","12.0307","2","12.0307"
"01083 Intracranial vasc proc for PDx intracranial h'ge, w severe CC","13","120","9.23","1,849,485.50","142,268.12","178.3301","13.7177","7","13.7177"
"01084 Intracranial vasc proc for PDx intracranial h'ge, w catas CC","28","309","11.04","4,600,259.71","164,294.99","447.0630","15.9665","13","15.9336"
"01093 Intracranial vascular procedures, w mild to sev CC","1","5","5.00","130,991.75","130,991.75","12.7813","12.7813","1","12.7813"
"01094 Intracranial vascular procedures, w catas CC","2","16","8.00","210,914.11","105,457.06","30.0290","15.0145","2","15.0145"
"01123 Craniotomy (multiple) for trauma, w severe CC","1","12","12.00","139,853.25","139,853.25","10.8629","10.8629","1","10.8629"
"01124 Craniotomy (multiple) for trauma, w catas CC","2","123","61.50","803,838.73","401,919.37","28.8723","14.4362","1","14.4664"
"01130 Craniotomy (multiple), no CC","1","11","11.00","82,883.00","82,883.00","9.7234","9.7234","1","9.7234"
"01133 Craniotomy (multiple), w severe CC","2","80","40.00","565,160.00","282,580.00","27.2716","13.6358","1","13.6358"
"01134 Craniotomy (multiple), w catas CC","4","69","17.25","659,343.25","164,835.81","71.6896","17.9224","2","17.9224"
"01150 Trach for NS disease w mech vent 96+ hr, no CC","3","95","31.67","544,110.30","181,370.10","55.6917","18.5639","0","0.0000"
"01152 Trach for NS disease w mech vent 96+ hr, w mild to mod CC","2","125","62.50","629,832.90","314,916.45","40.3318","20.1659","0","0.0000"
"01153 Trach for NS disease w mech vent 96+ hr, w severe CC","23","954","41.48","4,995,786.25","227,081.19","519.9174","22.6051","12","22.6143"
"01154 Trach for NS disease w mech vent 96+ hr, w catas CC","382","25,893","67.78","129,152,713.98","356,775.45","9,203.6517","24.0933","120","24.0803"
"01160 Trach for NS disease, no CC","2","206","103.00","759,922.05","379,961.03","36.5732","18.2866","0","0.0000"
"01163 Trach for NS disease, w mild to sev CC","3","98","32.67","724,898.00","241,632.67","62.7852","20.9284","1","20.9284"
"01164 Trach for NS disease, w catas CC","36","2,137","59.36","15,513,622.09","430,933.95","836.1269","23.2257","16","23.2346"
