"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"01010 Craniotomy  for trauma, no CC","5","12","2.40","307,038.00","61,407.60","19.3194","3.8639","4","3.8541"
"01011 Craniotomy  for trauma, w mild CC","1","1","1.00","51,524.00","51,524.00","4.0317","4.0317","0","0.0000"
"01013 Craniotomy  for trauma, w severe CC","9","51","5.67","673,266.00","74,807.33","56.6739","6.2971","5","6.2971"
"01014 Craniotomy  for trauma, w catas CC","29","357","12.31","2,727,506.00","94,051.93","249.6650","8.6091","12","8.6197"
"01020 Craniotomy  except for trauma, no CC","12","99","8.25","963,809.00","80,317.42","62.9914","5.2493","8","5.2272"
"01022 Craniotomy  except for trauma, w mild to mod CC","5","15","3.00","231,606.00","46,321.20","33.9736","6.7947","3","6.7023"
"01023 Craniotomy  except for trauma, w severe CC","26","187","7.19","1,663,443.00","63,978.58","227.9180","8.7661","5","8.7797"
"01024 Craniotomy  except for trauma, w catas CC","45","487","10.82","4,440,156.00","98,670.13","467.7048","10.3934","14","10.4282"
"01034 Spinal procedures, w catas CC","3","62","20.67","694,003.00","231,334.33","27.5568","9.1856","1","9.1856"
"01060 Peripheral & cranial nerve & other NS proc, no CC","1","19","19.00","29,097.00","29,097.00","1.9433","1.9433","0","0.0000"
"01064 Peripheral & cranial nerve & other NS proc, w catas CC","10","560","56.00","1,692,589.88","169,258.99","65.8172","6.5817","1","6.5413"
"01093 Intracranial vascular procedures, w mild to sev CC","1","8","8.00","101,328.00","101,328.00","12.7813","12.7813","0","0.0000"
"01094 Intracranial vascular procedures, w catas CC","1","19","19.00","183,084.00","183,084.00","15.0145","15.0145","0","0.0000"
"01154 Trach for NS disease w mech vent 96+ hr, w catas CC","73","4,653","63.74","21,838,467.38","299,157.09","1,759.1560","24.0980","4","24.0480"
"01164 Trach for NS disease, w catas CC","4","377","94.25","2,117,182.00","529,295.50","93.3400","23.3350","0","0.0000"
"01502 Spinal disorders and injuries, w mod CC","1","5","5.00","36,505.00","36,505.00","2.2407","2.2407","0","0.0000"
"01503 Spinal disorders and injuries, w severe CC","2","4","2.00","34,088.00","17,044.00","5.9676","2.9838","0","0.0000"
"01504 Spinal disorders and injuries, w catas CC","3","10","3.33","58,951.00","19,650.33","12.4647","4.1549","0","0.0000"
"01520 Nervous system neoplasms, no CC","6","32","5.33","64,838.00","10,806.33","4.4805","0.7468","0","0.0000"
"01522 Nervous system neoplasms, w mild to mod CC","7","23","3.29","47,859.40","6,837.06","7.6064","1.0866","0","0.0000"
"01523 Nervous system neoplasms, w severe CC","14","173","12.36","502,687.00","35,906.21","22.5770","1.6126","1","1.5980"
