"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"01010 Craniotomy  for trauma, no CC","89","320","3.60","4,443,119.26","51,070.34","342.4806","3.8481","44","3.8497"
"01011 Craniotomy  for trauma, w mild CC","28","159","5.68","1,561,168.25","65,048.68","116.4031","4.1573","17","4.1886"
"01012 Craniotomy  for trauma, w mod CC","34","108","3.18","1,406,370.60","50,227.52","171.9635","5.0578","10","5.1053"
"01013 Craniotomy  for trauma, w severe CC","147","708","4.82","8,916,551.05","61,920.49","915.2683","6.2263","80","6.2301"
"01014 Craniotomy  for trauma, w catas CC","271","2,036","7.51","23,160,799.51","90,119.84","2,338.6590","8.6297","116","8.6420"
"01020 Craniotomy  except for trauma, no CC","82","378","4.61","4,362,059.96","55,923.85","428.5332","5.2260","42","5.2502"
"01022 Craniotomy  except for trauma, w mild to mod CC","62","341","5.50","3,608,094.10","65,601.71","426.0470","6.8717","24","6.8612"
"01023 Craniotomy  except for trauma, w severe CC","228","1,401","6.14","13,052,728.88","63,983.97","2,004.9642","8.7937","101","8.7964"
"01024 Craniotomy  except for trauma, w catas CC","519","6,242","12.03","52,308,751.69","106,535.14","5,395.0123","10.3950","195","10.4051"
"01033 Spinal procedures, w severe CC","3","34","11.33","641,073.00","213,691.00","21.0414","7.0138","2","7.0138"
"01034 Spinal procedures, w catas CC","11","258","23.45","1,852,443.00","168,403.91","101.0416","9.1856","5","9.1856"
"01044 Ventricular shunt revision, w catas CC","3","41","13.67","133,654.00","66,827.00","19.4571","6.4857","1","6.4857"
"01060 Peripheral & cranial nerve & other NS proc, no CC","4","62","15.50","237,947.00","59,486.75","7.5705","1.8926","2","1.8263"
"01061 Peripheral & cranial nerve & other NS proc, w mild CC","1","18","18.00","103,177.00","103,177.00","2.1682","2.1682","0","0.0000"
"01063 Peripheral & cranial nerve & other NS proc, w severe CC","10","69","6.90","318,623.00","35,402.56","42.0054","4.2005","5","4.2219"
"01064 Peripheral & cranial nerve & other NS proc, w catas CC","50","1,902","38.04","7,988,540.31","169,968.94","327.5572","6.5511","19","6.5498"
"01080 Intracranial vasc proc for PDx intracranial h'ge, no CC","1","28","28.00","254,882.00","254,882.00","10.9972","10.9972","0","0.0000"
"01082 Intracranial vasc proc for PDx intracranial h'ge, w mild to mod CC","3","25","8.33","269,947.00","134,973.50","36.0921","12.0307","2","12.0307"
"01083 Intracranial vasc proc for PDx intracranial h'ge, w severe CC","13","84","6.46","1,426,819.00","109,755.31","178.3301","13.7177","6","13.7177"
"01084 Intracranial vasc proc for PDx intracranial h'ge, w catas CC","39","447","11.46","5,760,579.89","151,594.21","622.5778","15.9635","18","15.9951"
"01093 Intracranial vascular procedures, w mild to sev CC","1","11","11.00","268,609.00","268,609.00","12.7813","12.7813","0","0.0000"
"01094 Intracranial vascular procedures, w catas CC","3","29","9.67","412,078.00","137,359.33","44.2928","14.7643","1","15.0145"
"01120 Craniotomy (multiple) for trauma, no CC","1","5","5.00","76,261.00","76,261.00","6.9138","6.9138","1","6.9138"
"01123 Craniotomy (multiple) for trauma, w severe CC","1","4","4.00","68,535.00","68,535.00","10.8629","10.8629","1","10.8629"
"01124 Craniotomy (multiple) for trauma, w catas CC","5","78","15.60","818,694.50","163,738.90","72.0118","14.4024","2","14.4059"
"01133 Craniotomy (multiple), w severe CC","2","51","25.50","457,875.00","228,937.50","27.2716","13.6358","2","13.6358"
"01134 Craniotomy (multiple), w catas CC","15","431","28.73","3,040,441.50","202,696.10","269.2057","17.9470","10","17.9599"
"01150 Trach for NS disease w mech vent 96+ hr, no CC","2","105","52.50","724,480.00","362,240.00","37.2228","18.6114","1","18.6589"
"01152 Trach for NS disease w mech vent 96+ hr, w mild to mod CC","5","262","52.40","1,290,015.00","258,003.00","100.8295","20.1659","1","20.1659"
"01153 Trach for NS disease w mech vent 96+ hr, w severe CC","25","1,509","60.36","7,947,262.75","317,890.51","566.2150","22.6486","7","22.6731"
"01154 Trach for NS disease w mech vent 96+ hr, w catas CC","457","29,006","63.47","137,520,568.10","329,785.54","11,009.1322","24.0900","158","24.0762"
"01160 Trach for NS disease, no CC","3","223","74.33","1,230,822.00","410,274.00","54.8735","18.2912","0","0.0000"
"01163 Trach for NS disease, w mild to sev CC","9","554","61.56","2,537,032.75","281,892.53","188.7876","20.9764","3","20.9284"
"01164 Trach for NS disease, w catas CC","44","3,077","69.93","17,599,928.24","419,045.91","1,022.9149","23.2481","15","23.2569"
"01170 Plasmapheresis for neurologic disease, no CC","1","3","3.00","61,341.00","61,341.00","12.8689","12.8689","0","0.0000"
"01500 Spinal disorders and injuries, no CC","4","16","4.00","273,060.50","68,265.13","3.6801","0.9200","2","0.9364"
"01501 Spinal disorders and injuries, w mild CC","2","21","10.50","40,389.00","20,194.50","3.6094","1.8047","0","0.0000"
"01502 Spinal disorders and injuries, w mod CC","1","2","2.00","12,457.75","12,457.75","2.2407","2.2407","0","0.0000"
"01503 Spinal disorders and injuries, w severe CC","11","147","13.36","696,465.50","69,646.55","33.9701","3.0882","5","3.0744"
"01504 Spinal disorders and injuries, w catas CC","14","181","12.93","912,122.25","65,151.59","59.2668","4.2333","6","4.2409"
"01510 Cerebral palsy, no CC","1","1","1.00","3,710.00","3,710.00","0.9228","0.9228","0","0.0000"
"01514 Cerebral palsy, w mild to cat CC","3","10","3.33","36,915.75","12,305.25","4.4788","1.4929","0","0.0000"
"01520 Nervous system neoplasms, no CC","40","182","4.55","426,784.25","10,943.19","29.8154","0.7454","4","0.7475"
"01522 Nervous system neoplasms, w mild to mod CC","10","59","5.90","128,721.31","12,872.13","10.8224","1.0822","0","0.0000"
"01523 Nervous system neoplasms, w severe CC","44","333","7.57","1,220,379.00","28,380.91","70.7613","1.6082","5","1.6176"
"01524 Nervous system neoplasms, w catas CC","52","526","10.12","1,723,991.92","35,183.51","181.3057","3.4866","8","3.5086"
"01530 Degenerative  nervous system disorders, no CC","12","55","4.58","110,262.00","10,023.82","8.9709","0.7476","1","0.7609"
"01531 Degenerative  nervous system disorders, w mild CC","9","51","5.67","157,015.00","17,446.11","8.3363","0.9263","1","0.9409"
"01532 Degenerative  nervous system disorders, w mod CC","9","54","6.00","127,616.50","15,952.06","10.6655","1.1851","0","0.0000"
"01533 Degenerative  nervous system disorders, w severe CC","42","892","21.24","2,558,093.25","60,906.98","89.0241","2.1196","5","2.1269"
"01534 Degenerative  nervous system disorders, w catas CC","45","1,299","28.87","4,798,078.49","106,623.97","211.2470","4.6944","9","4.7399"
"01543 Multiple sclerosis and cerebellar ataxia, w severe CC","7","127","18.14","559,657.50","79,951.07","29.6693","4.2385","1","4.2407"
"01544 Multiple sclerosis and cerebellar ataxia, w catas CC","6","69","11.50","351,284.63","70,256.93","32.7004","5.4501","2","5.4683"
"01550 Specific cerebrovascular disorders exc TIA, not transferred, no CC","1,045","2,486","2.38","15,449,895.17","15,465.36","1,069.7345","1.0237","362","1.0227"
"01551 Specific cerebrovascular disorders exc TIA, not transferred, w mild CC","355","1,227","3.46","6,681,789.04","20,186.67","462.4145","1.3026","147","1.2961"
"01552 Specific cerebrovascular disorders exc TIA, not transferred, w mod CC","486","1,613","3.32","9,247,500.02","19,675.53","668.0573","1.3746","201","1.3680"
"01553 Specific cerebrovascular disorders exc TIA, not transferred, w severe CC","1,846","9,328","5.05","47,565,533.40","27,087.43","4,134.2276","2.2396","622","2.2339"
"01554 Specific cerebrovascular disorders exc TIA, not transferred, w catas CC","1,699","20,350","11.98","96,806,734.94","60,542.05","8,904.6378","5.2411","589","5.2231"
"01560 TIA and precerebral occlusions, no CC","1","1","1.00","12,185.00","12,185.00","0.5478","0.5478","0","0.0000"
"01561 TIA and precerebral occlusions, w mild CC","1","2","2.00","21,555.00","21,555.00","0.6931","0.6931","0","0.0000"
"01562 TIA and precerebral occlusions, w mod CC","3","7","2.33","35,364.00","11,788.00","2.5575","0.8525","2","0.8525"
"01563 TIA and precerebral occlusions, w severe CC","9","37","4.11","241,929.00","30,241.13","11.6659","1.2962","3","1.3167"
"01564 TIA and precerebral occlusions, w catas CC","13","140","10.77","1,171,143.00","90,087.92","46.5531","3.5810","5","3.5549"
"01570 Nonspecific cerebrovascular disorders, no CC","41","147","3.59","654,335.75","17,219.36","25.2394","0.6156","2","0.6099"
"01571 Nonspecific cerebrovascular disorders, w mild CC","17","78","4.59","276,214.28","17,263.39","13.3819","0.7872","4","0.7736"
