"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","24","1,400","58.33","6,864,611.00","286,025.46","658.9189","27.4550","0","0.0000"
"01 Diseases and Disorders of the Nervous System","6,169","58,310","9.45","314,468,322.49","53,155.56","29,153.3335","4.7258","1,627","5.0997"
"02 Diseases and Disorders of the Eye","11","126","11.45","492,689.75","44,789.98","19.2538","1.7503","2","1.7591"
"03 Diseases and Disorders of the Ear, Mouth and Throat","406","5,145","12.67","14,045,527.55","35,558.30","949.8937","2.3396","46","3.5684"
"04 Diseases and Disorders of the Respiratory","11,123","127,942","11.50","576,188,316.82","53,990.66","59,713.4899","5.3699","1,997","6.4029"
"05 Diseases and Disorders of the Circulation","3,863","28,347","7.34","165,024,234.46","44,373.28","14,659.1017","3.7947","794","4.5553"
"06 Diseases and Disorders of the Digestive System","3,937","33,371","8.48","200,430,471.63","52,717.12","15,522.9209","3.9428","831","4.4785"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","2,977","22,219","7.46","102,317,568.89","35,477.66","10,132.4637","3.4036","381","3.7943"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","1,007","13,014","12.92","72,101,712.52","75,420.20","5,269.8297","5.2332","240","5.4842"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","1,099","17,795","16.19","52,236,854.65","48,728.41","4,114.6373","3.7440","127","4.2831"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","573","4,056","7.08","18,698,088.28","33,569.28","1,393.5348","2.4320","78","2.5495"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","2,538","25,199","9.93","107,638,986.25","43,560.90","7,868.8612","3.1016","344","3.6665"
"12 Diseases and Disorders ofthe Male Reproductive System","120","1,857","15.48","6,851,069.81","59,574.52","440.0351","3.6670","18","4.3940"
"13 Diseases and Disorders ofthe Female Reproductive System","301","2,990","9.93","8,906,485.68","30,397.56","700.1047","2.3259","23","2.8411"
"14 Pregnancy, Childbirth and Puerperium","33","161","4.88","2,085,351.25","65,167.23","34.2246","1.0371","9","1.2755"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","672","8,442","12.56","49,091,568.12","77,431.50","5,361.7098","7.9787","95","9.4430"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","205","1,556","7.59","10,318,805.61","52,115.18","607.8351","2.9650","51","3.9362"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","546","5,840","10.70","28,451,574.93","53,885.56","2,541.7181","4.6552","81","6.5212"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","3,282","23,268","7.09","119,619,006.52","38,216.93","10,312.4294","3.1421","651","3.3175"
"19 Mental Diseases and Disorders","38","310","8.16","891,223.13","27,850.72","91.4857","2.4075","9","1.8719"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","60","320","5.33","1,197,350.50","21,381.26","92.8405","1.5473","10","1.8681"
"21 Injuries, Poisonings and Toxic Effects of Drugs","623","4,546","7.30","22,093,844.71","36,884.55","1,501.0868","2.4094","178","2.5954"
"22 Burns","42","710","16.90","5,306,348.00","126,341.62","460.2374","10.9580","15","13.0225"
"23 Factors Influencing Health Status and Other Contacts with Health Services","82","870","10.61","2,490,377.31","30,370.46","127.3507","1.5531","1","0.9425"
"24 Multiple Significant Trauma","471","4,374","9.29","43,983,921.49","99,736.78","3,734.1533","7.9281","174","7.6892"
"25 Human Immunodeficiency Virus HIV Infections","988","8,492","8.60","32,005,777.76","33,868.55","2,138.7528","2.1647","181","2.4919"
"26 Unacceptable, Ungroupable","1,481","18,673","12.61","103,011,273.32","70,749.50","906.2657","6.0018","268","6.4904"
"28 LOS 6 hours or less","3,446","3,731","1.08","30,816,107.49","9,380.85","2,454.6429","0.7123","776","0.7562"
