"ชื่อกลุ่ม","ทั้งหมด","ไตรมาส1","ไตรมาส2","ไตรมาส3","ไตรมาส4"
"จำนวน","ผลรวมAdjRW","CMI","จำนวน","ผลรวมAdjRW","CMI","จำนวน","ผลรวมAdjRW","CMI","จำนวน","ผลรวมAdjRW","CMI","จำนวน","ผลรวมAdjRW","CMI"
"00019 Liver transplant, w or wo CC","7","357.6540","51.0934","0","0.0000","0.0000","5","254.7320","50.9464","2","102.9220","51.4610","0","0.0000","0.0000"
"00049 Bone marrow transplant, w or wo CC","1","49.0264","49.0264","1","49.0264","49.0264","0","0.0000","0.0000","0","0.0000","0.0000","0","0.0000","0.0000"
"01010 Craniotomy  for trauma, no CC","467","1,853.8950","3.9698","362","1,441.4827","3.9820","87","342.1601","3.9329","6","23.4174","3.9029","0","0.0000","0.0000"
"01011 Craniotomy  for trauma, w mild CC","178","882.9119","4.9602","133","670.9400","5.0447","32","152.6393","4.7700","6","28.1361","4.6894","1","5.7331","5.7331"
"01012 Craniotomy  for trauma, w mod CC","142","1,001.2432","7.0510","93","697.6004","7.5011","37","229.9927","6.2160","9","58.1773","6.4641","0","0.0000","0.0000"
"01013 Craniotomy  for trauma, w severe CC","244","1,530.8098","6.2738","178","1,117.0302","6.2755","55","345.0809","6.2742","4","24.8735","6.2184","0","0.0000","0.0000"
"01014 Craniotomy  for trauma, w catas CC","283","2,448.5315","8.6521","193","1,669.3525","8.6495","70","606.3038","8.6615","10","86.8720","8.6872","0","0.0000","0.0000"
"01020 Craniotomy  except for trauma, no CC","534","2,743.5977","5.1378","437","2,241.5278","5.1294","75","386.9421","5.1592","6","30.9628","5.1605","0","0.0000","0.0000"
"01022 Craniotomy  except for trauma, w mild to mod CC","248","1,849.4334","7.4574","199","1,494.8199","7.5117","38","278.3461","7.3249","6","41.6004","6.9334","0","0.0000","0.0000"
"01023 Craniotomy  except for trauma, w severe CC","654","6,254.4068","9.5633","515","4,962.8915","9.6367","106","1,000.1674","9.4355","9","79.8156","8.8684","0","0.0000","0.0000"
"01024 Craniotomy  except for trauma, w catas CC","738","7,690.8001","10.4211","549","5,720.9747","10.4207","146","1,520.8708","10.4169","27","281.8830","10.4401","0","0.0000","0.0000"
"01030 Spinal procedures, no CC","154","691.9541","4.4932","113","510.9334","4.5215","29","128.0285","4.4148","9","38.9413","4.3268","2","9.9538","4.9769"
"01032 Spinal procedures, w mild to mod CC","58","433.9447","7.4818","36","271.2531","7.5348","15","112.5118","7.5008","7","50.1798","7.1685","0","0.0000","0.0000"
"01033 Spinal procedures, w severe CC","72","504.6506","7.0090","42","294.2289","7.0055","19","133.2622","7.0138","11","77.1595","7.0145","0","0.0000","0.0000"
"01034 Spinal procedures, w catas CC","51","468.4656","9.1856","22","202.0832","9.1856","21","192.8976","9.1856","7","64.2992","9.1856","0","0.0000","0.0000"
"01040 Ventricular shunt revision, no CC","20","48.0979","2.4049","10","23.8200","2.3820","5","12.1391","2.4278","3","7.1841","2.3947","1","2.5600","2.5600"
"01042 Ventricular shunt revision, w mild to mod CC","3","10.3401","3.4467","3","10.3401","3.4467","0","0.0000","0.0000","0","0.0000","0.0000","0","0.0000","0.0000"
"01043 Ventricular shunt revision, w severe CC","14","59.5728","4.2552","4","17.0208","4.2552","2","8.5104","4.2552","6","25.5312","4.2552","1","4.2552","4.2552"
"01044 Ventricular shunt revision, w catas CC","10","64.9223","6.4922","4","25.9428","6.4857","3","19.4571","6.4857","3","19.5224","6.5075","0","0.0000","0.0000"
"01050 Extracranial vascular procedures, no CC","21","72.1006","3.4334","8","26.8436","3.3555","5","18.3488","3.6698","7","23.7502","3.3929","0","0.0000","0.0000"
"01052 Extracranial vascular procedures, w mild to mod CC","4","21.3096","5.3274","2","10.6548","5.3274","0","0.0000","0.0000","2","10.6548","5.3274","0","0.0000","0.0000"
"01053 Extracranial vascular procedures, w severe CC","2","13.9316","6.9658","1","6.7872","6.7872","1","7.1444","7.1444","0","0.0000","0.0000","0","0.0000","0.0000"
"01054 Extracranial vascular procedures, w catas CC","1","10.3977","10.3977","0","0.0000","0.0000","1","10.3977","10.3977","0","0.0000","0.0000","0","0.0000","0.0000"
"01060 Peripheral & cranial nerve & other NS proc, no CC","402","765.8936","1.9052","242","461.0528","1.9052","130","247.7584","1.9058","25","47.4704","1.8988","0","0.0000","0.0000"
"01061 Peripheral & cranial nerve & other NS proc, w mild CC","94","262.2862","2.7903","55","153.6391","2.7934","22","59.4562","2.7026","17","49.1909","2.8936","0","0.0000","0.0000"
"01062 Peripheral & cranial nerve & other NS proc, w mod CC","55","266.0204","4.8367","28","134.3642","4.7987","14","62.2863","4.4490","12","65.5886","5.4657","0","0.0000","0.0000"
"01063 Peripheral & cranial nerve & other NS proc, w severe CC","73","310.8485","4.2582","44","187.3463","4.2579","16","68.0637","4.2540","11","46.9095","4.2645","0","0.0000","0.0000"
"01064 Peripheral & cranial nerve & other NS proc, w catas CC","110","720.6623","6.5515","43","281.8737","6.5552","42","274.7727","6.5422","23","150.9245","6.5619","0","0.0000","0.0000"
"01079 Carpal tunnel release, w or wo CC","305","181.6265","0.5955","223","132.7095","0.5951","61","36.9285","0.6054","18","10.2610","0.5701","2","1.1170","0.5585"
"01080 Intracranial vasc proc for PDx intracranial h'ge, no CC","21","230.3251","10.9679","15","164.3910","10.9594","5","54.9615","10.9923","1","10.9726","10.9726","0","0.0000","0.0000"
"01082 Intracranial vasc proc for PDx intracranial h'ge, w mild to mod CC","10","120.4217","12.0422","4","48.2375","12.0594","6","72.1842","12.0307","0","0.0000","0.0000","0","0.0000","0.0000"
"01083 Intracranial vasc proc for PDx intracranial h'ge, w severe CC","36","493.8689","13.7186","23","315.5388","13.7191","7","96.0239","13.7177","6","82.3062","13.7177","0","0.0000","0.0000"
"01084 Intracranial vasc proc for PDx intracranial h'ge, w catas CC","61","974.9013","15.9820","43","686.9895","15.9765","13","207.9363","15.9951","5","79.9755","15.9951","0","0.0000","0.0000"
"01090 Intracranial vascular procedures, no CC","8","67.8545","8.4818","2","17.6495","8.8248","3","26.2283","8.7428","3","23.9767","7.9922","0","0.0000","0.0000"
"01093 Intracranial vascular procedures, w mild to sev CC","3","38.3439","12.7813","0","0.0000","0.0000","1","12.7813","12.7813","2","25.5626","12.7813","0","0.0000","0.0000"
"01094 Intracranial vascular procedures, w catas CC","8","120.1160","15.0145","4","60.0580","15.0145","2","30.0290","15.0145","1","15.0145","15.0145","1","15.0145","15.0145"
"01120 Craniotomy (multiple) for trauma, no CC","3","20.7414","6.9138","0","0.0000","0.0000","1","6.9138","6.9138","1","6.9138","6.9138","0","0.0000","0.0000"
"01122 Craniotomy (multiple) for trauma, w mild to mod CC","2","17.4906","8.7453","0","0.0000","0.0000","0","0.0000","0.0000","0","0.0000","0.0000","0","0.0000","0.0000"
"01123 Craniotomy (multiple) for trauma, w severe CC","1","10.8629","10.8629","0","0.0000","0.0000","0","0.0000","0.0000","1","10.8629","10.8629","0","0.0000","0.0000"
"01124 Craniotomy (multiple) for trauma, w catas CC","8","115.5364","14.4421","5","72.0900","14.4180","2","28.8118","14.4059","1","14.6346","14.6346","0","0.0000","0.0000"
"01130 Craniotomy (multiple), no CC","3","29.1702","9.7234","2","19.4468","9.7234","0","0.0000","0.0000","1","9.7234","9.7234","0","0.0000","0.0000"
"01132 Craniotomy (multiple), w mild to mod CC","3","35.7153","11.9051","1","11.9051","11.9051","2","23.8102","11.9051","0","0.0000","0.0000","0","0.0000","0.0000"
"01133 Craniotomy (multiple), w severe CC","2","27.2716","13.6358","1","13.6358","13.6358","1","13.6358","13.6358","0","0.0000","0.0000","0","0.0000","0.0000"
"01134 Craniotomy (multiple), w catas CC","11","197.2435","17.9312","6","107.5344","17.9224","1","18.0195","18.0195","4","71.6896","17.9224","0","0.0000","0.0000"
"01150 Trach for NS disease w mech vent 96+ hr, no CC","22","408.6027","18.5729","11","204.3998","18.5818","5","92.8195","18.5639","5","92.8195","18.5639","0","0.0000","0.0000"
"01152 Trach for NS disease w mech vent 96+ hr, w mild to mod CC","17","343.7901","20.2229","8","161.3272","20.1659","5","101.3946","20.2789","3","60.4977","20.1659","0","0.0000","0.0000"
"01153 Trach for NS disease w mech vent 96+ hr, w severe CC","110","2,487.3402","22.6122","77","1,740.3995","22.6026","14","316.7716","22.6265","12","271.9078","22.6590","0","0.0000","0.0000"
"01154 Trach for NS disease w mech vent 96+ hr, w catas CC","623","15,003.4963","24.0827","434","10,450.5781","24.0797","130","3,131.7669","24.0905","28","674.4850","24.0888","0","0.0000","0.0000"
"01160 Trach for NS disease, no CC","17","311.7717","18.3395","8","146.2928","18.2866","4","73.6328","18.4082","5","91.8461","18.3692","0","0.0000","0.0000"
"01163 Trach for NS disease, w mild to sev CC","22","460.4248","20.9284","9","188.3556","20.9284","8","167.4272","20.9284","4","83.7136","20.9284","0","0.0000","0.0000"
"01164 Trach for NS disease, w catas CC","61","1,417.2334","23.2333","35","812.6545","23.2187","19","442.0480","23.2657","7","162.5309","23.2187","0","0.0000","0.0000"
"01170 Plasmapheresis for neurologic disease, no CC","3","38.6067","12.8689","1","12.8689","12.8689","0","0.0000","0.0000","2","25.7378","12.8689","0","0.0000","0.0000"
"01174 Plasmapheresis for neurologic disease, w mild to cat CC","9","145.3230","16.1470","4","64.5880","16.1470","4","64.5880","16.1470","1","16.1470","16.1470","0","0.0000","0.0000"
"01500 Spinal disorders and injuries, no CC","411","394.8937","0.9608","195","186.5269","0.9565","153","145.0887","0.9483","54","54.5714","1.0106","8","7.8358","0.9795"
"01501 Spinal disorders and injuries, w mild CC","158","301.6210","1.9090","66","123.5805","1.8724","57","109.1519","1.9149","32","63.6008","1.9875","1","1.8047","1.8047"
"01502 Spinal disorders and injuries, w mod CC","110","266.6249","2.4239","49","109.2183","2.2289","30","71.7067","2.3902","30","83.4592","2.7820","0","0.0000","0.0000"
"01503 Spinal disorders and injuries, w severe CC","163","505.6983","3.1024","81","251.3140","3.1026","58","180.2736","3.1082","20","61.6131","3.0807","1","3.1244","3.1244"
"01504 Spinal disorders and injuries, w catas CC","52","222.9833","4.2881","17","72.8544","4.2856","21","89.7892","4.2757","13","56.0415","4.3109","1","4.2982","4.2982"
"01510 Cerebral palsy, no CC","94","93.9494","0.9995","32","33.7380","1.0543","40","38.8450","0.9711","20","19.5408","0.9770","2","1.8256","0.9128"
"01514 Cerebral palsy, w mild to cat CC","53","79.8678","1.5069","21","32.0849","1.5279","15","22.6274","1.5085","17","25.1555","1.4797","0","0.0000","0.0000"
"01520 Nervous system neoplasms, no CC","613","481.5723","0.7856","330","256.3510","0.7768","169","132.6745","0.7851","104","84.5178","0.8127","7","5.6996","0.8142"
"01522 Nervous system neoplasms, w mild to mod CC","217","252.3697","1.1630","89","103.3185","1.1609","85","95.4195","1.1226","41","51.5133","1.2564","0","0.0000","0.0000"
"01523 Nervous system neoplasms, w severe CC","182","293.5618","1.6130","75","121.0542","1.6141","67","108.0986","1.6134","36","58.0333","1.6120","3","4.7451","1.5817"
"01524 Nervous system neoplasms, w catas CC","75","261.6299","3.4884","31","108.5366","3.5012","25","86.2286","3.4491","18","63.4090","3.5227","1","3.4557","3.4557"
