"ชื่อกลุ่ม","ทั้งหมด","กลุ่มผ่าตัด","ไม่ผ่าตัด"
"จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW","จำนวน","ผลรวมAdjRW","ค่าเฉลี่ยAdjRW"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","1,976","48,855.4813","24.7244","1,976","48,855.4813","24.7244","0","0.0000","0.0000"
"01 Diseases and Disorders of the Nervous System","237,106","339,726.5467","1.4328","12,313","107,525.9033","8.7327","224,793","232,200.6434","1.0330"
"02 Diseases and Disorders of the Eye","100,284","123,888.9011","1.2354","87,423","116,593.4088","1.3337","12,861","7,295.4923","0.5673"
"03 Diseases and Disorders of the Ear, Mouth and Throat","144,194","80,763.8435","0.5601","14,105","27,525.2447","1.9515","130,089","53,238.5988","0.4092"
"04 Diseases and Disorders of the Respiratory","417,764","532,208.9926","1.2739","39,758","226,998.9522","5.7095","378,006","305,210.0404","0.8074"
"05 Diseases and Disorders of the Circulation","192,977","344,559.1132","1.7855","24,602","166,718.3949","6.7766","168,375","177,840.7183","1.0562"
"06 Diseases and Disorders of the Digestive System","489,887","475,295.2086","0.9702","115,704","243,396.1758","2.1036","374,183","231,899.0328","0.6197"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","88,011","166,109.2205","1.8874","18,148","63,797.8835","3.5154","69,863","102,311.3370","1.4645"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","189,369","312,624.3261","1.6509","94,711","227,559.4870","2.4027","94,658","85,064.8391","0.8987"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","120,363","124,491.7658","1.0343","23,087","46,652.6677","2.0207","97,276","77,839.0981","0.8002"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","100,912","72,950.6726","0.7229","5,506","15,720.9460","2.8552","95,406","57,229.7266","0.5999"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","213,771","241,247.7392","1.1285","24,810","61,294.4839","2.4706","188,961","179,953.2553","0.9523"
"12 Diseases and Disorders ofthe Male Reproductive System","14,608","20,509.2796","1.4040","6,926","13,180.0907","1.9030","7,682","7,329.1889","0.9541"
"13 Diseases and Disorders ofthe Female Reproductive System","56,273","73,412.8740","1.3046","28,289","46,475.4143","1.6429","27,984","26,937.4597","0.9626"
"14 Pregnancy, Childbirth and Puerperium","328,163","224,687.9979","0.6847","128,215","150,881.7522","1.1768","199,948","73,806.2457","0.3691"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","255,784","157,277.3598","0.6149","22,451","83,817.6314","3.7334","233,333","73,459.7284","0.3148"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","100,255","64,562.4336","0.6440","2,261","5,172.8928","2.2879","97,994","59,389.5408","0.6061"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","22,300","57,459.4134","2.5767","858","4,041.1448","4.7100","21,442","53,418.2686","2.4913"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","211,600","152,767.3034","0.7220","4,773","14,663.8095","3.0722","206,827","138,103.4939","0.6677"
"19 Mental Diseases and Disorders","22,097","25,046.7473","1.1335","205","693.8926","3.3848","21,892","24,352.8547","1.1124"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","26,562","19,167.6823","0.7216","159","340.1740","2.1395","26,403","18,827.5083","0.7131"
"21 Injuries, Poisonings and Toxic Effects of Drugs","88,422","53,558.7604","0.6057","6,902","14,669.1511","2.1253","81,520","38,889.6093","0.4771"
"22 Burns","4,872","10,412.3175","2.1372","248","2,807.0301","11.3187","4,624","7,605.2874","1.6447"
"23 Factors Influencing Health Status and Other Contacts with Health Services","21,267","12,306.1078","0.5786","952","1,367.8484","1.4368","20,315","10,938.2594","0.5384"
"24 Multiple Significant Trauma","14,352","75,737.4334","5.2771","12,122","67,097.6592","5.5352","2,230","8,639.7742","3.8743"
"25 Human Immunodeficiency Virus HIV Infections","14,772","25,038.7918","1.6950","689","2,257.9244","3.2771","14,083","22,780.8674","1.6176"
"26 Unacceptable, Ungroupable","147,214","13,126.9534","0.0892","5,449","12,329.2189","2.2627","141,765","797.7345","0.0056"
"28 LOS 6 hours or less","38,877","10,533.7053","0.2709","3,376","2,278.2400","0.6748","35,501","8,255.4653","0.2325"
