"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"00 Pre MDC Liver, Lung, Bone marrow, Heart transplant","723","40,580","56.13","319,843,188.65","442,996.11","21,088.3194","29.1678","212","29.3964"
"01 Diseases and Disorders of the Nervous System","10,477","85,996","8.21","686,749,833.36","65,831.08","41,886.3023","3.9979","3,073","4.2670"
"02 Diseases and Disorders of the Eye","16","167","10.44","966,084.25","60,380.27","38.4919","2.4057","3","3.6914"
"03 Diseases and Disorders of the Ear, Mouth and Throat","551","4,613","8.37","31,485,308.63","57,350.29","1,311.0304","2.3794","63","3.0411"
"04 Diseases and Disorders of the Respiratory","21,765","207,358","9.53","2,178,528,593.43","100,787.81","91,958.5463","4.2253","3,848","5.4354"
"05 Diseases and Disorders of the Circulation","6,692","51,027","7.63","557,152,383.84","83,706.79","28,267.0952","4.2240","1,657","5.0898"
"06 Diseases and Disorders of the Digestive System","5,565","47,632","8.56","408,036,140.12","73,666.03","20,831.8308","3.7434","1,304","4.5237"
"07 Diseases and Disorders of the Hepatobiliary System and pancreas","3,359","24,888","7.41","200,212,238.47","59,961.74","11,053.0250","3.2906","609","4.2284"
"08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue","1,451","18,554","12.79","156,675,739.41","108,276.25","7,662.6372","5.2809","406","6.0291"
"09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast","1,441","15,633","10.85","84,316,228.26","58,716.04","4,534.4834","3.1468","178","3.7902"
"10 Endocrine, Nutritional and Metabolic Diseases and Disorders","1,302","9,828","7.55","73,899,184.57","57,109.11","3,737.9375","2.8709","238","4.0300"
"11 Diseases and Disorders ofthe Kidney and Urinary Tract","4,781","42,585","8.91","259,798,847.83","54,499.44","13,796.4493","2.8863","840","3.5250"
"12 Diseases and Disorders ofthe Male Reproductive System","191","1,857","9.72","12,977,134.32","68,300.71","708.9993","3.7120","31","6.8307"
"13 Diseases and Disorders ofthe Female Reproductive System","407","3,506","8.61","20,126,014.52","49,693.86","974.2864","2.3938","42","3.0422"
"14 Pregnancy, Childbirth and Puerperium","36","237","6.58","3,401,846.61","100,054.31","72.0573","2.0016","10","1.6315"
"15 Newborns and Other Neonates with Conditions Originating in the Perinatal Period","910","11,385","12.51","101,190,443.17","112,809.86","6,103.7996","6.7075","147","6.4141"
"16 Diseases and Disorders of the Blood and Blood Forming Organs and Immunological","510","3,918","7.68","32,053,574.33","66,226.39","1,641.6817","3.2190","110","4.1465"
"17 Myeloproliferative Diseases and Disorders, Poorly Differentiated Neoplasms","881","11,042","12.53","92,708,957.20","105,591.07","4,669.1984","5.2999","176","5.9690"
"18 Infectious and Parasitic Diseases Systemic or Unspecified Sites","3,744","25,963","6.93","197,519,662.45","52,996.96","10,201.3522","2.7247","726","3.2209"
"19 Mental Diseases and Disorders","47","511","10.87","1,680,751.00","35,760.66","68.8745","1.4654","2","1.2687"
"20 Alcohol,Drug Use and Alcohol_Drug Induced Organic Mental Disorders","112","868","7.75","5,590,748.72","50,824.99","166.0174","1.4823","22","1.5399"
"21 Injuries, Poisonings and Toxic Effects of Drugs","693","5,038","7.27","37,666,334.15","54,588.89","1,951.6869","2.8163","199","2.5625"
"22 Burns","67","866","12.93","10,333,715.39","154,234.56","510.8717","7.6250","27","8.0990"
"23 Factors Influencing Health Status and Other Contacts with Health Services","320","3,105","9.70","15,185,474.64","47,903.71","409.2466","1.2789","22","2.2959"
"24 Multiple Significant Trauma","758","7,043","9.29","89,387,571.28","119,662.08","5,293.0424","6.9829","288","6.8992"
"25 Human Immunodeficiency Virus HIV Infections","1,140","12,184","10.69","89,007,298.51","78,351.50","3,312.9531","2.9061","243","2.9030"
"26 Unacceptable, Ungroupable","3,355","30,313","9.04","227,531,788.23","68,123.29","882.3417","5.5493","507","6.2773"
"28 LOS 6 hours or less","2,511","2,532","1.01","38,433,321.70","15,484.82","1,747.7037","0.6960","698","0.7579"
