"รหัสโรค","รวม","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง"
"U78493, ปวดเอว  腰痛  (腰痛)  Yāo tong","161","912","48","150","3","4","62","145","228","613"
"U78250, ปี้ปิ้ง   痹病  (痹病) Bì bìng","116","533","29","59","0","0","58","133","155","341"
"U78494, ปวดหลัง  背痛  (背痛)  Bèi tong","173","324","47","77","53","108","26","54","55","85"
"U78256, กู่ปี้ (เจ็บตามกระดูกและข้อ)  骨痹  (骨痹) Gǔ bì","47","304","18","32","0","0","11","11","119","261"
"U78257, จีปี้ (ปวดตามกล้ามเนื้อ)肌痹  (肌痹) Jī bì","49","278","14","18","15","29","6","9","118","222"
"U78117, อัมพาตครึ่งซีก  半身不隨 (半身不随) Bàn shēn bù suí ,   偏枯 (偏枯) Piān kū","41","201","9","19","7","16","16","45","20","121"
"U78255, ลี่เจี๋ยเฟิง (ปวดตามข้อทั่วร่างกาย)  歷節風  (历节风) Lì jié fēng","85","197","17","30","31","58","20","43","32","66"
"U78120, เวียนศีรษะ  眩暈 (眩晕) Xuàn yūn, 頭暈  (头晕) Tóu yūn, 瞑眩  (瞑眩) Míng xuàn","39","182","2","2","2","2","33","34","136","144"
"U78122, ชาไม่รู้สึก  麻木  (麻木) Mámù","17","86","3","7","4","8","7","19","34","52"
"U78824, เยื่อบุจมูกอักเสบจากภูมิแพ้ 鼻鼽  (鼻鼽)   Bí qiú, 鼽嚏  (鼽嚏)  Qiú tì","24","56","9","22","2","11","4","6","13","17"
"U78091, ไข้หวัดใหญ่時行感冒 (时行感冒) Shí xíng gǎn mào","12","33","0","0","3","3","9","9","21","21"
"U78026, อุจจาระร่วง泄瀉  (泄泻) Xiè xiè  ,  下利  (下利) Xià lì   , 泄瀉病  (泄泻病) Xiè xiè bìng","16","32","1","1","6","6","8","8","17","17"
"U78242, ปวดศีรษะข้างเดียว  偏頭風 (偏头风) Piān tóu fēng","25","31","9","12","4","5","3","4","9","10"
"U78426, สิว粉刺  (粉刺)Fěncì; 酒刺  (酒刺)Jiǔ cì","2","23","1","1","0","0","0","0","7","22"
"U78090, หวัด感冒  (感冒) Gǎn mào","5","21","0","0","0","0","5","5","16","16"
"U78123, นอนไม่หลับ  不得臥; 失眠  (不得卧;失眠) Bùdé wò shī mián","9","21","1","1","1","1","6","8","10","11"
"U78290, ไข้ / ตัวร้อน發熱  (发热) Fā rè, 身熱  (身热) Shēn rè","7","19","0","0","1","1","6","6","11","12"
"U78698, ดีซ่านในทารก  胎黃  (胎黄) Tāi huáng  胎疸  (胎疸) Tāi dǎn","14","19","5","5","3","3","1","1","10","10"
"U78001, โรคหยาง  陽病  (阳病) Yáng bìng","2","17","1","1","0","0","0","0","13","16"
"U78490, เจ็บปวดตามร่างกาย身痛  (身痛)  Shēn tong","2","16","1","1","0","0","0","0","14","15"
