"รหัสโรค","รวม","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง"
"U78490, เจ็บปวดตามร่างกาย身痛  (身痛)  Shēn tong","29","57","0","0","0","0","9","11","20","46"
"U78494, ปวดหลัง  背痛  (背痛)  Bèi tong","17","42","0","0","0","0","5","6","12","36"
"U78252, ท่งปี้ / หานปี้  痛痹  (痛痹) Tòng bì, 寒痹  (寒痹) Hán bì","12","41","0","0","0","0","1","2","11","39"
"U78256, กู่ปี้ (เจ็บตามกระดูกและข้อ)  骨痹  (骨痹) Gǔ bì","13","37","0","0","0","0","2","5","11","32"
"U78257, จีปี้ (ปวดตามกล้ามเนื้อ)肌痹  (肌痹) Jī bì","24","33","0","0","0","0","7","7","17","26"
"U78250, ปี้ปิ้ง   痹病  (痹病) Bì bìng","17","32","0","0","0","0","0","0","17","32"
"U78612, ภาวะทุพโภชนาการแบบอื่น","14","28","0","0","0","0","0","0","14","28"
"U78493, ปวดเอว  腰痛  (腰痛)  Yāo tong","14","24","0","0","0","0","5","7","9","17"
"U78220, เซียวเข่อ  消渴; (消渴) Xiāo kě, 消渴病 (消渴病) xiāo kě bìng","2","20","0","0","0","0","0","0","2","20"
"U78241, ปวดศีรษะ  頭風  (头风) Tóu fēng, 腦風  (脑风) Nǎo fēng","9","20","0","0","0","0","3","4","6","16"
"U78112, โรคตามมาจากโรคหลอดเลือดสมอง  中風後遺症 (中风后遗症) Zhòng fēng hòu yí zhèng","6","17","0","0","0","0","3","8","3","9"
"U78824, เยื่อบุจมูกอักเสบจากภูมิแพ้ 鼻鼽  (鼻鼽)   Bí qiú, 鼽嚏  (鼽嚏)  Qiú tì","4","14","0","0","0","0","1","1","3","13"
"U78813, มีเสียงผิดปกติในหู  耳鳴  (耳鸣) Ěr míng","3","12","0","0","0","0","1","1","2","11"
"U78117, อัมพาตครึ่งซีก  半身不隨 (半身不随) Bàn shēn bù suí ,   偏枯 (偏枯) Piān kū","4","7","0","0","0","0","1","1","3","6"
"U78242, ปวดศีรษะข้างเดียว  偏頭風 (偏头风) Piān tóu fēng","3","5","0","0","0","0","1","1","2","4"
"U78652, ออกผื่น   痧  (痧)  Shā","4","4","0","0","0","0","2","2","2","2"
"U78258, เซ่วปี้ (เจ็บตามปลายนิ้วจากเลือดติดขัด)血痹  (血痹) Xuè bì","3","3","0","0","0","0","0","0","3","3"
"U78497, หลอดเลือดดำชั้นตื้นอักเสบมีลิ่มเลือด  靑蛇毒  (靑蛇毒) Qīng shédú","3","3","0","0","0","0","0","0","3","3"
"U78643, ชักเฉียบพลัน  急驚風  (急惊风)  Jí jīng fēng","3","3","0","0","0","0","0","0","3","3"
"U78240, ปวดศีรษะแท้  眞頭痛 (真头痛)  Zhēn tóu tong","1","2","0","0","0","0","0","0","1","2"
