"โรงพยาบาล","รวมทั้งปีงบประมาณ","ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"OP Visit","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11469  :  โรงพยาบาลเลิดสิน","530,075","334,086","1,154,768","937,585,805.06","374,227,057.00","705.99","2.18","32,850","111,643","78,352,106.51","32,580,138.00","991.79","3.40","30,457","102,604","77,528,021.36","30,062,171.00","987.04","3.37","28,782","98,746","76,938,500.62","29,184,963.00","1,014.00","3.43","33,251","114,799","84,267,670.28","33,792,416.75","1,016.28","3.45","29,396","100,766","84,733,373.99","29,465,485.25","1,002.36","3.43","29,846","103,471","97,721,860.39","35,228,593.00","1,180.35","3.47","20,529","74,016","69,102,523.98","29,025,854.25","1,413.90","3.61","22,439","77,532","65,408,357.78","28,921,500.25","1,288.89","3.46","26,233","90,882","79,529,484.08","32,430,871.75","1,236.26","3.46","25,313","88,587","72,174,158.30","30,705,683.75","1,213.04","3.50","27,552","95,948","76,915,709.50","31,185,640.50","1,131.88","3.48","27,438","95,774","74,914,038.27","31,643,739.50","1,153.28","3.49"
"11470  :  โรงพยาบาลนพรัตนราชธานี","97,466","61,258","228,949","37,580,483.03","52,792,809.25","541.65","2.35","6,092","22,379","3,281,783.29","4,821,515.00","791.45","3.67","5,561","20,443","3,153,770.86","4,571,124.50","822.00","3.68","5,309","19,919","2,826,661.26","4,160,595.00","783.69","3.75","6,103","23,086","3,459,103.00","5,019,718.00","822.50","3.78","5,217","19,347","2,695,792.47","4,000,300.50","766.78","3.71","5,293","19,929","3,244,517.13","4,808,011.50","908.37","3.77","4,060","15,695","2,585,511.83","3,792,911.50","934.21","3.87","4,184","15,936","2,658,469.24","3,986,028.00","952.68","3.81","4,850","17,740","3,261,119.36","4,690,707.50","967.16","3.66","4,554","17,049","4,197,052.18","3,896,274.50","855.57","3.74","4,968","18,446","2,931,839.79","4,450,414.00","895.82","3.71","5,067","18,980","3,284,862.62","4,595,209.25","906.89","3.75"
"11471  :  โรงพยาบาลสงฆ์","87,005","40,829","170,774","5,629,540,329.30","5,811,485,207.00","66,794.84","1.96","4,788","20,235","566,834,161.10","552,495,826.00","115,391.78","4.23","4,349","17,787","506,613,621.28","516,209,748.00","118,696.19","4.09","3,844","15,849","429,984,574.91","435,214,814.00","113,219.25","4.12","4,837","20,458","617,579,385.91","628,239,298.00","129,882.01","4.23","4,138","17,032","501,207,949.87","528,595,667.00","127,741.82","4.12","4,445","18,796","747,893,350.80","666,927,202.00","150,039.87","4.23","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","4,118","17,777","720,085,967.37","735,425,812.00","178,588.10","4.32","3,540","14,551","528,184,605.54","552,231,101.00","155,997.49","4.11","3,634","15,270","613,561,778.40","814,868,906.00","224,234.70","4.20","3,136","13,019","397,594,934.12","381,276,833.00","121,580.62","4.15"
"11472  :  โรงพยาบาลราชวิถี","1,159,919","528,266","1,869,446","696,592,854.75","892,113,720.75","769.12","1.61","52,970","186,356","66,348,050.23","84,495,511.50","1,595.16","3.52","48,476","168,883","61,755,709.31","78,730,819.50","1,624.12","3.48","46,667","162,627","56,667,917.20","72,478,645.25","1,553.10","3.48","52,969","184,096","67,958,450.52","86,495,703.75","1,632.95","3.48","45,001","158,314","55,468,402.82","71,037,721.50","1,578.58","3.52","45,267","161,730","64,441,386.15","82,580,973.25","1,824.31","3.57","29,195","109,448","49,632,608.29","63,745,315.25","2,183.43","3.75","35,073","128,881","51,295,730.16","65,894,013.00","1,878.77","3.67","40,834","141,660","55,147,499.85","70,666,609.50","1,730.58","3.47","40,082","141,826","49,492,502.04","63,598,978.00","1,586.72","3.54","46,264","164,481","59,541,013.15","76,621,112.00","1,656.17","3.56","45,468","161,144","58,843,585.03","75,768,318.25","1,666.41","3.54"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
