"โรงพยาบาล","รวมทั้งปีงบประมาณ","ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"OP Visit","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11469  :  โรงพยาบาลเลิดสิน","465,227","294,133","1,044,029","801,529,723.84","350,711,093.36","753.85","2.24","29,786","103,773","74,620,608.61","31,293,095.00","1,050.60","3.48","29,737","104,576","74,704,008.76","29,796,509.50","1,002.00","3.52","29,890","104,255","74,724,561.24","32,297,692.25","1,080.55","3.49","25,238","89,947","67,172,244.84","29,283,386.60","1,160.29","3.56","23,151","82,314","64,006,747.56","28,178,025.75","1,217.14","3.56","29,720","103,552","80,973,602.93","34,372,762.25","1,156.55","3.48","22,243","77,683","60,919,946.82","25,136,455.41","1,130.08","3.49","20,767","74,566","57,952,332.78","26,128,840.00","1,258.19","3.59","25,452","90,976","71,911,812.32","30,928,187.10","1,215.16","3.57","20,588","72,885","57,539,026.95","26,106,488.75","1,268.04","3.54","17,017","64,285","54,171,796.96","29,521,377.00","1,734.82","3.78","20,544","75,217","62,833,034.07","27,668,273.75","1,346.78","3.66"
"11470  :  โรงพยาบาลนพรัตนราชธานี","75,842","47,426","184,881","30,746,625.86","42,518,562.25","560.62","2.44","5,492","21,017","2,912,375.18","4,391,701.50","799.65","3.83","5,516","20,998","2,963,075.20","4,392,255.00","796.28","3.81","5,615","21,339","3,389,341.56","4,777,529.00","850.85","3.80","4,939","19,339","4,582,060.29","4,191,567.50","848.67","3.92","4,806","18,684","2,515,217.38","3,786,787.50","787.93","3.89","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","4,114","16,280","3,004,501.71","4,277,295.00","1,039.69","3.96","4,806","18,108","2,699,638.79","3,988,170.25","829.83","3.77","3,976","15,976","2,522,126.04","3,819,007.50","960.51","4.02","3,821","15,947","3,264,352.41","4,624,555.50","1,210.30","4.17","4,341","17,193","2,893,937.30","4,269,693.50","983.57","3.96"
"11471  :  โรงพยาบาลสงฆ์","29,306","20,362","87,799","3,276,392,140.22","3,474,495,005.00","118,559.17","3.00","0","0","0.00","0.00","0.00","0.00","4,028","16,895","502,451,795.15","526,409,062.00","130,687.45","4.19","3,785","16,412","485,927,090.68","488,090,346.00","128,953.86","4.34","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","3,684","15,496","494,582,382.59","499,829,151.00","135,675.67","4.21","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","3,210","14,097","581,113,051.61","634,919,986.00","197,794.39","4.39","3,109","13,783","650,054,703.29","724,914,565.00","233,166.47","4.43","2,546","11,116","562,263,116.90","600,331,895.00","235,794.15","4.37","0","0","0.00","0.00","0.00","0.00"
"11472  :  โรงพยาบาลราชวิถี","1,158,705","463,194","1,666,434","615,743,218.87","794,794,782.00","685.93","1.44","46,297","165,592","56,963,941.20","73,459,778.75","1,586.71","3.58","46,797","171,157","58,496,506.14","75,644,074.00","1,616.43","3.66","48,171","169,946","57,655,842.98","74,647,393.75","1,549.63","3.53","39,748","144,034","54,895,876.60","70,656,938.25","1,777.62","3.62","37,594","132,713","51,874,151.64","66,616,412.25","1,772.00","3.53","48,664","169,585","62,044,823.02","80,115,600.00","1,646.30","3.48","32,961","118,147","45,594,429.24","58,521,840.50","1,775.49","3.58","31,756","116,377","44,587,291.56","57,654,754.25","1,815.55","3.66","41,092","145,049","55,537,546.18","71,723,186.00","1,745.43","3.53","32,424","121,545","46,936,640.13","60,706,407.50","1,872.27","3.75","33,492","123,086","45,447,368.96","58,956,564.25","1,760.32","3.68","24,198","89,203","35,708,801.22","46,091,832.50","1,904.78","3.69"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
