"โรงพยาบาล","รวมทั้งปีงบประมาณ","ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"OP Visit","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11469  :  โรงพยาบาลเลิดสิน","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11470  :  โรงพยาบาลนพรัตนราชธานี","0","54,681","197,270","30,280,528.79","45,246,301.63","0.00","0.00","5,796","20,844","3,327,929.77","5,033,639.57","868.47","3.60","5,583","20,132","3,142,464.44","4,824,483.00","864.14","3.61","5,109","18,899","2,745,721.12","4,249,416.21","831.75","3.70","5,909","21,761","3,221,900.17","4,824,363.10","816.44","3.68","5,265","18,960","3,025,021.38","4,541,365.07","862.56","3.60","5,384","19,494","2,965,026.75","4,414,125.68","819.86","3.62","5,067","18,016","2,783,101.78","4,159,582.50","820.92","3.56","0","0","0.00","0.00","0.00","0.00","5,198","18,622","2,996,590.83","4,386,700.50","843.92","3.58","5,673","20,326","3,091,223.56","4,470,725.00","788.07","3.58","5,697","20,216","2,981,548.99","4,341,901.00","762.14","3.55","0","0","0.00","0.00","0.00","0.00"
"11471  :  โรงพยาบาลสงฆ์","0","25,506","106,269","3,060,276,467.66","2,922,656,115.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","4,853","20,633","632,636,339.16","548,619,363.00","113,047.47","4.25","0","0","0.00","0.00","0.00","0.00","4,489","19,247","497,195,689.36","464,715,833.00","103,523.24","4.29","3,915","15,959","447,941,961.56","418,000,817.00","106,769.05","4.08","4,262","17,810","473,367,320.71","477,396,349.00","112,012.28","4.18","3,959","16,366","501,429,503.70","522,249,725.00","131,914.56","4.13","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","4,028","16,254","507,705,653.17","491,674,028.00","122,064.06","4.04","0","0","0.00","0.00","0.00","0.00"
"11472  :  โรงพยาบาลราชวิถี","0","548,773","2,075,633","793,411,354.36","1,002,643,335.00","0.00","0.00","53,040","199,293","79,493,950.50","99,806,385.50","1,881.72","3.76","51,836","199,032","86,642,246.42","108,428,826.75","2,091.77","3.84","47,214","178,796","75,577,111.92","94,710,989.00","2,005.99","3.79","53,364","202,789","80,244,062.26","100,888,036.25","1,890.56","3.80","46,524","176,914","64,148,014.96","81,512,824.75","1,752.06","3.80","49,453","187,503","68,562,799.92","86,734,056.25","1,753.87","3.79","47,393","180,977","67,756,650.37","85,999,262.75","1,814.60","3.82","49,614","187,713","69,064,065.16","87,839,155.75","1,770.45","3.78","47,118","176,521","63,572,033.31","80,842,480.75","1,715.75","3.75","50,952","188,384","68,742,569.55","87,224,586.50","1,711.90","3.70","52,265","197,711","69,607,849.99","88,656,730.75","1,696.29","3.78","0","0","0.00","0.00","0.00","0.00"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","83,203","284,026","13,424,942,184.29","933,360.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","42,733","144,722","7,051,677,896.73","633,714.00","14.83","3.39","40,470","139,304","6,373,264,287.56","299,646.00","7.40","3.44"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","72,942","263,691","2,805,061,496.82","4,049,885,985.25","0.00","0.00","12,192","43,321","426,439,857.97","625,578,498.50","51,310.57","3.55","12,375","44,582","522,281,302.28","746,748,742.25","60,343.33","3.60","11,060","40,034","431,845,217.98","618,204,365.25","55,895.51","3.62","13,341","49,426","478,005,293.51","701,374,860.00","52,572.89","3.70","11,880","42,845","453,010,170.54","654,331,182.75","55,078.38","3.61","12,094","43,483","493,479,654.54","703,648,336.50","58,181.61","3.60","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11537  :  โรงพยาบาลกลาง","0","326,840","1,206,525","26,202,661,749.90","36,699,041,487.00","0.00","0.00","28,007","102,141","2,092,030,189.18","2,908,252,964.00","103,840.22","3.65","28,049","104,782","2,262,128,012.16","3,159,312,978.00","112,635.49","3.74","26,046","98,576","2,013,262,128.40","2,828,409,439.50","108,592.85","3.78","28,782","107,859","2,217,010,749.94","3,077,518,725.25","106,925.12","3.75","25,409","96,259","2,012,729,005.46","2,827,620,697.00","111,284.22","3.79","27,465","100,776","2,210,779,904.69","3,109,004,274.50","113,198.77","3.67","24,871","90,670","1,972,111,560.70","2,763,401,081.75","111,109.37","3.65","27,088","98,307","2,360,468,775.90","3,289,117,459.50","121,423.41","3.63","26,101","95,247","2,139,292,119.63","3,052,947,407.50","116,966.68","3.65","28,235","102,628","2,371,088,863.56","3,298,707,009.50","116,830.42","3.63","27,808","101,779","2,137,000,316.48","3,015,197,278.00","108,429.13","3.66","28,979","107,501","2,414,760,123.80","3,369,552,172.50","116,275.65","3.71"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11539  :  โรงพยาบาลตากสิน","0","311,965","1,220,451","22,993,556,716.40","33,312,619,118.00","0.00","0.00","27,126","105,150","1,862,429,827.25","2,692,611,940.00","99,263.14","3.88","26,808","103,001","2,080,809,821.11","3,002,473,440.25","111,999.16","3.84","23,946","93,494","1,639,182,964.58","2,643,103,228.00","110,377.65","3.90","28,097","110,876","1,973,295,583.90","2,864,196,804.00","101,939.60","3.95","24,130","94,427","1,696,190,090.74","2,452,847,916.00","101,651.38","3.91","25,415","99,785","2,028,246,564.14","2,867,351,821.50","112,821.24","3.93","23,873","94,222","1,883,476,721.38","2,703,914,696.00","113,262.46","3.95","25,872","103,196","2,005,636,781.12","2,908,983,595.75","112,437.52","3.99","24,706","95,363","1,938,190,459.66","2,706,712,642.25","109,556.89","3.86","26,873","105,154","1,855,187,993.29","2,680,918,363.25","99,762.53","3.91","27,402","107,074","2,063,684,289.24","2,937,145,998.50","107,187.29","3.91","27,717","108,709","1,967,225,619.99","2,852,358,672.50","102,910.08","3.92"
