"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"มะขามแขก, ยาแคปซูล","104,791","77,803","4,170,250","63,216,224,328.40"
"แก้ไอมะขามป้อม, ยาน้ำ","65,623","53,768","158,776","3,130,623.33"
"ขมิ้นชัน, ยาแคปซูล","32,047","25,162","-484,589","413,841,838,251.94"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","28,713","22,022","59,771","1,236,507.97"
"อมมะแว้ง, ยาเม็ด","19,783","14,871","-54,493","20,499,309,088.51"
"ประสะมะแว้ง, ยาเม็ด","16,575","13,048","-15,599","33,830,508,417.51"
"ขิง, ยาแคปซูล","15,565","8,928","383,126","10,814,275.79"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","15,435","11,983","31,596","1,174,179.05"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","11,375","9,047","25,945","378,409.50"
"ประสะไพล , ยาแคปซูล","9,124","6,535","503,961","1,127,587.40"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","8,821","6,528","16,118","332,793.98"
"มะขามแขกตราธงทอง, ยาเม็ด","7,989","5,878","193,170","285,753.38"
"ธาตุอบเชย , ยาน้ำ","7,752","6,389","127,699","1,174,892.16"
"ฟ้าทะลายโจร, ยาแคปซูล","7,658","5,877","261,807","75,527,753.97"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","7,076","5,559","42,921","154,734,254.50"
"มะขามป้อม, ยาน้ำ","6,935","5,179","15,955","395,036.50"
"เถาวัลย์เปรียง, ยาผง","6,085","4,690","600,557","45,661,770,673.74"
"พญายอ, ครีม","5,045","3,809","89,712","5,758,982.03"
"ยาประคบ, ยาประคบ","4,854","3,322","17,732","3,949,493.20"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","4,806","3,575","11,420","229,634.69"
"ปลูกไฟธาตุ, ยาแคปซูล","4,643","3,104","171,481","243,847.85"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","4,301","3,162","8,172","166,553.60"
"ไพล, ครีม","4,018","2,810","9,136","311,124.70"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","3,354","2,610","4,804","1,070,454.75"
"สตรีหลังคลอด, ยาต้ม","3,150","1,667","10,469","241,465.50"
