"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11469  :  โรงพยาบาลเลิดสิน","12,255,006,065.00","12,249,722,430.00","5,283,635.00","0.04","2,256,196,264.00","2,254,721,498.00","1,474,766.00","0.07","3,564,452,856.00","3,562,829,713.00","1,623,143.00","0.05","3,257,383,999.00","3,255,960,626.00","1,423,373.00","0.04","3,176,972,946.00","3,176,210,593.00","762,353.00","0.02"
"11470  :  โรงพยาบาลนพรัตนราชธานี","69,729,923.51","69,729,923.51","0.00","0.00","18,821,704.47","18,821,704.47","0.00","0.00","19,420,531.92","19,420,531.92","0.00","0.00","15,781,020.02","15,781,020.02","0.00","0.00","15,706,667.10","15,706,667.10","0.00","0.00"
"11471  :  โรงพยาบาลสงฆ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11472  :  โรงพยาบาลราชวิถี","109,441,667.00","109,438,789.50","2,877.50","0.00","33,787,349.50","33,786,602.50","747.00","0.00","33,178,041.50","33,177,445.50","596.00","0.00","20,494,832.50","20,494,431.00","401.50","0.00","21,981,443.50","21,980,310.50","1,133.00","0.01"
"11477  :  โรงพยาบาลทหารผ่านศึก","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","2,125,724.40","2,121,479.40","4,245.00","0.20","1,285,234.00","1,282,444.00","2,790.00","0.22","625,363.15","624,215.65","1,147.50","0.18","215,127.25","214,819.75","307.50","0.14","0.00","0.00","0.00","0.00"
"11537  :  โรงพยาบาลกลาง","21,415,285.05","21,414,817.05","468.00","0.00","6,304,086.35","6,304,014.85","71.50","0.00","4,959,850.95","4,959,636.45","214.50","0.00","4,332,902.20","4,332,856.70","45.50","0.00","5,818,445.55","5,818,309.05","136.50","0.00"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","1,657,778.79","1,657,778.79","0.00","0.00","484,808.54","484,808.54","0.00","0.00","373,813.50","373,813.50","0.00","0.00","418,478.00","418,478.00","0.00","0.00","380,678.75","380,678.75","0.00","0.00"
"11539  :  โรงพยาบาลตากสิน","26,626,427.00","26,609,828.50","16,598.50","0.06","7,029,811.00","7,025,912.50","3,898.50","0.06","6,528,526.00","6,523,928.00","4,598.00","0.07","6,123,834.25","6,119,091.75","4,742.50","0.08","6,944,255.75","6,940,896.25","3,359.50","0.05"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","3,758,040.03","3,748,614.03","9,426.00","0.25","997,949.60","996,287.60","1,662.00","0.17","1,082,055.50","1,079,045.00","3,010.50","0.28","721,907.00","720,159.50","1,747.50","0.24","956,127.93","953,121.93","3,006.00","0.31"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","32,944,591.25","32,938,452.75","6,138.50","0.02","8,210,534.25","8,209,950.25","584.00","0.01","7,770,431.00","7,768,738.00","1,693.00","0.02","8,242,882.50","8,241,255.00","1,627.50","0.02","8,720,743.50","8,718,509.50","2,234.00","0.03"
