"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"อมมะแว้ง, ยาเม็ด","1,835,840","1,393,593","5,915,378","37,960,413.23"
"ขมิ้นชัน, ยาแคปซูล","1,660,327","1,234,434","58,974,783","329,903,542.15"
"ฟ้าทะลายโจร, ยาแคปซูล","1,313,471","996,057","30,872,679","93,732,940.59"
"ประสะมะแว้ง, ยาแคปซูล","1,267,801","971,560","3,930,681","26,020,445.47"
"แก้ไอมะขามป้อม, ยาน้ำ","1,101,598","821,664","1,437,302","32,769,952.76"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","736,642","579,301","914,971","20,482,488.59"
"เถาวัลย์เปรียง, ยาแคปซูล","579,197","469,881","15,657,492","46,677,495.23"
"มะขามแขก, ยาเม็ด","576,030","427,186","21,834,344","257,621,378.26"
"ยาประคบ, ยาประคบ","572,720","475,304","693,327","36,893,240.37"
"ไพล, ครีม","529,420","421,008","613,188","25,249,760.37"
"น้ำมันไพล, ยาเข้าน้ำมัน","445,573","361,140","494,173","18,610,504.58"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","349,185","292,808","612,961","17,262,945.04"
"ธาตุอบเชย , ยาน้ำ","333,488","263,314","456,038","10,410,195.92"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","282,826","189,691","407,452","7,943,154.94"
"มะแว้ง, ยาแคปซูล","267,997","209,113","2,148,430,787","5,567,403.36"
"ไพลจีซาล , ครีม","216,475","174,335","254,793","13,993,665.11"
"พญายอ, ครีม","206,960","152,076","317,786","11,458,993.94"
"สหัศธารา, ยาแคปซูล","205,202","159,901","5,112,502","16,535,425.00"
"พริก, เจล","187,045","153,178","216,997","11,126,048.40"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","166,241","133,606","182,815","4,751,858.11"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","152,287","113,784","201,622","4,652,334.64"
"มะขามป้อม, ยาแคปซูล","127,408","87,820","193,363","3,647,319.22"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","116,794","89,634","3,050,174","13,255,115.72"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","107,640","71,046","141,784","2,602,498.85"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","88,628","64,507","126,269","2,563,808.10"
"หอมเทพจิตร, ยาเม็ด","85,556","62,004","1,055,181","5,282,306.16"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","85,480","64,001","111,471","2,140,308.21"
"รางจืด, ยาชง","84,390","65,223","780,171","5,490,126.32"
"ขี้ผึ้งไพล  สูตรตำรับที่ 2, ขี้ผึ้ง","84,322","63,851","93,149","2,787,614.69"
"หอมนวโกฐ, ยาผง","81,046","59,571","1,017,418","6,330,742.60"
"เพชรสังฆาต, ยาแคปซูล","79,205","57,332","3,293,222","11,398,652.57"
"มะระขี้นก, ยาแคปซูล","79,083","57,961","4,421,077","13,749,411.88"
"ลูกประคบสมุนไพรอินไทย, ยาประคบ","77,432","66,047","95,120","4,944,872.41"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","74,476","53,219","2,342,392","6,329,417.92"
"แก้ไอมะแว้ง , ยาเม็ด","73,921","61,057","193,057","1,681,174.14"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","73,617","50,353","102,301","2,129,304.16"
"ลูกประคบสมุนไพรร้านหมอยาไทย 101, ยาประคบ","73,063","61,565","81,713","4,671,414.90"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","73,041","49,240","92,325","1,691,903.25"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","66,001","46,348","174,158","1,802,178.08"
"ขิง, ยาแคปซูล","64,205","46,418","1,412,361","6,683,490.41"
"สมุนไพรอบตัว, ยาต้ม","62,291","53,041","73,124","3,876,792.79"
"แคปซูลเถาวัลย์เปรียง ตราธงทอง, ยาแคปซูล","54,642","37,882","1,584,307","13,403,914.05"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 1, ยาลูกกลอน","53,616","46,097","1,378,847","3,142,646.49"
"ชุมเห็ดเทศ, ยาชง","52,255","38,077","704,961","2,875,747.40"
"คลายเส้น (พญาเม็งราย), ยาแคปซูล","49,394","43,632","1,209,529","1,602,367.50"
"แก้ไอผสมมะนาวดอง, ยาลูกกลอน","48,123","38,825","109,642","972,515.54"
"หญ้าหนวดแมว, ยาชง","43,171","31,170","629,073","11,713,733.91"
"หญ้าดอกขาว, ยาต้ม","43,143","33,364","491,982","11,643,129.78"
"จันทน์ลีลา, ยาแคปซูล","37,868","26,022","1,022,483","2,591,912.80"
"แก้ไอมะแว้งน้ำดำ, ยาน้ำ","36,636","29,414","44,871","1,238,431.70"
"ผสมเพชรสังฆาต สูตรตำรับที่ 1, ยาแคปซูล","34,407","26,684","1,408,543","3,531,814.66"
"ประสะไพล, ยาแคปซูล","34,382","24,689","1,039,343","5,448,509.77"
"หม่องเสลดพังพอน/เสลดพังพอนบาล์ม/หม่องพญายอ/ขี้ผึ้งพญายอ/ขี้ผึ้งเสลดพังพอน, ขี้ผึ้ง","31,759","22,212","39,734","1,138,988.26"
"แก้ไอมะแว้งน้ำเชื่อม, ยาน้ำ","30,124","23,139","35,769","973,859.90"
"ตรีผลา / พิกัดตรีผลา , ยาแคปซูล","29,751","17,946","917,109","3,488,766.12"
"มะขามแขกตราธงทอง, ยาเม็ด","28,962","19,659","1,674,244","2,575,359.30"
"ธาตุบรรจบ , ยาแคปซูล","28,436","19,151","523,755","1,598,783.38"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 2, ยาลูกกลอน","27,111","23,270","579,777","1,514,921.43"
"บำรุงโลหิต, ยาแคปซูล","26,965","20,128","780,961","16,334,002.68"
"สหัสธารา, ยาแคปซูล","26,036","20,523","829,445","2,250,209.44"
"อมผสมมะแว้ง, ยาเม็ด","24,726","16,797","70,640","492,453.71"
"ธรณีสันฑะฆาต, ยาแคปซูล","24,511","16,436","775,909","7,063,347.95"
"แก้ไอมะแว้งตรา ที.เฮิร์บ, ยาน้ำ","24,310","19,229","42,691","382,837.90"
"ยาน้ำแก้ไอมะขามป้อม ตราเอมบริโคล, ยาน้ำ","24,017","17,614","27,423","546,803.25"
"คำฝอย, ยาชง","23,453","14,750","107,219","2,438,158.99"
"หม่องไพล ตราพระอินทร์, ขี้ผึ้ง","22,959","19,925","24,034","723,982.52"
"แก้ไอมะขามป้อมสูตร 1 , ยาลูกกลอน","22,710","17,322","29,759","707,354.50"
"ว่านหางจระเข้, เจล","21,954","15,243","31,578","1,293,620.98"
"น้ำมันกาสลัก, ยาเข้าน้ำมัน","21,805","20,235","22,242","1,027,224.00"
