"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11469  :  โรงพยาบาลเลิดสิน","334,076","14,770","4.42","92,087","3,765","4.09","92,489","5,559","6.01","69,198","2,546","3.68","80,302","2,900","3.61"
"11470  :  โรงพยาบาลนพรัตนราชธานี","60,833","0","0.00","16,813","0","0.00","16,513","0","0.00","12,988","0","0.00","14,519","0","0.00"
"11471  :  โรงพยาบาลสงฆ์","40,286","4,835","12.00","12,796","1,535","12.00","13,285","1,601","12.05","4,057","539","13.29","10,148","1,160","11.43"
"11472  :  โรงพยาบาลราชวิถี","481,690","18,299","3.80","147,973","5,211","3.52","143,144","5,257","3.67","105,045","4,176","3.98","85,528","3,655","4.27"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","59,056","1,380","2.34","36,287","779","2.15","14,110","346","2.45","8,659","255","2.94","0","0","0.00"
"11537  :  โรงพยาบาลกลาง","5,957","51","0.86","1,547","14","0.90","1,536","25","1.63","1,360","7","0.51","1,514","5","0.33"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","65,911","0","0.00","24,151","0","0.00","19,667","0","0.00","16,141","0","0.00","5,952","0","0.00"
"11539  :  โรงพยาบาลตากสิน","6,282","11","0.18","1,793","0","0.00","1,663","3","0.18","1,384","6","0.43","1,442","2","0.14"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","76,847","497","0.65","17,734","195","1.10","19,236","123","0.64","13,625","60","0.44","26,252","119","0.45"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","46,304","44","0.10","0","0","0.00","0","0","0.00","19,991","21","0.11","26,313","23","0.09"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
