"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"มะขามแขก, ยาแคปซูล","129,008","94,570","5,399,237","24,159,615,266.10"
"แก้ไอมะขามป้อม, ยาน้ำ","72,713","58,477","219,679","20,779,755.62"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","35,165","26,661","100,126","1,960,371.64"
"ขมิ้นชัน, ยาแคปซูล","31,467","24,356","1,268,746","6,777,216,263.16"
"ขิง, ยาแคปซูล","21,214","12,435","643,055","16,653,618.43"
"ประสะมะแว้ง, ยาเม็ด","18,997","14,627","93,324","601,439.78"
"อมมะแว้ง, ยาเม็ด","18,779","13,752","49,068","738,201.04"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","16,848","12,917","38,711","1,264,371.60"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","12,901","9,820","24,415","378,893.50"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","10,256","8,184","18,517","375,868.40"
"ธาตุอบเชย , ยาน้ำ","9,401","7,638","162,020","1,821,622.38"
"ประสะไพล , ยาผง","9,312","6,570","613,543","3,119,730.50"
"ฟ้าทะลายโจร, ยาแคปซูล","9,225","6,972","291,658","19,749,622.41"
"มะขามป้อม, ยาน้ำ","8,813","6,642","19,538","492,725.70"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","8,471","6,845","26,547","10,634,077.25"
"มะขามแขกตราธงทอง, ยาเม็ด","7,764","5,727","178,053","265,176.87"
"เถาวัลย์เปรียง, ยาแคปซูล","7,031","5,556","228,374","969,467,754.61"
"ปลูกไฟธาตุ, ยาแคปซูล","6,495","4,076","290,151","393,678.48"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","6,060","4,802","11,474","229,418.38"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","6,035","4,890","13,975","224,594.07"
"พญายอ, ครีม","5,900","4,386","14,882","2,797,250.71"
"ไพล, ขี้ผึ้ง","4,904","3,282","19,083","759,055.78"
"ยาประคบ, ยาประคบ","3,898","2,685","12,368","1,749,168.97"
"น้ำมันไพล, ยาเข้าน้ำมัน","3,647","2,777","6,271","256,248.40"
"มะแว้ง, ยาแคปซูล","3,341","2,683","11,203","60,042.75"
"สตรีหลังคลอด, ยาต้ม","3,340","1,791","5,962","341,940.00"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","2,996","2,307","4,103","142,744.99"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๑, ยาน้ำ","2,784","1,794","5,800","95,609.00"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","2,417","1,738","239,546","384,783.30"
"แก้ไอผสมมะขามป้อม ตราวังหลัง, ยาน้ำ","2,338","1,832","4,500","62,870.70"
"แลกซ์เซ่น ทีเอ็ม ชนิดเม็ด , ยาเม็ด","2,277","1,355","38,104","55,232.50"
"น้ำยูอีคอฟ สูตร 1, ยาน้ำ","2,129","1,770","4,270","67,803.00"
"กษัยเส้น ตราพรีราน่า, ยาแคปซูล","2,031","1,693","51,631","103,510.00"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","1,983","1,652","4,036","77,267.00"
"เพชรสังฆาต, ยาแคปซูล","1,861","1,330","130,321","35,181,295.55"
"ตรีผลา / พิกัดตรีผลา , ยาแคปซูล","1,841","1,300","76,706","197,746.71"
"แคปซูลผสมมะขามแขก ตราอภัยภูเบศร, ยาแคปซูล","1,784","1,097","229","548.00"
"รางจืด, ยาชง","1,622","1,103","42,568","196,370.29"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","1,567","1,167","36,109","157,564.43"
"หญ้าดอกขาว, ยาชง","1,567","1,244","19,857","197,084.07"
"หอมเทพจิตร, ยาเม็ด","1,400","864","19,500","91,034.59"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","1,393","938","2,330","85,066.40"
"ลูกประคบสมุนไพรอินไทย, ยาประคบ","1,380","840","1,455","105,315.00"
"ไพลจีซาล , ครีม","1,373","943","1,915","108,873.13"
"พริก, เจล","1,311","908","1,940","86,639.30"
"แก้ไอผสมมะขามป้อม, ยาน้ำ","1,284","1,058","2,338","48,742.50"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","1,245","992","2,729","30,133.50"
"มหาหิงคุ์, ยาน้ำ","1,191","1,062","1,335","28,040.11"
"หญ้าหนวดแมว, ยาชง","1,156","947","12,487","160,181.53"
"สหัศธารา, ยาแคปซูล","1,149","813","36,427","3,691,869.40"
"กล้วย, ยาแคปซูล","1,128","840","46,794","134,534.50"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 1, ยาลูกกลอน","1,040","775","30,503","48,396.00"
"เหลืองปิดสมุทร, ยาแคปซูล","967","741","18,642","56,449.95"
"จันทน์ลีลา, ยาแคปซูล","913","689","25,510","58,065.75"
"ประสะน้ำนม 1, ยาแคปซูล","895","592","32,133","48,009.84"
