"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"ขมิ้นชัน, ยาแคปซูล","2,075,148","1,546,697","68,218,611","155,811,861.71"
"ฟ้าทะลายโจร, ยาแคปซูล","2,048,472","1,416,177","52,908,855","106,411,378.70"
"มะขามแขก, ยาเม็ด","1,018,518","770,592","46,414,567","167,134,667.80"
"ประสะมะแว้ง, ยาเม็ด","939,105","702,493","2,786,811","17,113,428.65"
"เถาวัลย์เปรียง, ยาแคปซูล","878,545","724,234","19,749,973","41,873,842.65"
"น้ำมันไพล, ยาเข้าน้ำมัน","863,942","663,315","939,674","39,576,319.28"
"ไพล, ครีม","858,725","605,633","1,012,461","44,678,322.27"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","832,428","614,652","1,079,506","21,673,646.73"
"แก้ไอมะขามป้อม, ยาน้ำ","822,220","605,915","1,069,142","20,460,343.65"
"อมมะแว้ง, ยาเม็ด","806,932","604,622","2,470,879","14,958,398.14"
"ยาประคบ, ยาประคบ","607,216","469,903","748,968","41,384,923.41"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","478,632","359,254","517,343","16,182,298.76"
"ธาตุอบเชย , ยาน้ำ","447,410","316,686","692,624","16,677,289.13"
"หอมเทพจิตร, ยาผง","287,179","214,817","2,137,083","12,479,339.68"
"สหัศธารา, ยาแคปซูล","242,689","191,719","6,385,695","13,742,557.74"
"พญายอ, ครีม","228,244","161,511","349,850","11,683,157.69"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","190,900","148,494","203,921","6,110,476.27"
"พริก, เจล","177,509","117,978","236,479","11,697,195.43"
"แคปซูลเถาวัลย์เปรียง ตราธงทอง, ยาแคปซูล","174,801","130,908","4,075,398","7,456,124.67"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","173,560","119,548","377,091","4,809,728.57"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","171,978","138,416","3,717,485","11,473,160.12"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","170,450","124,390","221,505","4,439,607.25"
"ไพลจีซาล , ครีม","163,869","127,931","18,201,389","1,541,212,074.14"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","136,529","93,483","184,845","2,989,333.11"
