"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"อมมะแว้ง, ยาเม็ด","1,341,427","1,039,407","4,301,487","31,405,084.90"
"ขมิ้นชัน, ยาแคปซูล","1,096,775","812,499","37,139,789","279,735,892.48"
"ประสะมะแว้ง, ยาแคปซูล","841,178","647,926","2,605,176","19,188,195.88"
"ฟ้าทะลายโจร, ยาแคปซูล","790,970","589,501","19,061,498","117,395,617.81"
"แก้ไอมะขามป้อม, ยาน้ำ","536,358","396,938","725,502","16,868,397.13"
"ไพล, ครีม","355,579","281,181","423,725","17,472,989.02"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","321,790","245,236","414,130","10,477,831.54"
"น้ำมันไพล, ยาเข้าน้ำมัน","318,360","258,747","366,566","13,801,187.14"
"ยาประคบ, ยาประคบ","312,375","250,641","369,609","20,297,866.76"
"เถาวัลย์เปรียง, ยาแคปซูล","311,089","248,762","8,397,259","23,139,317.60"
"มะขามแขก, ยาแคปซูล","236,777","168,217","8,877,005","348,037,540.68"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","205,125","144,521","225,308","1,006,524,963.57"
"ไพลจีซาล , ครีม","204,213","173,392","222,816","11,857,352.95"
"มะแว้ง, ยาแคปซูล","198,078","157,040","648,179","4,060,166.81"
"ธาตุอบเชย , ยาน้ำ","176,579","143,607","230,695","5,325,414.30"
"พริก, ขี้ผึ้ง","118,569","100,935","136,849","7,668,878.75"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","118,364","74,149","165,180","4,033,572.86"
"พญายอ, ทิงเจอร์","112,954","80,747","227,457","7,161,721.95"
"สหัศธารา, ยาแคปซูล","101,778","78,498","2,710,538","9,396,162.29"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","101,537","79,004","119,715","3,648,993.58"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","72,340","56,495","94,385","2,013,773.89"
"แก้ไอมะแว้ง , ยาลูกกลอน","58,692","46,214","179,884","1,637,370.08"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","55,794","41,615","1,446,050","5,537,068.83"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","55,221","45,607","71,677","1,698,759.30"
"มะขามป้อม, ยาน้ำ","52,832","37,409","73,699","1,718,063.57"
"มะระขี้นก, ยาแคปซูล","48,423","33,858","2,350,821","12,411,510.07"
"รางจืด, ยาชง","48,393","34,554","452,175","5,397,618.14"
"แก้ไอมะแว้งน้ำดำ, ยาน้ำ","48,239","38,779","58,407","2,076,973.84"
"ขี้ผึ้งไพล  สูตรตำรับที่ 2, ขี้ผึ้ง","46,054","34,992","52,771","1,580,372.79"
"ชุมเห็ดเทศ, ยาชง","45,988","33,249","446,553","2,561,135.90"
"เพชรสังฆาต, ยาแคปซูล","43,120","29,494","1,762,109","15,275,026.38"
"ลูกประคบสมุนไพรร้านหมอยาไทย 101, ยาประคบ","42,010","35,130","46,567","2,708,236.50"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","39,540","27,506","54,502","1,063,839.05"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","36,982","23,634","96,327","787,489.59"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 1, ยาลูกกลอน","34,912","28,812","948,333","2,247,108.37"
"ลูกประคบสมุนไพรอินไทย, ยาประคบ","34,458","28,665","44,564","2,299,347.02"
"ขิง, ยาแคปซูล","33,104","23,805","702,699","3,481,444.26"
"หอมนวโกฐ, ยาเม็ด","31,202","23,007","432,645","1,954,431.89"
"แก้ไอมะแว้งน้ำเชื่อม, ยาน้ำ","30,063","22,034","35,413","836,043.70"
"หม่องไพล ตราพระอินทร์, ขี้ผึ้ง","26,046","21,455","29,886","706,593.96"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","25,557","14,840","35,112","826,157.78"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","24,955","16,255","33,294","715,310.60"
"จันทน์ลีลา, ยาแคปซูล","22,627","17,154","521,859","1,552,296.49"
"ผสมโคคลาน สูตรตำรับที่ 2, ยาต้ม","21,601","14,281","26,910","1,025,140.00"
"สมุนไพรอบตัว, ยาต้ม","21,579","17,600","25,251","1,149,726.71"
"แก้ไอมะแว้งตรา ที.เฮิร์บ, ยาน้ำ","21,373","16,562","61,780","751,369.11"
"หญ้าดอกขาว, ยาชง","21,071","15,984","263,926","3,056,843.01"
"หอมเทพจิตร, ยาผง","20,245","14,792","124,321","1,426,631.02"
"กระเทียม, ยาแคปซูล","20,056","3,228","846,732","14,688,802.70"
"หม่องสมุนไพร / หม่อง / หม่องแก้ปวด, ขี้ผึ้ง","19,023","15,445","22,192","549,689.00"
"ว่านหางจระเข้, เจล","18,097","13,067","106,557","1,040,857.78"
"ผสมเพชรสังฆาต สูตรตำรับที่ 1, ยาแคปซูล","17,950","12,268","728,629","2,325,383.84"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","17,584","12,198","709,659","2,563,672.91"
"ประสะไพล , ยาแคปซูล","17,263","12,887","555,316","2,454,080.91"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","15,970","8,538","21,880","381,875.25"
"ตรีผลา / พิกัดตรีผลา , ยาชง","15,935","10,524","306,219","1,624,644.01"
"คำฝอย, ยาชง","15,707","8,909","72,974","1,667,573.51"
"สหัสธารา, ยาแคปซูล","15,612","12,581","409,707","1,112,090.36"
"บำรุงโลหิต, ยาแคปซูล","15,468","13,087","130,813","540,907.80"
"อมผสมมะแว้ง, ยาเม็ด","15,263","10,268","51,101","450,814.57"
"ธาตุบรรจบ , ยาแคปซูล","15,086","12,522","208,621","735,905.89"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 2, ยาลูกกลอน","14,992","11,177","304,066","951,840.70"
"หญ้าหนวดแมว, ยาชง","14,410","8,447","136,258","2,099,254.09"
"แคปซูลผสมเถาวัลย์เปรียง ตราพระอินทร์, ยาแคปซูล","14,211","11,692","406,568","656,818.15"
"เบญจกูล / พิกัดเบญจกูล, ยาแคปซูล","14,089","11,342","366,587","914,598.66"
"มะขามแขกตราธงทอง, ยาเม็ด","13,877","9,038","763,514","9,553,287.10"
"แคปซูลเถาวัลย์เปรียง ตราธงทอง, ยาแคปซูล","13,760","8,764","449,405","806,450.66"
"บอระเพ็ด, ยาแคปซูล","13,291","9,824","355,144","990,123.79"
"แก้ไอผสมมะนาวดอง, ยาลูกกลอน","13,121","10,824","15,231","226,262.30"
"น้ำมันเหลือง, ยาเข้าน้ำมัน","13,090","10,332","17,604","1,051,973.50"
"หม่องเสลดพังพอน/เสลดพังพอนบาล์ม/หม่องพญายอ/ขี้ผึ้งพญายอ/ขี้ผึ้งเสลดพังพอน, ขี้ผึ้ง","11,644","7,143","15,312","491,828.69"
"บัวบก, ยาแคปซูล","10,226","4,892","59,349","1,340,119.87"
"ธรณีสันฑะฆาต, ยาแคปซูล","9,680","6,397","241,217","890,173.96"
"กระเจี๊ยบแดง, ยาชง","9,561","6,805","52,598","438,751.00"
"แก้ไอมะแว้งตรามังกรทอง, ยาน้ำ","8,465","4,700","12,955","139,453.30"
"ห้าราก / แก้ไข้ห้าราก / แก้วห้าดวง / เบญจโลกวิเชียร , ยาแคปซูล","8,350","6,274","185,512","536,466.49"
"พิมเสนน้ำ, ยาน้ำ","7,918","4,290","12,244","386,679.00"
"กล้วย, ยาผง","7,810","5,552","213,606","379,726.95"
"หม่องพริกไพล, ขี้ผึ้ง","7,298","6,134","8,141","187,707.24"
"ผสมเพชรสังฆาต สูตรตำรับที่ 2, ยาแคปซูล","7,194","4,096","337,178","702,591.95"
"แลกซ์เซ่น ทีเอ็ม ชนิดเม็ด , ยาเม็ด","7,031","5,226","209,440","288,875.02"
"แก้ไอมะขามป้อมสูตร 1 , ยาลูกกลอน","6,880","2,389","11,267","337,874.05"
"แก้ไอมะแว้งสูตร 1 , ยาเม็ด","6,659","5,282","10,601","104,765.20"
"บรรเทาริดสีดวงทวารหนักเพชรสังฆาตชนิดแคปซูล, ยาแคปซูล","6,258","3,945","272,778","706,905.88"
"แก้ไอมะขามป้อมสูตร 2, ยาน้ำ","6,190","2,461","9,167","290,739.80"
"หม่องตะไคร้/หม่องตะไคร้หอม, ขี้ผึ้ง","5,745","5,013","6,359","216,184.62"
"เขียวหอม, ยาผง","5,619","4,851","14,586","165,769.80"
"แก้ไอผสมกานพลู, ยาลูกกลอน","5,420","4,139","19,565","124,745.06"
"ยาน้ำแก้ไอมะขามป้อม ตราเอมบริโคล, ยาน้ำ","5,135","3,512","7,507","175,231.80"
"ส้มแขก, ยาแคปซูล","5,012","166","78,623","911,628.60"
