"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11469  :  โรงพยาบาลเลิดสิน","6,262,147,650.00","6,260,552,351.00","1,595,299.00","0.03","4,441,405,371.00","4,440,514,776.00","890,595.00","0.02","1,553,144,248.00","1,552,514,038.00","630,210.00","0.04","267,598,031.00","267,523,537.00","74,494.00","0.03","0.00","0.00","0.00","0.00"
"11470  :  โรงพยาบาลนพรัตนราชธานี","18,507,630.23","18,507,630.23","0.00","0.00","18,507,630.23","18,507,630.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11471  :  โรงพยาบาลสงฆ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11472  :  โรงพยาบาลราชวิถี","70,769,211.00","70,767,152.50","2,058.50","0.00","22,941,670.75","22,941,523.75","147.00","0.00","21,617,240.50","21,616,189.50","1,051.00","0.00","19,103,220.00","19,102,762.50","457.50","0.00","7,107,079.75","7,106,676.75","403.00","0.01"
"11477  :  โรงพยาบาลทหารผ่านศึก","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","48,972,505.10","48,972,226.10","279.00","0.00","24,016,782.75","24,016,736.25","46.50","0.00","19,004,072.60","19,003,886.60","186.00","0.00","5,951,649.75","5,951,603.25","46.50","0.00","0.00","0.00","0.00","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","510,668.25","508,400.25","2,268.00","0.44","0.00","0.00","0.00","0.00","174,313.25","173,774.75","538.50","0.31","336,355.00","334,625.50","1,729.50","0.51","0.00","0.00","0.00","0.00"
"11537  :  โรงพยาบาลกลาง","29,031,256.35","29,030,885.85","370.50","0.00","8,218,287.95","8,218,157.95","130.00","0.00","7,941,038.00","7,940,953.50","84.50","0.00","6,269,777.20","6,269,699.20","78.00","0.00","6,602,153.20","6,602,075.20","78.00","0.00"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11539  :  โรงพยาบาลตากสิน","31,040,021.30","31,020,969.80","19,051.50","0.06","7,634,718.00","7,630,089.50","4,628.50","0.06","7,325,339.40","7,320,967.40","4,372.00","0.06","8,066,184.90","8,060,725.90","5,459.00","0.07","8,013,779.00","8,009,187.00","4,592.00","0.06"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","32,560,645.25","32,560,645.25","0.00","0.00","8,239,622.50","8,239,622.50","0.00","0.00","8,087,437.25","8,087,437.25","0.00","0.00","7,945,058.00","7,945,058.00","0.00","0.00","8,288,527.50","8,288,527.50","0.00","0.00"
"11546  :  โรงพยาบาลบี เอ็น เอช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11552  :  โรงพยาบาลมเหสักข์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
