"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"มะขามแขก, ยาเม็ด","141,147","100,539","5,010,434","49,566,097,061.75"
"แก้ไอมะขามป้อม, ยาน้ำ","66,345","52,049","188,663","20,432,248.84"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","45,176","34,614","145,723","2,620,622.25"
"ขมิ้นชัน, ยาแคปซูล","31,225","23,930","1,129,387","1,486,226,003.84"
"ขิง, ยาแคปซูล","23,106","12,828","720,226","10,028,850.63"
"ประสะมะแว้ง, ยาเม็ด","16,925","12,792","69,767","481,262.96"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","14,852","11,534","39,815","3,551,485.10"
"อมมะแว้ง, ยาเม็ด","14,812","10,920","39,639","410,903.79"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","12,956","9,989","23,649","347,639.00"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","11,631","9,200","22,143","433,223.48"
"ฟ้าทะลายโจร, ยาแคปซูล","11,223","8,701","281,108","838,329.11"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","10,404","8,549","19,400","240,052.26"
"ประสะไพล , ยาผง","9,707","6,448","575,289","1,340,344.40"
"ธาตุอบเชย , ยาน้ำ","9,305","7,407","155,869","1,880,582.71"
"มะขามแขกตราธงทอง, ยาเม็ด","8,968","6,685","208,508","313,355.05"
"ปลูกไฟธาตุ, ยาแคปซูล","8,372","5,046","373,263","521,084.95"
"มะขามป้อม, ยาน้ำ","7,820","5,756","18,070","386,428.26"
"เถาวัลย์เปรียง, ยาแคปซูล","7,688","6,394","161,663","257,419,867.92"
"พญายอ, ครีม","7,542","5,541","15,546","717,126.78"
"ไพล, ครีม","5,577","3,738","17,493","335,351.90"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","5,548","4,251","10,426","211,963.90"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","4,832","3,800","9,390","142,195.25"
"ยาประคบ, ยาประคบ","3,811","2,264","10,765","2,962,782.00"
"สตรีหลังคลอด, ยาต้ม","3,603","1,757","6,638","397,652.00"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","3,473","2,671","4,808","151,753.70"
"น้ำมันไพล, ยาเข้าน้ำมัน","3,464","2,533","7,835","329,025.80"
"แคปซูลผสมมะขามแขก ตราอภัยภูเบศร, ยาแคปซูล","2,986","1,899","18,260","36,662.50"
"แก้ไอผสมมะขามป้อม, ยาน้ำ","2,377","1,848","4,553","75,202.25"
"แก้ไอผสมมะขามป้อม ตราวังหลัง, ยาน้ำ","2,339","1,863","20,987","78,435.90"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","2,217","1,505","99,408","183,600.95"
"กษัยเส้น ตราพรีราน่า, ยาแคปซูล","2,101","1,732","53,058","105,939.50"
