"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"แก้ไอมะขามป้อม, ยาน้ำ","152,352","96,823","357,671","296,462,970.47"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","144,302","87,256","325,795","5,791,362.45"
"มะขามแขก, ยาแคปซูล","140,465","101,233","4,979,711","155,566,518,650.99"
"ประสะมะแว้ง, ยาเม็ด","131,441","66,325","321,319","2,629,261.15"
"ฟ้าทะลายโจร, ยาแคปซูล","121,595","55,370","7,107,807","19,327,565.30"
"อมมะแว้ง, ยาเม็ด","104,050","57,965","256,999","2,236,247.80"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","44,906","26,632","71,073","925,368.25"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","43,565","24,846","86,048","1,516,843.88"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","32,434","19,279","64,382","1,271,261.90"
"ขิง, ยาแคปซูล","26,232","15,818","863,626","18,369,011.02"
"แก้ไอผสมมะขามป้อม, ยาน้ำ","19,439","11,805","32,025","475,284.07"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","17,688","10,075","25,753","531,877.97"
"ขมิ้นชัน, ยาแคปซูล","15,634","11,723","544,571","80,081,401.56"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","12,050","6,970","27,876","465,221.75"
"มะขามป้อม, ยาน้ำ","11,155","7,375","27,615","592,317.74"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๑, ยาน้ำ","9,028","5,302","13,747","216,316.25"
"แก้ไอผสมมะขามป้อม ตราวังหลัง, ยาน้ำ","8,659","5,460","25,887","227,151.97"
"ปลูกไฟธาตุ, ยาแคปซูล","7,983","4,646","427,361","534,604.92"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","7,919","4,103","20,985","348,675.00"
"มะขามแขกตราธงทอง, ยาเม็ด","7,438","5,608","177,783","263,471.00"
"แก้ไอมะแว้ง , ยาลูกกลอน","7,364","4,578","16,343","11,679,083.88"
"มะแว้ง, ยาแคปซูล","7,089","4,240","26,853","150,042.27"
"แก้ไอมะขามป้อม ตราอภัยภูเบศร, ยาน้ำ","6,907","4,290","11,325","169,842.31"
"ยาประคบ, ยาประคบ","6,347","4,474","12,411","540,009.50"
"ประสะไพล , ยาเม็ด","5,952","3,693","245,796","527,860.78"
"ธาตุอบเชย , ยาน้ำ","5,621","4,380","76,678","1,110,362.90"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","5,570","1,854","85,518","295,275.06"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","5,187","2,781","9,537","269,097.50"
"ไพล, ครีม","4,903","3,263","9,608","45,485,824.16"
"น้ำมันไพล, ยาเข้าน้ำมัน","4,735","3,473","7,355","337,784.75"
"แก้ไอวิริยมัย สูตรมะขามป้อม, ยาน้ำ","3,668","2,582","25,213","106,297.50"
"แก้ไอผสมมะนาวดอง, ยาลูกกลอน","3,521","1,687","4,936","84,310.25"
"พญายอ, ครีม","3,488","2,495","8,941","499,357.65"
"แก้ไอพื้นบ้านอีสาน, ยาน้ำ","3,184","2,097","4,942","148,661.50"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","2,536","1,490","5,105","50,495.25"
"แลกซ์เซ่น ทีเอ็ม ชนิดเม็ด , ยาเม็ด","2,510","1,833","80,302","123,129.78"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","2,208","1,651","3,250","102,750.49"
"แคปซูลผสมมะขามแขก ตราอภัยภูเบศร, ยาแคปซูล","2,143","1,275","50,705","97,556.00"
