"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"มะขามแขก, ยาแคปซูล","82,859","59,449","4,239,470","322,486,929,888.41"
"แก้ไอมะขามป้อม, ยาน้ำ","46,656","35,277","96,523","2,146,824.64"
"ขมิ้นชัน, ยาแคปซูล","24,684","18,473","953,678","13,936,664,772.89"
"อมมะแว้ง, ยาเม็ด","19,466","14,745","56,357","562,053.62"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","17,259","13,503","41,327","831,753.90"
"ประสะมะแว้ง, ยาเม็ด","13,348","9,412","40,787","349,189.24"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","10,888","8,341","22,220","2,490,587.70"
"ขิง, ยาแคปซูล","9,287","4,875","245,886","5,111,145.25"
"ประสะไพล , ยาแคปซูล","9,180","6,485","575,272","8,677,245.25"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","8,868","6,471","22,287","369,734.55"
"มะขามแขกตราธงทอง, ยาเม็ด","8,648","4,233","212,832","320,496.60"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","7,080","3,312","13,102","267,977.39"
"ธาตุอบเชย , ยาน้ำ","6,853","5,653","98,508","856,233.67"
"ฟ้าทะลายโจร, ยาแคปซูล","6,094","4,549","161,248","4,247,883.46"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","5,563","4,316","42,468","99,484,126.00"
"เถาวัลย์เปรียง, ยาแคปซูล","5,324","3,994","233,327","7,262,454,953.23"
"มะขามป้อม, ยาน้ำ","4,223","3,318","8,838","201,381.00"
"พญายอ, ครีม","4,135","2,930","14,022","807,483.21"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","3,221","2,502","6,216","132,138.50"
