"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"ฟ้าทะลายโจร, ยาแคปซูล","2,617,434","1,956,362","59,014,984","117,101,116.59"
"ขมิ้นชัน, ยาแคปซูล","2,232,264","1,680,108","2,220,600,482","3,377,499,403.44"
"ประสะมะแว้ง, ยาเม็ด","1,481,777","1,105,165","4,278,810","26,624,704.03"
"อมมะแว้ง, ยาเม็ด","1,452,126","1,092,963","4,273,931","28,309,961.09"
"แก้ไอมะขามป้อม, ยาน้ำ","1,421,342","1,031,449","1,950,874","36,522,480.50"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","1,211,731","917,742","1,532,337","31,651,863.47"
"เถาวัลย์เปรียง, ยาแคปซูล","995,572","822,447","22,638,873","48,179,586.24"
"มะขามแขก, ยาแคปซูล","961,920","726,459","39,949,468","125,132,455.41"
"ไพล, ครีม","917,494","664,219","1,159,136","56,185,766.97"
"น้ำมันไพล, ยาเข้าน้ำมัน","807,054","632,955","874,847","36,135,808.89"
"ยาประคบ, ยาประคบ","726,036","577,420","885,661","48,543,855.88"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","487,442","381,685","533,996","16,326,758.10"
"ธาตุอบเชย , ยาน้ำ","481,564","361,542","718,523","16,259,836.12"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","303,011","205,855","508,835","7,628,557.70"
"สหัศธารา, ยาแคปซูล","290,318","229,832","7,609,552","16,567,642.03"
"พญายอ, ครีม","254,414","184,709","409,968","12,924,853.14"
"หอมเทพจิตร, ยาเม็ด","239,012","177,758","2,115,695","12,104,693.19"
"ไพลจีซาล , ครีม","238,472","189,289","18,272,376","1,544,928,155.89"
