"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"มะขามแขก, ยาแคปซูล","6,875","4,189","133,575","9,792,825.85"
"ขมิ้นชัน, ยาแคปซูล","3,037","1,903","92,581","1,051,184.80"
"อมมะแว้ง, ยาเม็ด","2,810","2,021","9,777","90,072.07"
"แก้ไอมะขามป้อม, ยาน้ำ","2,667","1,982","4,809","115,773.00"
"ประสะมะแว้ง, ยาเม็ด","1,538","1,084","3,313","33,249.50"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","1,470","580","2,583","134,783.50"
"แลกซ์เซ่น ทีเอ็ม ชนิดเม็ด , ยาเม็ด","735","30","15,594","15,534.50"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","725","356","1,386","30,791.00"
"ไพล, ครีม","549","390","827","29,793.75"
"ฟ้าทะลายโจร, ยาแคปซูล","516","261","12,159","387,615.50"
"พญายอ, ครีม","506","223","973","255,003.44"
"แก้ไอมะแว้งน้ำเชื่อม, ยาน้ำ","313","201","436","8,720.00"
"มหาหิงคุ์, ยาน้ำ","267","235","279","2,647.00"
"มะขามป้อม, ยาน้ำ","258","223","291","7,780.00"
"ยาประคบ, ยาประคบ","214","169","256","12,800.00"
"เถาวัลย์เปรียง, ยาแคปซูล","200","129","5,826","110,026.45"
"ขิง, ยาชง","179","124","3,408","10,616.50"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","165","121","6,687","12,410.15"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","154","72","2,311","8,017.75"
"แก้ไอมะแว้งน้ำดำ, ยาน้ำ","146","112","464","13,809.00"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","142","90","479","4,460.00"
"ยาน้ำแก้ไอมะขามป้อม ตราเอมบริโคล, ยาน้ำ","114","94","210","5,040.00"
"มะแว้ง, ยาแคปซูล","108","94","222","2,368.00"
"เพชรสังฆาต, ยาแคปซูล","107","50","3,322","8,184.25"
"แก้ไอมะแว้งตรามังกรทอง, ยาน้ำ","102","66","149","1,490.00"
