"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"ฟ้าทะลายโจร, ยาแคปซูล","2,590,702","1,936,721","58,658,419","119,061,543.84"
"ขมิ้นชัน, ยาแคปซูล","2,056,692","1,528,876","69,993,983","20,157,418,229.69"
"อมมะแว้ง, ยาเม็ด","1,758,658","1,306,118","5,313,636","33,242,123.11"
"แก้ไอมะขามป้อม, ยาน้ำ","1,543,445","1,111,684","2,212,127","41,291,363.70"
"ประสะมะแว้ง, ยาลูกกลอน","1,475,566","1,102,112","4,227,032","26,252,937.65"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","1,109,770","851,262","1,361,441","29,331,259.42"
"เถาวัลย์เปรียง, ยาแคปซูล","886,002","722,137","20,755,230","45,007,460.66"
"มะขามแขก, ยาแคปซูล","850,681","631,663","33,984,274","105,684,341.07"
"ไพล, ครีม","748,016","545,569","848,988","37,706,654.48"
"น้ำมันไพล, ยาเข้าน้ำมัน","707,405","553,114","768,525","31,433,662.92"
"ยาประคบ, ยาประคบ","636,665","505,287","788,290","42,690,418.55"
"ธาตุอบเชย , ยาน้ำ","452,050","343,902","674,077","14,968,164.92"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","436,285","347,168","474,917","14,184,192.74"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","335,698","229,834","502,902","8,634,345.04"
"มะแว้ง, ยาแคปซูล","277,318","213,281","902,620","5,420,735.77"
"ไพลจีซาล , ครีม","257,860","202,131","283,410","15,626,672.15"
"สหัศธารา, ยาแคปซูล","250,502","194,632","6,818,467","15,493,314.56"
"พญายอ, ยาน้ำแขวนตะกอน","241,407","174,520","380,711","12,649,772.12"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","231,669","176,557","289,987","6,224,803.04"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","219,616","174,806","238,358","7,279,825.31"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","197,170","155,641","4,674,630","15,332,332.23"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","192,884","123,814","267,396","4,668,653.03"
"มะขามป้อม, ยาน้ำ","180,955","126,379","245,752","5,600,351.15"
"พริก, เจล","176,118","126,884","241,580","11,480,658.70"
"หอมเทพจิตร, ยาเม็ด","172,169","122,904","1,720,271","9,044,460.38"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","128,519","92,854","162,962","2,201,389.70"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","119,925","84,701","159,984","2,593,878.01"
"รางจืด, ยาชง","118,860","91,831","1,506,767","6,622,632.88"
"หอมนวโกฐ, ยาผง","117,873","87,504","1,639,844","6,410,991.87"
"ขี้ผึ้งไพล  สูตรตำรับที่ 2, ขี้ผึ้ง","112,324","87,226","121,495","3,644,345.94"
"แคปซูลเถาวัลย์เปรียง ตราธงทอง, ยาแคปซูล","111,339","86,734","2,897,760","5,065,103.98"
"ขิง, ยาชง","103,003","70,345","2,202,073","6,533,415.57"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","101,485","70,716","141,459","2,743,646.48"
"มะระขี้นก, ยาแคปซูล","97,637","72,450","6,359,698","13,325,485.88"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 1, ยาลูกกลอน","94,075","79,263","2,149,696","4,719,812.74"
"เพชรสังฆาต, ยาแคปซูล","91,951","64,603","4,384,203","9,346,320.27"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","88,849","62,786","2,932,874","7,116,910.65"
"ลูกประคบสมุนไพรอินไทย, ยาประคบ","80,063","65,896","122,202","5,225,451.00"
"ลูกประคบสมุนไพรร้านหมอยาไทย 101, ยาประคบ","79,919","66,972","89,708","4,888,278.61"
"แก้ไอมะแว้ง , ยาเม็ด","77,652","60,700","158,650","1,510,450.15"
"สมุนไพรอบตัว, ยาต้ม","73,487","60,909","79,718","4,870,161.86"
"หญ้าดอกขาว, ยาชง","70,877","55,019","659,757","7,207,902.54"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","70,617","52,059","92,826","2,082,007.67"
"แก้ไอผสมมะนาวดอง, ยาลูกกลอน","65,231","47,739","108,201","1,086,501.52"
"ชุมเห็ดเทศ, ยาชง","64,209","47,858","964,224","2,810,275.61"
"จันทน์ลีลา, ยาแคปซูล","63,937","45,742","1,689,368","3,876,241.92"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","60,889","42,813","126,805","1,091,518.30"
"ตรีผลา / พิกัดตรีผลา , ยาแคปซูล","56,405","34,881","1,626,493","4,431,669.61"
"หญ้าหนวดแมว, ยาชง","54,606","41,696","561,666","5,329,233.64"
"สหัสธารา, ยาแคปซูล","52,808","42,121","1,569,532","2,853,762.27"
"คลายเส้น (พญาเม็งราย), ยาแคปซูล","49,992","43,526","1,137,003","1,497,116.07"
"ผสมเพชรสังฆาต สูตรตำรับที่ 1, ยาแคปซูล","46,738","35,060","1,872,194","4,195,393.40"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 2, ยาลูกกลอน","44,269","38,664","925,717","2,007,578.86"
"ธาตุบรรจบ , ยาแคปซูล","44,213","32,321","861,247","2,646,422.20"
