"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11469  :  โรงพยาบาลเลิดสิน","374,227,057.00","372,248,997.50","1,978,059.50","0.53","91,827,272.00","91,382,869.50","444,402.50","0.48","98,486,495.00","97,906,241.00","580,254.00","0.59","90,378,226.25","89,930,493.75","447,732.50","0.50","93,535,063.75","93,029,393.25","505,670.50","0.54"
"11470  :  โรงพยาบาลนพรัตนราชธานี","52,792,809.25","52,792,809.25","0.00","0.00","13,553,234.50","13,553,234.50","0.00","0.00","13,828,030.00","13,828,030.00","0.00","0.00","12,469,647.00","12,469,647.00","0.00","0.00","12,941,897.75","12,941,897.75","0.00","0.00"
"11471  :  โรงพยาบาลสงฆ์","5,811,485,207.00","5,774,289,898.00","37,195,309.00","0.64","1,503,920,388.00","1,493,327,249.00","10,593,139.00","0.70","1,823,762,167.00","1,811,817,855.00","11,944,312.00","0.65","735,425,812.00","730,349,978.00","5,075,834.00","0.69","1,748,376,840.00","1,738,794,816.00","9,582,024.00","0.55"
"11472  :  โรงพยาบาลราชวิถี","892,113,720.75","889,129,677.25","2,984,043.50","0.33","235,704,976.25","234,965,693.75","739,282.50","0.31","240,114,398.50","239,351,575.25","762,823.25","0.32","200,305,937.75","199,666,985.25","638,952.50","0.32","215,988,408.25","215,145,423.00","842,985.25","0.39"
"11477  :  โรงพยาบาลทหารผ่านศึก","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
