"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11469  :  โรงพยาบาลเลิดสิน","7,653,060,344.00","7,648,238,344.00","4,822,000.00","0.06","1,275,822,706.00","1,273,886,531.00","1,936,175.00","0.15","2,228,325,231.00","2,226,765,005.00","1,560,226.00","0.07","2,926,173,938.00","2,925,168,978.00","1,004,960.00","0.03","1,222,738,469.00","1,222,417,830.00","320,639.00","0.03"
"11470  :  โรงพยาบาลนพรัตนราชธานี","63,144,156.04","63,144,156.04","0.00","0.00","20,354,327.27","20,354,327.27","0.00","0.00","20,567,807.44","20,567,807.44","0.00","0.00","12,266,318.22","12,266,318.22","0.00","0.00","9,955,703.11","9,955,703.11","0.00","0.00"
"11471  :  โรงพยาบาลสงฆ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11472  :  โรงพยาบาลราชวิถี","67,141,042.00","67,136,271.00","4,771.00","0.01","19,450,174.00","19,448,347.50","1,826.50","0.01","18,875,060.25","18,873,562.25","1,498.00","0.01","17,834,146.00","17,833,203.50","942.50","0.01","10,981,661.75","10,981,157.75","504.00","0.00"
"11477  :  โรงพยาบาลทหารผ่านศึก","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","60,173,905.75","60,170,976.25","2,929.50","0.00","15,383,303.50","15,382,652.50","651.00","0.00","14,722,396.50","14,721,885.00","511.50","0.00","14,395,748.50","14,395,097.50","651.00","0.00","15,672,457.25","15,671,341.25","1,116.00","0.01"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","1,936,213.25","1,931,559.25","4,654.00","0.24","928,394.00","926,499.50","1,894.50","0.20","1,007,819.25","1,005,059.75","2,759.50","0.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11537  :  โรงพยาบาลกลาง","23,281,519.70","23,281,162.20","357.50","0.00","6,744,378.30","6,744,248.30","130.00","0.00","5,864,225.15","5,864,121.15","104.00","0.00","4,927,562.35","4,927,503.85","58.50","0.00","5,745,353.90","5,745,288.90","65.00","0.00"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","65,961.18","65,961.18","0.00","0.00","0.00","0.00","0.00","0.00","65,961.18","65,961.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11539  :  โรงพยาบาลตากสิน","30,090,231.20","30,074,869.70","15,361.50","0.05","8,035,961.50","8,031,823.00","4,138.50","0.05","6,940,681.85","6,936,922.35","3,759.50","0.05","7,143,095.80","7,139,900.30","3,195.50","0.04","7,970,492.05","7,966,224.05","4,268.00","0.05"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","2,627,868.90","2,627,712.90","156.00","0.01","333,478.50","333,478.50","0.00","0.00","1,045,176.00","1,045,020.00","156.00","0.01","891,118.10","891,118.10","0.00","0.00","358,096.30","358,096.30","0.00","0.00"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","29,256,681.00","29,256,681.00","0.00","0.00","5,984,191.25","5,984,191.25","0.00","0.00","7,481,770.75","7,481,770.75","0.00","0.00","8,009,234.00","8,009,234.00","0.00","0.00","7,781,485.00","7,781,485.00","0.00","0.00"
