"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"ฟ้าทะลายโจร, ยาแคปซูล","2,151,813","1,432,371","82,650,737","172,286,479.04"
"ขมิ้นชัน, ยาแคปซูล","1,140,924","843,884","37,867,742","78,060,890.54"
"ประสะมะแว้ง, ยาเม็ด","1,091,269","773,925","3,595,009","25,600,232.68"
"แก้ไอมะขามป้อม, ยาน้ำ","931,256","650,875","1,213,715","22,406,165.38"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","912,605","643,780","1,149,879","22,778,218.78"
"อมมะแว้ง, ยาเม็ด","891,968","627,127","2,454,589","15,560,425.20"
"มะขามแขก, ยาแคปซูล","630,325","476,269","32,057,420","51,340,640.86"
"น้ำมันไพล, ยาเข้าน้ำมัน","508,017","381,556","570,777","23,360,330.94"
"ไพล, ครีม","493,477","339,303","598,004","26,677,391.05"
"เถาวัลย์เปรียง, ยาแคปซูล","447,260","364,473","10,144,496","20,489,807.08"
"ยาประคบ, ยาประคบ","374,527","280,604","473,798","26,250,424.83"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","284,601","214,312","315,681","9,963,203.94"
"ธาตุอบเชย , ยาน้ำ","269,411","184,309","432,073","10,607,510.66"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","219,444","145,866","390,692","5,538,635.18"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","205,462","140,907","270,681","5,075,477.45"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","189,776","118,928","238,021","3,376,237.00"
"หอมเทพจิตร, ยาผง","169,280","122,378","1,287,239","7,477,409.10"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","135,889","106,687","143,903","4,275,286.72"
"สหัศธารา, ยาแคปซูล","126,924","99,054","3,329,091","7,533,135.57"
"พญายอ, สารละลายสำหรับป้ายปาก","124,831","85,181","223,393","6,758,057.83"
"มะแว้ง, ยาแคปซูล","111,586","84,116","258,754","1,537,746.27"
"พริก, ครีม","94,956","64,319","140,723","6,632,397.71"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","89,657","71,703","1,951,887","5,996,065.69"
"มะขามป้อม, ยาน้ำ","89,176","66,269","116,326","2,581,982.79"
"ไพลจีซาล , ครีม","88,485","68,673","120,563","6,441,204.17"
"แคปซูลเถาวัลย์เปรียง ตราธงทอง, ยาแคปซูล","85,775","64,247","1,991,834","3,791,648.27"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","79,373","53,694","171,039","1,366,417.56"
"ขิง, ยาชง","78,305","50,690","1,666,986","5,034,925.99"
"หอมนวโกฐ, ยาผง","67,233","48,824","894,790","3,784,389.97"
"มะระขี้นก, ยาแคปซูล","66,401","49,326","4,857,209","9,036,224.17"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 1, ยาลูกกลอน","65,593","55,417","1,502,367","2,976,588.22"
"รางจืด, ยาชง","63,246","49,107","943,426","3,719,557.32"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๑, ยาน้ำ","55,588","32,281","70,668","1,171,860.14"
"แก้ไอผสมมะขามป้อม, ยาน้ำ","54,790","32,548","64,456","1,022,357.99"
"ขี้ผึ้งไพล  สูตรตำรับที่ 2, ขี้ผึ้ง","53,821","41,740","59,502","1,745,978.48"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","50,245","32,442","66,673","1,221,057.41"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","48,800","35,098","88,914","715,238.43"
"แก้ไอมะขามป้อม ตราอภัยภูเบศร, ยาน้ำ","48,144","32,102","118,025","907,410.85"
