"รหัสโรค","รวม","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"ทุกสิทธิ์","UC","ทุกสิทธิ์","UC","ทุกสิทธิ์","UC","ทุกสิทธิ์","UC","ทุกสิทธิ์","UC"
"คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง"
"U648, โรคและอาการชนิดอื่นของทางเดินหายใจ  ที่ระบุรายละเอียด","3,126","3,133","2,640","2,647","3,125","3,131","2,640","3,131","1","1","1","1","1","1","0","0","0","0","0","0"
"U77, การส่งเสริมสุขภาพและการป้องกันโรค","2,753","3,045","2,358","2,625","2,195","2,370","1,824","1,198","344","405","328","388","255","270","247","260","0","0","0","0"
"U6680, ท้องอืด","1,668","2,657","1,190","1,926","1,605","2,575","1,136","2,570","54","58","47","51","19","24","15","20","0","0","0","0"
"U7506, ปวดขา หรือ ปวดเข่า หรือ ปวดเท้า","1,234","1,695","1,108","1,524","776","1,100","672","1,026","421","459","398","434","130","136","120","126","0","0","0","0"
"U748, โรคอื่น  ที่ระบุรายละเอียด","1,291","1,502","1,077","1,257","153","162","136","157","1,158","1,296","954","1,073","44","44","39","39","0","0","0","0"
"U744, ความดันโลหิตสูง","717","1,459","670","1,372","507","599","479","585","491","557","462","515","287","303","276","291","0","0","0","0"
"U7504, ปวดเอว หรือ ปวดสะโพก","806","1,123","733","1,007","439","492","386","503","399","447","374","415","176","184","158","165","0","0","0","0"
"U758, อาการอื่น  ที่ระบุรายละเอียด","537","933","505","890","464","515","442","500","187","209","181","203","189","209","175","194","0","0","0","0"
"U7502, ปวดบ่า หรือ ปวดไหล่","643","898","578","802","300","330","261","369","312","399","285","365","133","169","125","160","0","0","0","0"
"U5731, ลมปลายปัตฆาตสัญญาณ 1 หลัง","719","859","670","793","281","316","261","302","264","278","245","257","231","265","213","244","0","0","0","0"
"U7503, ปวดแขน หรือ ปวดมือ","599","667","555","611","336","349","308","326","220","241","205","222","74","77","71","74","0","0","0","0"
"U5732, ลมปลายปัตฆาตสัญญาณ 3 หลัง","442","644","385","562","258","340","216","297","166","195","145","174","104","109","93","98","0","0","0","0"
"U5726, ลมปลายปัตฆาตขา","535","637","514","616","256","274","248","280","225","251","220","246","99","112","91","104","0","0","0","0"
"U5753, ลมจับโปงแห้งเข่า","472","612","451","589","225","249","215","210","190","223","184","217","115","140","108","133","0","0","0","0"
"U7505, ปวดกล้ามเนื้อ","464","601","391","515","143","165","126","191","141","188","126","168","240","248","193","201","0","0","0","0"
"U7501, ปวดหลัง","540","586","509","555","292","303","270","306","204","212","197","205","70","71","68","69","0","0","0","0"
"U6110, อัมพาตครึ่งซีก","240","581","194","427","116","219","99","214","141","271","109","189","45","91","41","62","0","0","0","0"
"U5733, ลมปลายปัตฆาตสัญญาณ 4 หลัง / คอ","441","535","365","428","242","268","187","227","175","190","145","156","68","77","59","68","0","0","0","0"
"U741, เบาหวาน","232","498","218","473","168","204","161","198","155","191","145","178","88","103","85","100","0","0","0","0"
"U610, อัมพฤกษ์ หรือ ลมอัมพฤกษ์","204","450","169","397","111","215","96","185","94","147","77","127","56","88","48","79","0","0","0","0"
