"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11469  :  โรงพยาบาลเลิดสิน","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11470  :  โรงพยาบาลนพรัตนราชธานี","45,246,301.63","45,246,301.63","0.00","0.00","14,107,538.78","14,107,538.78","0.00","0.00","13,779,853.85","13,779,853.85","0.00","0.00","8,546,283.00","8,546,283.00","0.00","0.00","8,812,626.00","8,812,626.00","0.00","0.00"
"11471  :  โรงพยาบาลสงฆ์","2,922,656,115.00","2,903,313,454.00","19,342,661.00","0.66","548,619,363.00","545,070,097.00","3,549,266.00","0.65","1,360,112,999.00","1,350,161,150.00","9,951,849.00","0.73","522,249,725.00","519,713,238.00","2,536,487.00","0.49","491,674,028.00","488,368,969.00","3,305,059.00","0.67"
"11472  :  โรงพยาบาลราชวิถี","1,002,643,335.00","1,000,160,318.00","2,483,017.00","0.25","302,946,201.25","302,275,627.25","670,574.00","0.22","269,134,917.25","268,490,462.25","644,455.00","0.24","254,680,899.25","253,994,227.75","686,671.50","0.27","175,881,317.25","175,400,000.75","481,316.50","0.27"
"11477  :  โรงพยาบาลทหารผ่านศึก","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","933,360.00","933,360.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","933,360.00","933,360.00","0.00","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","4,049,885,985.25","4,020,307,964.75","29,578,020.50","0.73","1,990,531,606.00","1,975,815,712.00","14,715,894.00","0.74","2,059,354,379.25","2,044,492,252.75","14,862,126.50","0.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11537  :  โรงพยาบาลกลาง","36,699,041,487.00","36,698,920,747.50","120,739.50","0.00","8,895,975,381.50","8,895,936,173.00","39,208.50","0.00","9,014,143,696.75","9,014,113,179.25","30,517.50","0.00","9,105,465,948.75","9,105,444,130.75","21,818.00","0.00","9,683,456,460.00","9,683,427,264.50","29,195.50","0.00"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11539  :  โรงพยาบาลตากสิน","33,312,619,118.00","33,312,402,237.00","216,881.00","0.00","8,338,188,608.25","8,338,136,469.25","52,139.00","0.00","8,184,396,541.50","8,184,335,636.00","60,905.50","0.00","8,319,610,934.00","8,319,562,435.50","48,498.50","0.00","8,470,423,034.25","8,470,367,696.25","55,338.00","0.00"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","4,631,999,878.00","4,629,936,031.00","2,063,847.00","0.04","684,193,143.00","683,962,910.00","230,233.00","0.03","1,688,745,641.00","1,687,983,716.00","761,925.00","0.05","1,706,623,246.50","1,705,866,060.50","757,186.00","0.04","552,437,847.50","552,123,344.50","314,503.00","0.06"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","13,480,851,889.25","13,480,619,365.25","232,524.00","0.00","4,677,588,728.25","4,677,445,934.25","142,794.00","0.00","6,635,480,813.25","6,635,399,342.25","81,471.00","0.00","2,167,782,347.75","2,167,774,088.75","8,259.00","0.00","0.00","0.00","0.00","0.00"
