"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"มะขามแขก, ยาแคปซูล","52,756","35,900","3,102,820","28,186,536,357.20"
"แก้ไอมะขามป้อม, ยาน้ำ","31,164","22,808","88,515","67,011,066.23"
"ขมิ้นชัน, ยาแคปซูล","22,481","15,744","890,872","632,099,479.86"
"อมมะแว้ง, ยาเม็ด","15,506","11,341","47,502","3,906,842.37"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","11,424","8,856","30,601","610,069.88"
"ประสะไพล, ยาแคปซูล","9,506","6,493","636,585","43,498,203.15"
"ประสะมะแว้ง, ยาแคปซูล","8,776","6,159","28,416","221,303.15"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","8,480","5,902","16,313","958,768.45"
"ขิง, ยาแคปซูล","6,533","3,407","167,300","441,119.18"
"มะขามแขกตราธงทอง, ยาเม็ด","5,924","2,418","143,847","260,388.30"
"ธาตุอบเชย , ยาน้ำ","5,878","4,589","54,006","625,064.03"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","5,530","2,583","8,472","164,545.09"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","4,806","3,277","13,561","253,682.95"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","3,730","2,942","71,371","12,679,196,929.25"
"ฟ้าทะลายโจร, ยาแคปซูล","3,492","2,465","88,438","4,767,772.94"
"มะขามป้อม, ยาน้ำ","3,490","2,906","6,829","245,571.51"
"เถาวัลย์เปรียง, ยาแคปซูล","3,427","2,550","132,376","572,556,902.01"
"ปลูกไฟธาตุ, ยาลูกกลอน","3,076","2,115","84,925","126,378.65"
"ไพล, ครีม","2,931","1,886","5,254","219,269.74"
"พญายอ, ครีม","2,741","1,842","6,722","5,032,034.82"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","2,612","1,940","3,799","359,173.25"
"ยาประคบ, ยาประคบ","2,590","1,945","9,007","16,839,258.00"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","2,416","1,770","4,044","92,326.40"
"สตรีหลังคลอด, ยาต้ม","2,343","1,212","4,360","148,421.00"
"แลกซ์เซ่น ทีเอ็ม ชนิดเม็ด , ยาเม็ด","2,158","1,353","86,113","94,577.00"
"มะแว้ง, ยาแคปซูล","1,987","1,598","7,159","41,031.55"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","1,971","1,548","4,028","78,783.50"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","1,745","789","3,263","70,499.50"
"สหัศธารา, ยาแคปซูล","1,548","934","30,238","45,147.13"
"น้ำมันไพล, ยาเข้าน้ำมัน","1,323","1,068","1,896","75,111.00"
"เพชรสังฆาต, ยาแคปซูล","1,119","799","68,581","52,170,711.32"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","987","772","1,429","255,066.75"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","969","786","43,763","77,595.17"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","951","778","1,975","42,599.16"
"มหาหิงคุ์, ยาน้ำ","913","755","918","21,028.90"
"มะระขี้นก, ยาแคปซูล","906","620","36,156","1,204,138.64"
"รางจืด, ยาแคปซูล","824","614","12,845","58,166.72"
"แอนดิแลค, ยาแคปซูล","809","5","48,860","60,122.00"
"หญ้าดอกขาว, ยาชง","807","622","10,267","107,764.34"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","771","583","15,682","49,618.07"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 1, ยาลูกกลอน","747","570","17,082","31,193.00"
"แก้ไอมะแว้งน้ำเชื่อม, ยาน้ำ","740","589","1,194","33,116.00"
"หญ้าหนวดแมว, ยาชง","736","427","8,559","55,462.35"
"กล้วย, ยาแคปซูล","711","623","18,520","23,292.50"
"พริก, เจล","704","493","984","41,827.20"
"แก้ไอมะแว้งตรา ที.เฮิร์บ, ยาน้ำ","650","477","1,180","27,780.00"
"จันทน์ลีลา, ยาแคปซูล","617","498","13,696","19,581.25"
