"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"มะขามแขก, ยาแคปซูล","30,794","22,351","5,072,294","14,128,523,968,610.24"
"แก้ไอมะขามป้อม, ยาน้ำ","20,249","16,097","96,024","1,975,434,834.63"
"ขมิ้นชัน, ยาแคปซูล","17,376","13,300","760,298","6,386,849,634.88"
"อมมะแว้ง, ยาเม็ด","12,707","9,745","37,993","383,728.84"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","8,231","6,379","20,013","497,283.68"
"ประสะมะแว้ง, ยาเม็ด","7,919","5,914","25,402","221,888.79"
"ประสะไพล , ยาผง","6,182","4,582","187,918","443,754.30"
"ขิง, ยาแคปซูล","5,562","3,935","129,304","328,275.89"
"ธาตุอบเชย , ยาน้ำ","4,689","3,984","69,441","6,815,413.71"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","4,037","2,958","10,313","241,891.25"
"มะขามป้อม, ยาน้ำ","3,635","2,138","6,398","532,384.00"
"มะขามแขกตราธงทอง, ยาเม็ด","3,102","2,119","71,573","1,229,837.00"
"เถาวัลย์เปรียง, ยาแคปซูล","2,948","2,278","117,982","35,330,072.15"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","2,898","2,386","6,109","130,411.71"
"ฟ้าทะลายโจร, ยาแคปซูล","2,891","2,207","74,983","721,077.38"
"ปลูกไฟธาตุ, ยาแคปซูล","2,449","1,767","76,500","121,416.00"
"พญายอ, ครีม","2,135","1,536","4,617","739,472.42"
"ไพล, ครีม","2,124","1,549","4,528","161,867.78"
"น้ำมันไพล, ยาเข้าน้ำมัน","2,084","1,701","2,822","111,328.56"
"มะแว้ง, ยาแคปซูล","2,049","1,645","4,252","42,446.75"
"แลกซ์เซ่น ทีเอ็ม ชนิดเม็ด , ยาเม็ด","1,970","1,155","39,445","50,331.00"
"สหัศธารา, ยาแคปซูล","1,778","1,335","36,901","59,096.90"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","1,766","1,339","6,664","130,992.50"
"สตรีหลังคลอด, ยาต้ม","1,763","1,095","2,620","99,311.00"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","1,690","1,463","7,300","177,486.50"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","1,651","1,274","2,644","53,365.75"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","1,489","1,168","1,956","68,596.85"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","1,437","1,188","2,383","58,879.80"
"แก้ไอมะแว้งน้ำดำ, ยาน้ำ","1,273","1,032","6,017","68,687.07"
"ยาประคบ, ยาประคบ","1,164","783","2,653","321,491.66"
"มะระขี้นก, ยาแคปซูล","1,145","977","89,849","223,980,930.16"
"แก้ไอมะแว้ง , ยาลูกกลอน","969","751","2,580","321,962.82"
"แก้ไอมะแว้งตรา ที.เฮิร์บ, ยาน้ำ","918","673","2,392","45,832.75"
"มหาหิงคุ์, ยาน้ำ","905","812","912","16,999.50"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","847","653","1,030","31,324.00"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 1, ยาลูกกลอน","841","618","21,682","31,557.00"
"เพชรสังฆาต, ยาแคปซูล","802","603","97,322","1,457,134,376.34"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","764","604","14,339","43,989.42"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","743","632","13,687","1,896,352,770.75"
"ลูกประคบสมุนไพรร้านหมอยาไทย 101, ยาประคบ","742","600","1,121","64,616.50"
"จันทน์ลีลา, ยาแคปซูล","694","574","13,987","16,443.20"
"ประสะน้ำนม ทีเอฟดี, ยาแคปซูล","683","509","20,738","36,212.00"
"แคปซูลผสมเถาวัลย์เปรียง ตราพระอินทร์, ยาแคปซูล","669","560","13,709","21,692.00"
"ตำรับแก้น้ำนมพิการ, ยาน้ำ","629","234","833","38,415.00"
"หญ้าดอกขาว, ยาชง","606","489","7,958","82,656.18"
"หอมนวโกฐ, ยาผง","535","403","4,304","30,072.05"
"ขี้ผึ้งไพล  สูตรตำรับที่ 2, ขี้ผึ้ง","529","443","765","18,052.50"
"แก้ไอมะแว้งน้ำเชื่อม, ยาน้ำ","486","356","735","19,446.00"
"ชุมเห็ดเทศ, ยาผง","467","316","2,963","67,463.50"
"ไพลจีซาล , ครีม","462","294","745","52,498.97"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","453","361","22,176","37,700.67"
"ยาแผนไทยที่ปรุงสำหรับผู้ป่วยเฉพาะราย, อื่นๆ","447","316","2,410","11,531.00"
"ยาน้ำแก้ไอมะขามป้อม ตราเอมบริโคล, ยาน้ำ","431","341","1,365","32,352.00"
"หม่องไพล ตราพระอินทร์, ขี้ผึ้ง","423","323","467","10,495.00"
"ผสมเพชรสังฆาต สูตรตำรับที่ 1, ยาแคปซูล","388","307","14,877","44,576.55"
"ห้าราก / แก้ไข้ห้าราก / แก้วห้าดวง / เบญจโลกวิเชียร , ยาแคปซูล","386","332","10,827","16,765.40"
"รางจืด, ยาชง","384","329","5,425","44,241.21"
"ไฟประลัยกัลป์, ยาแคปซูล","383","291","4,256","25,698.00"
"ไฟห้ากอง , ยาแคปซูล","333","250","9,753","20,049.00"
"หญ้าหนวดแมว, ยาชง","325","242","3,008","41,118.30"
"ยาที่ปรุงสำหรับผู้ป่วยเฉพาะราย, อื่นๆ","298","229","1,260","32,744.00"
"อบหลังคลอด  หมอยาไทย, ยาผง","288","281","295","12,266.00"
"ธาตุบรรจบ , ยาแคปซูล","288","217","2,995","12,511.40"
"ว่านหางจระเข้, เจล","287","217","1,051","708,498.62"
"พริก, เจล","280","188","375","19,386.72"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 2, ยาลูกกลอน","266","218","7,775","14,339.50"
"บัวบก, ครีม","219","172","3,236","33,063.50"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","217","168","377","3,568.25"
"ตรีผลา / พิกัดตรีผลา , ยาแคปซูล","209","158","7,469","12,064.40"
"ลูกประคบสมุนไพรอินไทย, ยาประคบ","178","143","236","17,664.00"
"แก้ไอมะขามป้อมสูตร 2, ยาน้ำ","152","127","200","5,415.00"
"ยาระบายส้มแขกชนิดเม็ด เครื่องหมายการค้าดอกว่าน, ยาเม็ด","149","136","4,847","7,270.50"
"กล้วย, ยาผง","147","110","2,847","3,827.50"
"แก้ไอมะแว้งตรามังกรทอง, ยาน้ำ","142","84","203","2,090.00"
"น้ำมันเหลือง, ยาเข้าน้ำมัน","141","114","234","18,881.50"
"อมผสมมะแว้ง, ยาเม็ด","136","87","277","2,845.30"
"หอมเทพจิตร, ยาแคปซูล","125","98","1,880","6,814.96"
"หม่องพริกไพล, ขี้ผึ้ง","123","84","158","2,452.72"
"ธรณีสันฑะฆาต, ยาแคปซูล","117","102","2,051","16,026.00"
"กันยุงตะไคร้หอม, ยาน้ำ","104","97","121","8,194.00"
"เบญจกูล / พิกัดเบญจกูล, ยาเม็ด","96","73","3,061","4,876.70"
"บอระเพ็ด, ยาแคปซูล","91","78","2,700","5,327.63"
"แอนดิแลค, ยาแคปซูล","91","54","5,225","5,227.00"
"บรรเทาริดสีดวงทวารหนักเพชรสังฆาตชนิดแคปซูล, ยาแคปซูล","90","72","3,496","6,278.00"
"แคปซูลเพชรสังฆาต, ยาแคปซูล","87","73","3,362","8,609.44"
"ผสมเพชรสังฆาต สูตรตำรับที่ 2, ยาแคปซูล","86","62","2,966","6,932.70"
"แก้ไอมะแว้งสูตร 1 , ยาเม็ด","82","69","171","2,022.00"
"แคปซูลรางจืด ตราธงทอง, ยาแคปซูล","79","59","1,129","2,028.50"
"แก้ไอสมุนไพร (รพ.วังน้ำเย็น), ยาลูกกลอน","65","55","70","2,098.00"
"ซินโนวอล, ยาน้ำ","65","49","66","1,645.00"
"ขี้เหล็ก, ยาแคปซูล","62","52","647","1,255.00"
"แก้ไอผสมมะนาวดอง, ยาลูกกลอน","57","49","96","1,661.00"
"บรรเทาอาการไอมะขามป้อม , ยาเม็ด","54","35","77","1,414.50"
"ปราบชมพูทวีป, ยาแคปซูล","52","44","1,626","2,268.00"
"น้ำมันมะกอก, ยาเข้าน้ำมัน","51","44","83","4,472.00"
"แก้น้ำนมพิการ(รพ.กุดชุม), ยาผง","48","21","84","2,200.00"
"อมฟ้าทะลายโจร, ยาลูกกลอน","46","39","81","901.20"
"ผสมรางจืด หมอยาไทย, ยาผง","46","37","327","3,616.20"
"เลือดงาม, ยาแคปซูล","45","36","2,948","4,324.00"
"หอมบำรุงหัวใจ, ยาผง","45","42","44","1,804.00"
"ประสะน้ำนม (บริษัทพาราฟาร์มาซูติคอล จำกัด), ยาเม็ด","44","31","668","1,336.00"
"ตำรับระบายสมุนไพร, ยาแคปซูล","42","12","638","950.62"
"แคปซูลผสมเถาวัลย์เปรียง, ยาแคปซูล","41","34","919","3,738.50"
"ประสะน้ำนม 1, ยาเม็ด","40","29","109","2,180.00"
"น้ำนมราชสีห์, ยาต้ม","40","31","47","3,710.00"
"อำมฤควาที, ยาลูกกลอน","36","34","733","1,509.10"
"ยาหอม  , ยาผง","35","31","45","560.00"
"หญ้าลูกใต้ใบ, ยาแคปซูล","35","24","1,202","1,632.00"
"แคปซูลผสมมะขามแขก ตราอภัยภูเบศร, ยาแคปซูล","34","31","1,988","4,473.00"
"กระเทียม, ยาแคปซูล","34","28","1,027","2,909.00"
"แก้ไอพื้นบ้านอีสาน, ยาน้ำ","33","17","30","750.00"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๑, ยาน้ำ","33","27","54","910.00"
"แก้ไอมะขามป้อมสูตร 1 , ยาลูกกลอน","33","21","43","1,335.00"
"แก้ไอผสมกานพลู, ยาลูกกลอน","32","28","1,564","920.00"
"น้ำมันเหลืองตราพระอินทร์, ยาเข้าน้ำมัน","30","25","34","1,258.00"
"น้ำยูอีคอฟ สูตร 1, ยาน้ำ","29","27","78","1,560.00"
"เหลืองปิดสมุทร, ยาแคปซูล","25","19","509","794.00"
"หม่องสมุนไพร / หม่อง / หม่องแก้ปวด, ขี้ผึ้ง","23","18","27","535.50"
"อมรสบ๊วย, ยาลูกกลอน","21","12","43","645.00"
"หม่องเสลดพังพอน/เสลดพังพอนบาล์ม/หม่องพญายอ/ขี้ผึ้งพญายอ/ขี้ผึ้งเสลดพังพอน, ขี้ผึ้ง","21","15","35","1,660.00"
"มธุรเมหะ (รพ.วังน้ำเย็น), ยาลูกกลอน","20","16","481","2,117.00"
"ยาบรรเทาริดสีดวงทวาร  เพชรสังฆาต ชนิดแคปซูล, ยาแคปซูล","19","14","342","4,414.50"
"หม่องเสลดพังพอน/เสลดพังพอนบาล์ม/หม่องพญายอ/ขี้ผึ้งพญายอ/   ขี้ผึ้งเสลดพังพอน, ขี้ผึ้ง","17","17","26","650.00"
"ประคบใบหน้า/เต้านม, ยาประคบ","16","16","16","760.00"
"แคปซูลผสมเพชรสังฆาต, ยาแคปซูล","16","15","813","1,402.00"
"แก้ไอเบอร์ 8, ยาแคปซูล","15","13","404","202.00"
"มังคุด/เปลือกมังคุด, ยาน้ำ","15","4","17","830.00"
"สหัสธารา, ยาแคปซูล","14","5","102","7,281.00"
"แคปซูลเถาวัลย์เปรียง ตราธงทอง, ยาแคปซูล","14","8","147","660.50"
"หอมอินทจักร, ยาผง","13","10","88","516.00"
"หม่องน้ำ, ยาน้ำ","13","11","17","380.00"
"กระเจี๊ยบแดง, ยาชง","13","10","35","565.00"
"บรรเทาอาการริดสีดวงทวารหนักชนิดแคปซูล, ยาแคปซูล","12","11","736","1,658.40"
"อาบสมุนไพร, ยาต้ม","12","12","12","780.00"
"หม่องตะไคร้/หม่องตะไคร้หอม, ขี้ผึ้ง","12","11","26","967.00"
"น้ำมันเถาเอ็นอ่อน, ยาเข้าน้ำมัน","11","0","87","8,700.00"
"อายุวัฒนะ, ยาลูกกลอน","11","10","394","788.00"
"ตำรับโลดทะนงแดง  , ยาผง","11","11","16","1,232.00"
"แก้น้ำนมพิการ(รพ.กาบเชิง), ยาผง","10","8","10","300.00"
"ตำรับเบาหวาน, ยาแคปซูล","9","8","153","744.68"
"มันทธาตุ, ยาแคปซูล","9","9","536","1,274.00"
