"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"อมมะแว้ง, ยาเม็ด","1,467,398","1,106,362","4,712,973","34,716,200.25"
"ขมิ้นชัน, ยาแคปซูล","1,356,126","1,018,481","47,672,269","218,720,659.34"
"ฟ้าทะลายโจร, ยาแคปซูล","937,294","706,270","22,089,121","75,605,415.09"
"ประสะมะแว้ง, ยาเม็ด","892,890","700,266","2,801,514","18,648,559.13"
"แก้ไอมะขามป้อม, ยาน้ำ","736,826","540,655","971,135","21,911,095.65"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","483,185","383,609","604,313","13,977,160.13"
"ไพล, ครีม","456,550","355,514","541,894","25,780,892.44"
"เถาวัลย์เปรียง, ยาแคปซูล","412,054","336,239","10,594,592","26,216,155.38"
"ยาประคบ, ยาประคบ","409,902","338,126","474,960","26,348,846.06"
"มะขามแขก, ยาแคปซูล","392,950","289,166","14,841,704","185,116,107.14"
"น้ำมันไพล, ยาเข้าน้ำมัน","374,513","310,254","417,775","15,966,572.20"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","255,786","186,439","284,117","8,033,035.42"
"ธาตุอบเชย , ยาน้ำ","238,247","193,887","326,235","6,675,342.35"
"มะแว้ง, ยาแคปซูล","234,350","183,440","1,755,216","9,459,597.66"
"ไพลจีซาล , ครีม","208,610","176,024","234,532","15,539,653.10"
"พริก, เจล","186,668","156,334","216,998","11,294,561.74"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","183,798","124,449","259,657","5,306,652.45"
"พญายอ, ครีม","142,488","104,574","241,040","8,056,959.47"
