"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"ขมิ้นชัน, ยาแคปซูล","2,032,140","1,521,545","70,712,663","175,892,863.42"
"ฟ้าทะลายโจร, ยาแคปซูล","1,909,037","1,435,744","44,374,643","101,709,786.67"
"อมมะแว้ง, ยาเม็ด","1,898,558","1,427,890","6,103,718","38,433,662.83"
"ประสะมะแว้ง, ยาแคปซูล","1,515,753","1,149,297","4,579,436","29,349,727.12"
"แก้ไอมะขามป้อม, ยาน้ำ","1,466,462","1,077,699","2,077,006","42,240,984.39"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","961,595","750,740","1,195,559","26,219,753.50"
"เถาวัลย์เปรียง, ยาแคปซูล","793,340","649,023","19,793,922","41,467,963.40"
"มะขามแขก, ยาแคปซูล","748,196","561,661","28,726,478","102,399,629.09"
"ไพล, ครีม","712,398","538,647","1,172,706","36,320,825.09"
"ยาประคบ, ยาประคบ","657,275","522,820","812,363","43,105,347.71"
"น้ำมันไพล, ยาเข้าน้ำมัน","621,861","497,152","683,674","27,578,511.29"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","444,764","360,796","499,301","14,735,698.97"
"ธาตุอบเชย , ยาน้ำ","413,206","317,689","627,439","12,982,477.89"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","342,579","231,396","478,429","9,192,665.08"
"มะแว้ง, ยาแคปซูล","293,926","224,681","977,941","5,372,586.84"
"ไพลจีซาล , ครีม","260,670","208,243","300,130","16,423,210.21"
"สหัศธารา, ยาแคปซูล","240,862","190,460","6,299,034","16,020,772.52"
"พญายอ, ครีม","240,304","176,289","380,839","13,229,123.79"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","210,583","157,753","272,481","5,657,907.47"
"พริก, เจล","204,788","159,987","338,631","13,088,685.74"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","203,197","161,456","237,956","7,818,648.65"
"มะขามป้อม, ยาน้ำ","169,674","120,216","238,079","5,165,008.48"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","157,572","123,435","3,985,409","13,000,015.25"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","151,961","103,042","204,991","3,444,293.50"
"หอมเทพจิตร, ยาเม็ด","140,457","99,428","1,433,140","7,324,329.50"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","115,998","84,057","154,648","2,899,308.71"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","112,806","77,101","143,507","2,057,085.03"
"หอมนวโกฐ, ยาเม็ด","111,405","82,720","1,387,952","6,304,020.68"
"รางจืด, ยาชง","110,881","87,189","1,119,091","6,429,445.34"
"มะระขี้นก, ยาแคปซูล","102,746","77,559","5,514,833","13,556,627.52"
"ขี้ผึ้งไพล  สูตรตำรับที่ 2, ขี้ผึ้ง","102,306","79,891","111,200","3,516,150.59"
"ขิง, ยาชง","101,279","71,758","2,149,417","6,876,604.77"
"แก้ไอมะแว้ง , ยาเม็ด","99,067","78,116","213,959","2,032,275.46"
"เพชรสังฆาต, ยาแคปซูล","96,423","69,515","4,087,733","10,212,962.57"
"แคปซูลเถาวัลย์เปรียง ตราธงทอง, ยาแคปซูล","95,003","70,800","2,527,687","4,508,830.79"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","94,331","67,156","134,947","2,712,462.31"
"ลูกประคบสมุนไพรร้านหมอยาไทย 101, ยาประคบ","91,159","77,238","100,768","5,549,905.40"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","90,429","63,937","2,809,101","12,557,265.03"
"ลูกประคบสมุนไพรอินไทย, ยาประคบ","86,902","69,589","100,649","5,690,855.62"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 1, ยาลูกกลอน","83,063","69,384","2,057,217","5,002,915.38"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","79,889","58,673","111,090","2,227,274.15"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","71,775","51,519","156,191","1,592,242.00"
"สมุนไพรอบตัว, ยาต้ม","71,455","60,130","81,122","4,670,919.64"
"หญ้าดอกขาว, ยาชง","71,325","56,333","735,454","7,964,360.47"
"แก้ไอผสมมะนาวดอง, ยาลูกกลอน","70,733","52,320","103,434","1,233,832.49"
"ชุมเห็ดเทศ, ยาแคปซูล","64,227","47,442","953,188","3,045,924.88"
"จันทน์ลีลา, ยาเม็ด","59,005","41,134","1,502,438","3,380,432.05"
"หม่องไพล ตราพระอินทร์, ขี้ผึ้ง","47,580","42,729","50,597","1,759,010.02"
"ผสมเพชรสังฆาต สูตรตำรับที่ 1, ยาแคปซูล","46,616","36,064","1,865,352","4,107,292.33"
"คำฝอย, ยาชง","45,523","32,607","144,911","3,072,591.46"
"หญ้าหนวดแมว, ยาชง","45,422","34,640","477,807","3,355,652.69"
"สหัสธารา, ยาแคปซูล","45,144","35,985","1,472,962","2,494,728.82"
"ประสะไพล , ยาลูกกลอน","44,765","32,657","1,401,645","7,275,200.22"
"หม่องเสลดพังพอน/เสลดพังพอนบาล์ม/หม่องพญายอ/ขี้ผึ้งพญายอ/ขี้ผึ้งเสลดพังพอน, ขี้ผึ้ง","44,073","26,958","54,690","1,762,810.97"
"น้ำยูอีคอฟ สูตร 1, ยาน้ำ","43,102","29,904","59,578","1,045,970.62"
"ตรีผลา / พิกัดตรีผลา , ยาน้ำ","42,238","24,121","1,071,577","3,546,621.16"
"คลายเส้น (พญาเม็งราย), ยาแคปซูล","41,025","36,705","890,254","1,180,875.00"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 2, ยาลูกกลอน","40,997","34,697","840,528","2,162,860.76"
"ยาที่ปรุงสำหรับผู้ป่วยเฉพาะราย, อื่นๆ","39,704","30,913","119,684","6,227,455.75"
"แก้ไอมะแว้งน้ำดำ, ยาน้ำ","36,938","28,932","46,855","1,290,968.15"
"บำรุงโลหิต, ยาแคปซูล","36,559","26,327","1,009,324","2,779,329.11"
"น้ำมันเหลือง, ยาเข้าน้ำมัน","34,583","27,788","42,428","2,035,946.49"
"ธาตุบรรจบ , ยาแคปซูล","33,855","24,398","810,308","2,254,365.51"
"มะขามแขกตราธงทอง, ยาเม็ด","31,897","21,767","1,828,605","2,796,798.70"
"อมผสมมะแว้ง, ยาเม็ด","31,601","20,336","97,536","659,211.16"
"ธรณีสันฑะฆาต, ยาแคปซูล","31,404","21,284","979,647","2,219,248.19"
"บัวบก, ครีม","30,512","20,074","182,643","2,352,370.05"
"แก้ไอมะแว้งตรา ที.เฮิร์บ, ยาน้ำ","27,060","20,477","47,149","403,167.87"
"เบญจกูล / พิกัดเบญจกูล, ยาแคปซูล","27,023","18,264","851,062","1,892,876.67"
"แก้ไอมะขามป้อมสูตร 1 , ยาผง","26,825","20,115","35,414","879,949.86"
"ปราบชมพูทวีป, ยาแคปซูล","26,464","16,164","800,506","2,338,927.99"
"กระเจี๊ยบแดง, ยาชง","26,135","19,702","124,367","1,283,238.57"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๑, ยาน้ำ","25,279","17,126","34,634","623,024.20"
"เขียวหอม, ยาแคปซูล","24,985","17,754","486,299","1,486,377.78"
"แคปซูลผสมเถาวัลย์เปรียง ตราพระอินทร์, ยาแคปซูล","24,913","22,032","542,802","981,895.54"
"ซินโนวอล, ยาน้ำ","24,078","18,471","45,281","713,784.18"
"ยาแผนไทยที่ปรุงสำหรับผู้ป่วยเฉพาะราย, อื่นๆ","23,741","16,034","65,068","2,205,828.59"
"ว่านหางจระเข้, เจล","23,247","15,217","42,066","1,366,777.02"
"ผสมเพชรสังฆาต สูตรตำรับที่ 2, ยาแคปซูล","22,888","17,903","871,760","1,466,843.96"
"บรรเทาริดสีดวงทวารหนักเพชรสังฆาตชนิดแคปซูล, ยาแคปซูล","21,885","15,827","865,270","2,271,694.43"
"ยาน้ำแก้ไอมะขามป้อม ตราเอมบริโคล, ยาน้ำ","20,883","15,437","23,523","490,185.50"
"แก้ไอมะแว้งน้ำเชื่อม, ยาน้ำ","19,669","13,256","23,475","582,699.75"
"น้ำมันกาสลัก, ยาเข้าน้ำมัน","19,573","16,115","20,157","979,554.26"
"แก้ไอพื้นบ้านอีสาน, ยาน้ำ","19,278","14,621","23,197","688,069.00"
"บอระเพ็ด, ยาแคปซูล","18,461","14,084","464,799","1,251,688.20"
"หม่องสมุนไพร / หม่อง / หม่องแก้ปวด, ขี้ผึ้ง","17,963","15,531","25,840","572,653.41"
"ธรณีสัณฑะฆาต, ยาแคปซูล","17,168","10,799","512,138","1,050,963.35"
"กระเทียม, ยาแคปซูล","16,961","2,985","484,179","4,714,873.09"
"คลายเส้น (รพ.กาบเชิง), ยาลูกกลอน","15,439","13,408","39,239","942,829.24"
"พิมเสนน้ำ, ยาน้ำ","15,176","8,867","21,287","663,468.50"
"แก้ไอผสมมะขามป้อม ตราวังหลัง, ยาน้ำ","14,617","7,994","18,331","361,782.55"
"แก้ไอมะแว้งสูตร 1 , ยาเม็ด","14,291","10,051","57,642","302,851.10"
"แคปซูลเพชรสังฆาต, ยาแคปซูล","14,027","10,161","570,345","1,628,828.13"
"อำมฤควาที, ยาผง","13,962","9,614","240,339","835,273.32"
"หอมบำรุงหัวใจ, ยาผง","13,922","10,371","50,140","689,378.88"
"ห้าราก / แก้ไข้ห้าราก / แก้วห้าดวง / เบญจโลกวิเชียร , ยาแคปซูล","13,385","9,250","327,877","791,279.52"
"หม่องเสลดพังพอน/เสลดพังพอนบาล์ม/หม่องพญายอ/ขี้ผึ้งพญายอ/   ขี้ผึ้งเสลดพังพอน, ขี้ผึ้ง","12,735","8,548","16,689","469,396.09"
"กล้วย, ยาผง","12,603","9,422","256,647","588,969.98"
"แก้ไอผสมกานพลู, ยาลูกกลอน","12,539","9,655","23,157","295,566.40"
"ฝาง, ยาต้ม","11,975","10,753","16,634","262,820.50"
"แก้ไอมะแว้งตรามังกรทอง, ยาน้ำ","11,907","7,582","19,306","198,103.94"
"อมรสบ๊วย, ยาลูกกลอน","11,788","9,733","25,407","270,713.04"
"แก้ไอมะขามป้อมสูตร 2, ยาน้ำ","11,347","6,478","16,550","448,985.00"
"บรรเทาอาการไอมะขามป้อม , ยาเม็ด","11,321","8,601","18,210","268,118.70"
"เลือดงาม, ยาแคปซูล","11,283","7,364","303,897","828,146.62"
"ครีมพริกไพล, ครีม","11,155","9,150","11,838","267,692.00"
"หอมอินทจักร, ยาผง","11,076","8,184","84,646","609,011.62"
"หอมทิพโอสถ ตราโพธิ์ทอง, ยาผง","10,433","7,299","13,351","491,237.50"
"น้ำมันเหลืองตราพระอินทร์, ยาเข้าน้ำมัน","10,433","9,102","11,404","702,742.20"
"กษัยเส้น ตราพรีราน่า, ยาแคปซูล","9,868","8,318","196,230","457,036.60"
"หอมทิพโอสถ, ยาผง","9,767","6,218","58,978","632,055.35"
"ผสมโคคลาน สูตรตำรับที่ 2, ยาต้ม","9,535","8,586","25,276","270,265.10"
"เหลืองปิดสมุทร, ยาเม็ด","9,507","6,153","132,887","615,935.64"
