"รหัสโรค","รวม","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"ทุกสิทธิ์","UC","ทุกสิทธิ์","UC","ทุกสิทธิ์","UC","ทุกสิทธิ์","UC","ทุกสิทธิ์","UC"
"คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง"
"U77, การส่งเสริมสุขภาพและการป้องกันโรค","245","1,340","240","1,295","78","330","77","349","122","426","117","403","115","458","114","446","69","126","69","126"
"U502, สตรีหลังคลอดน้ำคาวปลาไม่เดิน","68","286","55","243","9","32","6","44","22","95","18","80","13","62","11","52","25","97","25","97"
"U7506, ปวดขา หรือ ปวดเข่า หรือ ปวดเท้า","189","257","183","249","28","30","28","43","81","105","80","104","80","90","74","83","32","32","32","32"
"U6110, อัมพาตครึ่งซีก","45","215","42","202","13","39","12","42","25","48","24","47","33","93","31","86","18","35","18","35"
"U503, สตรีหลังคลอดอยู่ไฟไม่ได้","43","160","39","144","3","12","3","26","9","20","9","20","8","35","8","35","24","93","24","93"
"U610, อัมพฤกษ์ หรือ ลมอัมพฤกษ์","55","156","48","142","22","44","20","49","16","33","16","33","13","17","12","16","31","62","31","62"
"U7141, หัวเข่าเสื่อม","128","132","125","129","0","0","0","0","0","0","0","0","1","1","1","1","128","131","128","131"
"U5732, ลมปลายปัตฆาตสัญญาณ 3 หลัง","101","115","76","79","23","23","21","19","6","6","6","6","40","40","36","36","34","46","34","46"
"U750, ปวดตามร่างกาย","85","114","74","102","9","12","7","22","29","34","26","31","56","68","50","61","0","0","0","0"
"U5753, ลมจับโปงแห้งเข่า","63","92","62","90","38","44","37","31","11","13","11","13","8","18","8","18","17","17","17","17"
"U7501, ปวดหลัง","84","90","79","85","9","9","9","19","32","34","30","32","33","33","30","30","14","14","14","14"
"U6111, อัมพาตครึ่งท่อนล่าง","20","76","16","50","5","17","2","17","8","9","5","5","13","29","10","19","12","21","12","21"
"U504, สตรีหลังคลอดมีน้ำนมน้อย","24","65","21","56","1","1","1","0","0","0","0","0","5","11","5","11","18","53","18","53"
"U7505, ปวดกล้ามเนื้อ","46","53","46","53","8","8","8","0","13","13","13","13","23","26","23","26","6","6","6","6"
"U6114, อัมพาตเฉพาะขา","9","26","7","24","4","11","4","10","5","5","4","4","5","10","4","9","0","0","0","0"
"U7502, ปวดบ่า หรือ ปวดไหล่","18","23","17","22","3","3","3","2","10","12","9","11","6","6","6","6","2","2","2","2"
"U7504, ปวดเอว หรือ ปวดสะโพก","14","23","14","23","1","1","1","0","6","8","6","8","6","11","6","11","3","3","3","3"
"U5726, ลมปลายปัตฆาตขา","17","22","16","21","11","13","10","13","6","6","6","6","3","3","3","3","0","0","0","0"
"U6113, อัมพาตเฉพาะแขน","4","22","3","16","3","11","2","11","1","1","1","1","4","10","3","7","0","0","0","0"
"U7503, ปวดแขน หรือ ปวดมือ","20","20","19","19","3","3","3","2","7","7","6","6","10","10","10","10","0","0","0","0"
