"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11469  :  โรงพยาบาลเลิดสิน","10,106,820,642.00","10,104,206,132.00","2,614,510.00","0.03","6,856,877,747.00","6,855,599,810.00","1,277,937.00","0.02","3,249,942,895.00","3,248,606,322.00","1,336,573.00","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11470  :  โรงพยาบาลนพรัตนราชธานี","30,402,029.58","30,402,029.58","0.00","0.00","16,723,941.80","16,723,941.80","0.00","0.00","13,678,087.78","13,678,087.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11471  :  โรงพยาบาลสงฆ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11472  :  โรงพยาบาลราชวิถี","33,118,446.50","33,117,551.00","895.50","0.00","16,532,876.75","16,532,317.75","559.00","0.00","15,047,661.75","15,047,503.25","158.50","0.00","1,537,908.00","1,537,730.00","178.00","0.01","0.00","0.00","0.00","0.00"
"11477  :  โรงพยาบาลทหารผ่านศึก","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
