"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"ขมิ้นชัน, ยาแคปซูล","203,319","139,649","6,548,500","33,774,278.43"
"อมมะแว้ง, ยาเม็ด","194,042","150,015","622,920","4,759,740.74"
"ประสะมะแว้ง, ยาเม็ด","125,975","99,662","389,807","2,498,489.79"
"ฟ้าทะลายโจร, ยาแคปซูล","117,276","81,251","2,515,060","10,872,709.99"
"ไพล, ครีม","89,431","69,341","115,527","4,580,043.50"
"แก้ไอมะขามป้อม, ยาน้ำ","51,436","34,847","70,442","1,691,286.59"
"มะแว้ง, ยาแคปซูล","46,617","38,437","213,594","950,949.60"
"มะขามแขก, ยาแคปซูล","42,624","28,767","1,463,575","15,043,637.10"
"ไพลจีซาล , ครีม","40,449","32,467","44,698","2,484,216.11"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","35,084","22,059","47,954","1,902,153.10"
"พญายอ, สารละลายสำหรับป้ายปาก","19,563","12,158","50,769","1,682,261.87"
"เถาวัลย์เปรียง, ยาแคปซูล","17,032","11,757","400,748","2,002,442.05"
"แก้ไอมะแว้งน้ำเชื่อม, ยาน้ำ","15,096","10,242","17,113","311,803.70"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","14,913","12,462","27,713","478,830.40"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","14,072","8,074","37,827","364,492.05"
"น้ำมันไพล, ยาเข้าน้ำมัน","12,869","8,783","17,525","640,789.03"
"มะขามป้อม, ยาน้ำ","12,695","6,538","17,537","406,240.00"
"ยาประคบ, ยาประคบ","12,347","10,073","15,889","879,650.50"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","10,826","7,001","318,373","1,153,810.25"
"สหัศธารา, ยาเม็ด","9,930","8,639","259,660","383,778.30"
"แก้ไอมะแว้ง , ยาเม็ด","8,160","6,362","34,510","174,246.08"
"แก้ไอมะแว้งตรามังกรทอง, ยาน้ำ","7,469","3,821","10,278","124,082.79"
"พริก, เจล","7,300","5,563","15,509","497,022.18"
"ลูกประคบสมุนไพรอินไทย, ยาประคบ","7,289","6,846","7,622","384,877.00"
"มะระขี้นก, ยาแคปซูล","6,752","4,541","449,114","1,692,398.45"
"เพชรสังฆาต, ยาแคปซูล","6,636","3,040","203,151","1,157,954.84"
"รางจืด, ยาชง","6,493","4,337","67,125","423,098.10"
"ลูกประคบสมุนไพรร้านหมอยาไทย 101, ยาประคบ","5,844","5,234","6,345","412,728.50"
"แก้ไอมะแว้งน้ำดำ, ยาน้ำ","5,720","4,542","6,437","207,104.90"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","5,601","4,547","7,948","199,931.50"
"ชุมเห็ดเทศ, ยาผง","5,321","3,261","41,080","378,868.42"
"กระเทียม, ยาแคปซูล","4,920","993","450,463","1,222,423.19"
"แคปซูลผสมเถาวัลย์เปรียง ตราพระอินทร์, ยาแคปซูล","4,879","4,087","148,599","221,311.40"
"แก้ไอผสมมะนาวดอง, ยาลูกกลอน","4,760","4,058","6,287","106,433.50"
"ว่านหางจระเข้, เจล","4,637","3,026","9,199","218,020.78"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","4,581","3,370","6,845","150,706.00"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","4,405","2,969","182,756","540,349.50"
"คำฝอย, ยาชง","4,235","2,762","6,691","253,466.50"
"ขี้ผึ้งไพล  สูตรตำรับที่ 2, ขี้ผึ้ง","3,426","3,165","3,561","154,636.00"
