"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"มะขามแขก, ยาแคปซูล","153,904","110,252","6,874,878","180,185,164,840.24"
"แก้ไอมะขามป้อม, ยาน้ำ","68,705","53,496","208,357","640,251,066.02"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","53,105","40,953","168,353","2,967,031.62"
"ขมิ้นชัน, ยาแคปซูล","29,435","22,511","973,467","1,445,919,939.72"
"ขิง, ยาแคปซูล","27,267","15,930","930,968","31,718,720.19"
"ประสะมะแว้ง, ยาเม็ด","18,523","13,750","60,886","601,387.70"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","16,188","12,308","48,751","192,981,645.27"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","15,259","11,837","28,830","393,447.00"
"อมมะแว้ง, ยาเม็ด","13,456","9,785","34,057","576,322.52"
"ฟ้าทะลายโจร, ยาแคปซูล","11,348","8,470","298,738","1,101,759.93"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","11,015","7,963","21,239","386,724.50"
"ประสะไพล , ยาผง","9,075","6,060","462,600","1,165,108.31"
"ปลูกไฟธาตุ, ยาแคปซูล","8,743","4,843","414,272","570,297.88"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","8,505","6,923","17,708","431,218.50"
"มะขามแขกตราธงทอง, ยาเม็ด","8,086","6,123","193,971","289,502.50"
"มะขามป้อม, ยาน้ำ","8,034","5,973","18,724","386,007.00"
"ธาตุอบเชย , ยาน้ำ","7,479","5,969","108,136","1,369,343.19"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","6,550","4,846","12,699","254,488.27"
"พญายอ, ขี้ผึ้ง","6,515","4,785","15,650","1,413,541.00"
"ยาประคบ, ยาประคบ","5,758","3,255","15,900","2,943,887.20"
"ไพล, ครีม","5,401","3,505","27,949","407,378.04"
"แก้ไอผสมมะขามป้อม, ยาน้ำ","4,858","3,767","9,140","139,984.50"
"เถาวัลย์เปรียง, ยาแคปซูล","4,520","3,297","227,687","551,895,307.06"
"น้ำมันไพล, ยาเข้าน้ำมัน","4,277","3,236","8,735","350,973.23"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","3,885","2,786","7,158","108,503.75"
"สตรีหลังคลอด, ยาต้ม","3,420","1,747","7,041","399,126.50"
"แก้ไอผสมมะขามป้อม ตราวังหลัง, ยาน้ำ","3,213","2,571","13,709","110,570.60"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","3,023","2,026","4,452","139,241.50"
"แคปซูลผสมมะขามแขก ตราอภัยภูเบศร, ยาแคปซูล","2,875","1,727","55,311","107,235.50"
"แก้ไอมะขามป้อม ตราอภัยภูเบศร, ยาน้ำ","2,686","2,018","4,546","66,889.00"
"หญ้าหนวดแมว, ยาผง","2,408","1,865","28,577","391,070.35"
"หญ้าดอกขาว, ยาชง","2,242","1,803","34,178","932,656.75"
"กษัยเส้น ตราพรีราน่า, ยาแคปซูล","2,115","1,766","53,943","107,870.00"
"แก้ไอพื้นบ้านอีสาน, ยาน้ำ","2,104","1,750","3,680","105,200.00"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๑, ยาน้ำ","2,104","1,480","4,311","80,452.00"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","2,085","1,462","78,248","129,205.60"
"เหลืองปิดสมุทร, ยาแคปซูล","2,039","1,531","31,923","106,551.55"
"แลกซ์เซ่น ทีเอ็ม ชนิดเม็ด , ยาเม็ด","1,648","1,029","44,857","70,892.00"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","1,631","901","2,191","77,636.00"
"ลูกประคบสมุนไพรอินไทย, ยาประคบ","1,615","731","1,915","374,968.00"
"เพชรสังฆาต, ยาแคปซูล","1,614","1,198","87,840","1,877,768.47"
"แก้ไอวิริยมัย สูตรมะขามป้อม, ยาน้ำ","1,514","1,299","2,604","35,693.00"
"หอมเทพจิตร, ยาแคปซูล","1,511","814","11,396","107,793.60"
"มะแว้ง, ยาแคปซูล","1,484","1,137","3,982","22,681.23"
"พริก, เจล","1,288","716","1,959","88,856.95"
"ผสมเพชรสังฆาต สูตรตำรับที่ 1, ยาแคปซูล","1,248","921","59,855","1,754,381.81"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","1,219","923","25,884","73,715.67"
"น้ำยูอีคอฟ สูตร 1, ยาน้ำ","1,130","894","2,153","33,052.00"
"สหัศธารา, ยาแคปซูล","1,122","811","30,301","1,372,732.01"
"รางจืด, ยาชง","1,091","823","15,329","312,165.63"
"ซินโนวอล, ยาน้ำ","1,011","700","2,288","50,019.60"
"มหาหิงคุ์, ยาน้ำ","1,003","910","1,092","22,634.50"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","1,001","802","1,970","34,857.50"
"ว่านหางจระเข้, เจล","986","674","7,537","311,296,242.05"
"ยาที่ปรุงสำหรับผู้ป่วยเฉพาะราย, อื่นๆ","973","691","7,736","410,118.50"
"ไพลจีซาล , ครีม","889","534","1,119","60,903.25"
"ตรีผลา / พิกัดตรีผลา , ยาแคปซูล","883","630","21,181","45,140.38"
"เบญจกูล / พิกัดเบญจกูล, ยาแคปซูล","851","658","14,830","286,326.02"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","809","644","2,106","21,320.00"
"หอมนวโกฐ, ยาผง","808","620","9,660","120,141.14"
"ประสะน้ำนม 1, ยาเม็ด","806","303","38,486","85,626.75"
"ประสะน้ำนม ทีเอฟดี, ยาแคปซูล","798","522","18,997","31,652.00"
"ธาตุบรรจบ , ยาผง","769","570","13,448","718,052.27"
"สเปรย์กระดูกไก่ดำ-ขัดมอญ, ยาน้ำ","734","357","892","107,040.00"
"แก้น้ำนมพิการ(รพ.กาบเชิง), ยาผง","682","445","4,551","58,824.50"
"กล้วย, ยาลูกกลอน","677","486","12,475","32,360.25"
"หลังคลอด (รพ.กาบเชิง), ยาต้ม","669","428","3,151","66,810.00"
"ลูกประคบสมุนไพรร้านหมอยาไทย 101, ยาประคบ","659","401","1,132","59,522.50"
"จันทน์ลีลา, ยาแคปซูล","659","525","16,892","41,550.65"
"บรรเทาริดสีดวงทวารหนักเพชรสังฆาตชนิดแคปซูล, ยาแคปซูล","656","491","34,873","1,204,343.37"
"ขี้ผึ้งไพล  สูตรตำรับที่ 2, ขี้ผึ้ง","637","450","844","24,380.00"
"เซ็นนาฮอฟ, ยาแคปซูล","627","272","12,656","18,984.30"
"ชุมเห็ดเทศ, ยาชง","556","398","17,092","32,848.65"
"แก้ไอมะแว้งน้ำดำ, ยาน้ำ","552","414","956","39,577.22"
"แก้ไอผสมมะนาวดอง, ยาลูกกลอน","551","427","961","12,247.00"
"แก้ไอมะแว้ง , ยาลูกกลอน","540","445","1,389","108,406.71"
"แคปซูลเถาวัลย์เปรียง ตราธงทอง, ยาแคปซูล","537","397","14,696","21,661.93"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 1, ยาลูกกลอน","504","370","9,911","15,617.50"
"แก้ไอมะขามป้อม ตราปาริฉัตร, ยาน้ำ","499","461","819","14,683.00"
"มะระขี้นก, ยาแคปซูล","482","386","21,522","243,719.12"
"ปราบชมพูทวีป, ยาลูกกลอน","481","335","9,051","220,548.00"
"บรรเทาอาการไอมะขามป้อม , ยาเม็ด","477","403","1,354","22,360.00"
"ผสมเพชรสังฆาต สูตรตำรับที่ 2, ยาแคปซูล","447","341","23,886","47,864.39"
"หลังคลอด (รพ.ตระการพืชผล), ยาต้ม","435","337","2,913","101,177.00"
"หลังคลอด, ยาต้ม","429","234","467","21,468.00"
"ครีมกะเม็ง, ครีม","420","318","773","56,421.00"
"ยาน้ำแก้ไอมะขามป้อม ตราเอมบริโคล, ยาน้ำ","408","307","814","13,771.40"
"แอนดิแลค, ยาแคปซูล","397","152","12,462","18,693.00"
