"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11469  :  โรงพยาบาลเลิดสิน","350,711,093.36","348,624,440.86","2,086,652.50","0.59","93,387,296.75","92,860,332.25","526,964.50","0.56","91,834,174.60","91,342,680.60","491,494.00","0.54","82,193,482.51","81,601,014.01","592,468.50","0.72","83,296,139.50","82,820,414.00","475,725.50","0.57"
"11470  :  โรงพยาบาลนพรัตนราชธานี","42,518,562.25","42,518,562.25","0.00","0.00","13,561,485.50","13,561,485.50","0.00","0.00","7,978,355.00","7,978,355.00","0.00","0.00","8,265,465.25","8,265,465.25","0.00","0.00","12,713,256.50","12,713,256.50","0.00","0.00"
"11471  :  โรงพยาบาลสงฆ์","3,474,495,005.00","3,445,891,704.00","28,603,301.00","0.82","1,014,499,408.00","1,008,273,269.00","6,226,139.00","0.61","499,829,151.00","494,912,837.00","4,916,314.00","0.98","634,919,986.00","629,739,917.00","5,180,069.00","0.82","1,325,246,460.00","1,312,965,681.00","12,280,779.00","0.93"
"11472  :  โรงพยาบาลราชวิถี","794,794,782.00","791,633,464.50","3,161,317.50","0.40","223,751,246.50","222,824,074.00","927,172.50","0.41","217,388,950.50","216,462,652.50","926,298.00","0.43","187,899,780.75","187,198,415.25","701,365.50","0.37","165,754,804.25","165,148,322.75","606,481.50","0.37"
"11477  :  โรงพยาบาลทหารผ่านศึก","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","3,230,907.00","3,230,907.00","0.00","0.00","0.00","0.00","0.00","0.00","99,854.00","99,854.00","0.00","0.00","191,914.00","191,914.00","0.00","0.00","2,939,139.00","2,939,139.00","0.00","0.00"
"11537  :  โรงพยาบาลกลาง","43,552,178,889.00","43,552,051,819.50","127,069.50","0.00","10,005,513,531.25","10,005,484,859.25","28,672.00","0.00","10,605,351,805.75","10,605,327,822.75","23,983.00","0.00","11,638,701,909.00","11,638,666,927.50","34,981.50","0.00","11,302,611,643.00","11,302,572,210.00","39,433.00","0.00"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","1,177,563,074.50","1,177,563,074.50","0.00","0.00","1,177,563,074.50","1,177,563,074.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11539  :  โรงพยาบาลตากสิน","38,155,492,080.75","38,155,413,116.25","78,964.50","0.00","8,660,248,349.00","8,660,232,861.50","15,487.50","0.00","9,655,963,384.00","9,655,952,006.50","11,377.50","0.00","9,819,980,777.00","9,819,949,349.00","31,428.00","0.00","10,019,299,570.75","10,019,278,899.25","20,671.50","0.00"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","5,662,865,399.75","5,654,342,902.75","8,522,497.00","0.15","1,484,210,690.00","1,481,525,044.00","2,685,646.00","0.18","1,508,933,495.50","1,506,482,404.50","2,451,091.00","0.16","1,964,000,894.25","1,961,907,024.25","2,093,870.00","0.11","705,720,320.00","704,428,430.00","1,291,890.00","0.18"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11546  :  โรงพยาบาลบี เอ็น เอช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11552  :  โรงพยาบาลมเหสักข์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
