"โรงพยาบาล","การคัดกรองประชากร 35 ปีขึ้นไปที่ไม่ป่วยด้วยโรคความดันโลหิตสูง","การเข้าถึงบริการของผู้ป่วยโรคความดันโลหิตสูง","ผู้รับบริการผู้ป่วยนอกด้วยโรคความดันโลหิตสูง"
"เป้าหมาย(คน)","ผลงาน(คน)","ร้อยละ","จำนวนผู้ป่วยที่ขึ้นทะเบียนในเขตรับผิดชอบ(คน)","ในเขตรับผิดชอบ(คน)","นอกเขตรับผิดชอบ(คน)","รวม(คน)","ร้อยละ","คน","ครั้ง"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11469  :  โรงพยาบาลเลิดสิน","0","0","0.00","0","0","0","0","0.00","14,472","32,517"
"11470  :  โรงพยาบาลนพรัตนราชธานี","0","0","0.00","0","0","0","0","0.00","3,637","6,791"
"11471  :  โรงพยาบาลสงฆ์","0","0","0.00","0","0","0","0","0.00","414","462"
"11472  :  โรงพยาบาลราชวิถี","0","0","0.00","0","0","0","0","0.00","21,636","50,544"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0.00","0","0","0","0","0.00","0","0"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0.00","0","0","0","0","0.00","0","0"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0.00","0","0","0","0","0.00","0","0"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0.00","0","0","0","0","0.00","0","0"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0.00","0","0","0","0","0.00","0","0"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0.00","0","0","0","0","0.00","0","0"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0.00","0","0","0","0","0.00","0","0"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11537  :  โรงพยาบาลกลาง","0","0","0.00","0","0","0","0","0.00","14,758","34,239"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0.00","0","0","0","0","0.00","0","0"
"11539  :  โรงพยาบาลตากสิน","0","0","0.00","0","0","0","0","0.00","18,944","61,603"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0.00","0","0","0","0","0.00","5,853","8,978"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0.00","0","0","0","0","0.00","0","0"
