"รหัส","ชื่อโรงพยาบาล","อายุ(ปี)","ระดับการศึกษา","รวม"
"04007","โรงพยาบาลซับใหญ่ จ.ชัยภูมิ","-","-","0"
"06009","โรงพยาบาลแม่ตื่น จ.เชียงใหม่","-","-","0"
"09192","โรงพยาบาลเกาะเต่า จ.สุราษฎร์ธานี","-","-","0"
"10660","โรงพยาบาลพระนครศรีอยุธยา จ.พระนครศรีอยุธยา","-","-","0"
"10661","โรงพยาบาลสระบุรี จ.สระบุรี","14","ไม่ระบุ/ไม่ทราบ","1"
"10662","โรงพยาบาลชลบุรี จ.ชลบุรี","14","ประถมศึกษา","1"
"10662","โรงพยาบาลชลบุรี จ.ชลบุรี","14","ไม่ระบุ/ไม่ทราบ","1"
"10663","โรงพยาบาลระยอง จ.ระยอง","14","-","1"
"10664","โรงพยาบาลพระปกเกล้า จ.จันทบุรี","-","-","0"
"10665","โรงพยาบาลเจ้าพระยาอภัยภูเบศร จ.ปราจีนบุรี","-","-","0"
"10666","โรงพยาบาลมหาราชนครราชสีมา จ.นครราชสีมา","-","-","0"
"10667","โรงพยาบาลบุรีรัมย์ จ.บุรีรัมย์","-","-","0"
"10668","โรงพยาบาลสุรินทร์ จ.สุรินทร์","14","ไม่ได้รับการศึกษา","1"
"10669","โรงพยาบาลสรรพสิทธิประสงค์ จ.อุบลราชธานี","13","ไม่ระบุ/ไม่ทราบ","1"
"10670","โรงพยาบาลขอนแก่น จ.ขอนแก่น","-","-","0"
"10671","โรงพยาบาลอุดรธานี จ.อุดรธานี","-","-","0"
"10672","โรงพยาบาลลำปาง จ.ลำปาง","-","-","0"
"10673","โรงพยาบาลอุตรดิตถ์ จ.อุตรดิตถ์","-","-","0"
"10674","โรงพยาบาลเชียงรายประชานุเคราะห์ จ.เชียงราย","14","ไม่ระบุ/ไม่ทราบ","1"
"10675","โรงพยาบาลสวรรค์ประชารักษ์ จ.นครสวรรค์","14","ไม่ได้รับการศึกษา","1"
"10676","โรงพยาบาลพุทธชินราช จ.พิษณุโลก","13","ไม่ได้รับการศึกษา","1"
"10676","โรงพยาบาลพุทธชินราช จ.พิษณุโลก","14","ไม่ได้รับการศึกษา","1"
"10677","โรงพยาบาลราชบุรี จ.ราชบุรี","-","-","0"
"10678","โรงพยาบาลเจ้าพระยายมราช จ.สุพรรณบุรี","-","-","0"
"10679","โรงพยาบาลนครปฐม จ.นครปฐม","-","-","0"
"10680","โรงพยาบาลมหาราชนครศรีธรรมราช จ.นครศรีธรรมราช","-","-","0"
"10681","โรงพยาบาลสุราษฎร์ธานี จ.สุราษฎร์ธานี","-","-","0"
"10682","โรงพยาบาลหาดใหญ่ จ.สงขลา","-","-","0"
"10683","โรงพยาบาลตรัง จ.ตรัง","-","-","0"
"10684","โรงพยาบาลยะลา จ.ยะลา","-","-","0"
"10685","โรงพยาบาลสมุทรปราการ จ.สมุทรปราการ","14","ประถมศึกษา","2"
"10686","โรงพยาบาลพระนั่งเกล้า จ.นนทบุรี","14","-","2"
"10687","โรงพยาบาลปทุมธานี จ.ปทุมธานี","-","-","0"
"10688","โรงพยาบาลเสนา จ.พระนครศรีอยุธยา","-","-","0"
"10689","โรงพยาบาลอ่างทอง จ.อ่างทอง","-","-","0"
"10690","โรงพยาบาลพระนารายณ์มหาราช จ.ลพบุรี","14","ประถมศึกษา","1"
"10690","โรงพยาบาลพระนารายณ์มหาราช จ.ลพบุรี","14","มัธยมศึกษา (ม.1-ม.6) หรือ ปวช.","1"
"10691","โรงพยาบาลบ้านหมี่ จ.ลพบุรี","-","-","0"
"10692","โรงพยาบาลสิงห์บุรี จ.สิงห์บุรี","-","-","0"
"10693","โรงพยาบาลอินทร์บุรี จ.สิงห์บุรี","-","-","0"
"10694","โรงพยาบาลชัยนาทนเรนทร จ.ชัยนาท","-","-","0"
"10695","โรงพยาบาลพระพุทธบาท จ.สระบุรี","-","-","0"
"10696","โรงพยาบาลตราด จ.ตราด","-","-","0"
"10697","โรงพยาบาลพุทธโสธร จ.ฉะเชิงเทรา","14","ประถมศึกษา","1"
"10698","โรงพยาบาลนครนายก จ.นครนายก","12","ไม่ได้รับการศึกษา","1"
"10699","โรงพยาบาลสมเด็จพระยุพราชสระแก้ว จ.สระแก้ว","-","-","0"
"10700","โรงพยาบาลศรีสะเกษ จ.ศรีสะเกษ","8","ไม่ได้รับการศึกษา","1"
"10701","โรงพยาบาลยโสธร จ.ยโสธร","-","-","0"
"10702","โรงพยาบาลชัยภูมิ จ.ชัยภูมิ","-","-","0"
"10703","โรงพยาบาลอำนาจเจริญ จ.อำนาจเจริญ","13","ไม่ระบุ/ไม่ทราบ","1"
"10704","โรงพยาบาลหนองบัวลำภู จ.หนองบัวลำภู","-","-","0"
"10705","โรงพยาบาลเลย จ.เลย","-","-","0"
"10706","โรงพยาบาลหนองคาย จ.หนองคาย","-","-","0"
"10707","โรงพยาบาลมหาสารคาม จ.มหาสารคาม","-","-","0"
"10708","โรงพยาบาลร้อยเอ็ด จ.ร้อยเอ็ด","-","-","0"
"10709","โรงพยาบาลกาฬสินธุ์ จ.กาฬสินธุ์","-","-","0"
"10710","โรงพยาบาลสกลนคร จ.สกลนคร","-","-","0"
"10711","โรงพยาบาลนครพนม จ.นครพนม","-","-","0"
"10712","โรงพยาบาลมุกดาหาร จ.มุกดาหาร","-","-","0"
"10713","โรงพยาบาลนครพิงค์ จ.เชียงใหม่","-","-","0"
"10714","โรงพยาบาลลำพูน จ.ลำพูน","14","มัธยมศึกษา (ม.1-ม.6) หรือ ปวช.","1"
"10715","โรงพยาบาลแพร่ จ.แพร่","-","-","0"
"10716","โรงพยาบาลน่าน จ.น่าน","-","-","0"
"10717","โรงพยาบาลพะเยา จ.พะเยา","-","-","0"
