"โรงพยาบาล","จำนวนหญิงตั้งครรภ์อายุครรภ์ 15-25 สัปดาห์ ได้บริการฝากครรภ์ (workload คนต่อหน่วยบริการ)","วัด CLworkload(ครั้ง)","ความครอบคลุมการได้รับบริการวัด CL เมื่ออายุครรภ์ 15-25 สัปดาห์ตัดความซ้ำซ้อนด้วยCID,First ANC (คน)"
"ฝากครรภ์ทั้งหมด","จำนวนการวัด CL ตัดความซ้ำซ้อนด้วย CID,First CL","ฝากครรภ์ทั้งหมด","ได้รับบริการการวัด CL","ร้อยละ"
"ทำเองไม่ซ้ำกับหน่วยอื่น","ร้อยละ","ทำที่หน่วยบริการอื่น"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0.00","0","0","0","0","0.00"
"11469  :  โรงพยาบาลเลิดสิน","0","0","0.00","0","0","0","0","0.00"
"11470  :  โรงพยาบาลนพรัตนราชธานี","99","0","0.00","0","0","99","0","0.00"
"11471  :  โรงพยาบาลสงฆ์","0","0","0.00","0","0","0","0","0.00"
"11472  :  โรงพยาบาลราชวิถี","794","0","0.00","0","0","794","0","0.00"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0.00","0","0","0","0","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0.00","0","0","0","0","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0.00","0","0","0","0","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0.00","0","0","0","0","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0.00","0","0","0","0","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0.00","0","0","0","0","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0.00","0","0","0","0","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0.00","0","0","0","0","0.00"
"11537  :  โรงพยาบาลกลาง","0","0","0.00","0","0","0","0","0.00"
