"โรงพยาบาล","รวม","ข้าราชการรัฐวิสาหกิจ","ประกันสังคม","UC ทั้งหมด","ต่างด้าว","บันทึกรหัสสิทธิ ไม่ตรง รหัสมาตรฐาน"
"คน","ครั้ง","ครั้ง:คน","คน","ครั้ง","ครั้ง:คน","คน","ครั้ง","ครั้ง:คน","คน","ครั้ง","ครั้ง:คน","คน","ครั้ง","ครั้ง:คน","คน","ครั้ง","ครั้ง:คน"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11469  :  โรงพยาบาลเลิดสิน","64,916","139,482","2.15","3,948","9,239","2.34","37,448","74,837","2.00","1,303","2,397","1.84","2,017","3,867","1.92","14,065","33,032","2.35"
"11470  :  โรงพยาบาลนพรัตนราชธานี","18,399","48,392","2.63","2,228","6,709","3.01","5,751","14,838","2.58","5,098","14,297","2.80","485","927","1.91","0","0","0.00"
"11471  :  โรงพยาบาลสงฆ์","2,445","4,981","2.04","0","0","0.00","593","1,108","1.87","1,714","3,277","1.91","0","0","0.00","3","6","2.00"
"11472  :  โรงพยาบาลราชวิถี","189,065","663,428","3.51","19,227","58,161","3.02","33,069","90,727","2.74","36,609","111,411","3.04","1,588","4,442","2.80","2,126","5,075","2.39"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","59,312","133,914","2.26","83","162","1.95","261","314","1.20","797","1,211","1.52","0","0","0.00","0","0","0.00"
"11537  :  โรงพยาบาลกลาง","109,974","433,613","3.94","265","2,452","9.25","1,322","10,641","8.05","229","1,730","7.55","6","73","12.17","0","0","0.00"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11539  :  โรงพยาบาลตากสิน","106,120","376,573","3.55","234","1,540","6.58","461","1,896","4.11","2,306","11,232","4.87","47","121","2.57","0","0","0.00"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","35,587","98,911","2.78","29","138","4.76","32","157","4.91","108","373","3.45","0","0","0.00","0","0","0.00"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","121,879","406,379","3.33","306","1,330","4.35","240","795","3.31","2,586","9,280","3.59","14","18","1.29","0","0","0.00"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
