"โรงพยาบาล","A08*","A084","A09*","A090","J*","J101","J189"
"2561","2562","2563","2561","2562","2563","2561","2562","2563","2561","2562","2563","2561","2562","2563","2561","2562","2563","2561","2562","2563"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11469  :  โรงพยาบาลเลิดสิน","0","0","258","0","0","158","0","0","4,537","0","0","561","0","0","34,347","0","0","39","0","0","457"
"11470  :  โรงพยาบาลนพรัตนราชธานี","0","8","85","0","2","10","317","955","858","7","74","92","2,104","6,334","6,065","2","27","45","106","371","278"
"11471  :  โรงพยาบาลสงฆ์","0","1","2","0","0","0","0","384","387","0","1","0","0","4,749","3,787","0","47","13","0","29","27"
"11472  :  โรงพยาบาลราชวิถี","67","30","25","9","5","5","10,674","7,772","6,187","922","842","612","61,772","62,623","59,349","74","127","117","4,025","3,963","4,414"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","258","186","0","11","4","0","8,309","6,442","0","895","895","0","77,592","77,139","0","198","266","0","1,282","1,295","0"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","288","597","173","132","113","40","1,186","2,114","942","165","252","68","9,212","22,055","10,370","2","168","248","148","255","152"
"11537  :  โรงพยาบาลกลาง","3,668","1,268","41","3","0","0","2,622","1,334","39","164","213","4","44,534","23,928","881","231","277","3","3,211","1,852","184"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","2","0","0","2","0","0","2,907","0","0","204","0","0","9,823","0","0","89","0","0","334"
"11539  :  โรงพยาบาลตากสิน","1,016","417","27","76","10","0","6,013","2,528","156","515","190","87","51,323","23,435","952","190","158","2","1,251","379","70"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","1","111","0","0","47","0","119","1,269","0","12","151","0","657","7,812","0","1","40","0","26","152"
