"โรงพยาบาล","จำนวน(ราย)"
"บำบัดเหล้า(F10.0 - F10.9)","บำบัดบุหรี่(F17.1 - 17.2)","บำบัดบุหรี่(F17.1 - 17.2 + Z508 1 ครั้ง)","บำบัดบุหรี่(F17.1 - 17.2 + Z508 2 ครั้งขึ้นไป)"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0","0"
"11469  :  โรงพยาบาลเลิดสิน","0","0","0","0"
"11470  :  โรงพยาบาลนพรัตนราชธานี","217","47","0","0"
"11471  :  โรงพยาบาลสงฆ์","0","0","0","0"
"11472  :  โรงพยาบาลราชวิถี","318","24","0","0"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0","0"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0","0"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0","0"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0","0"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0","0"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0","0"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","237","51","0","0"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0","0"
"11537  :  โรงพยาบาลกลาง","0","0","0","0"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0","0"
"11539  :  โรงพยาบาลตากสิน","0","0","0","0"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0","0"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0","0"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0","0"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0","0"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0","0"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0","0"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","10","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","18","0","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
