"โรงพยาบาล","จำนวน(ราย)"
"บำบัดเหล้า(F10.0 - F10.9)","บำบัดบุหรี่(F17.1 - 17.2)","บำบัดบุหรี่(F17.1 - 17.2 + Z508 1 ครั้ง)","บำบัดบุหรี่(F17.1 - 17.2 + Z508 2 ครั้งขึ้นไป)"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0","0"
"11469  :  โรงพยาบาลเลิดสิน","93","17","0","0"
"11470  :  โรงพยาบาลนพรัตนราชธานี","33","5","0","0"
"11471  :  โรงพยาบาลสงฆ์","0","1","0","0"
"11472  :  โรงพยาบาลราชวิถี","389","39","0","0"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0","0"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0","0"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0","0"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0","0"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0","0"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0","0"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0","0"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0","0"
"11537  :  โรงพยาบาลกลาง","107","1","0","0"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","15","0","0","0"
"11539  :  โรงพยาบาลตากสิน","136","20","0","0"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","47","7","0","0"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","61","25","0","0"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0","0"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0","0"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","688","797","0","0"
