"โรงพยาบาล","ตค. ถึง มีค.","เมย. ถึง กย."
"B","A","ร้อยละ","B","A","ร้อยละ"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0.00","0","0","0.00"
"11469  :  โรงพยาบาลเลิดสิน","796","3","0.38","478","0","0.00"
"11470  :  โรงพยาบาลนพรัตนราชธานี","0","0","0.00","0","0","0.00"
"11471  :  โรงพยาบาลสงฆ์","0","0","0.00","0","0","0.00"
"11472  :  โรงพยาบาลราชวิถี","0","0","0.00","0","0","0.00"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0.00","0","0","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0.00","0","0","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0.00","0","0","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0.00","0","0","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0.00","0","0","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0.00","0","0","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0.00","0","0","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0.00","0","0","0.00"
"11537  :  โรงพยาบาลกลาง","0","0","0.00","0","0","0.00"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0.00","0","0","0.00"
"11539  :  โรงพยาบาลตากสิน","0","0","0.00","0","0","0.00"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0.00","0","0","0.00"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0.00","0","0","0.00"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0.00","0","0","0.00"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0.00","0","0","0.00"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0.00","0","0","0.00"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0.00","0","0","0.00"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","371","0","0.00","275","0","0.00"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0.00"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0.00"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0.00"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","265","0","0.00","175","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","1","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","4,390","5","0.11","2,704","4","0.15"
"10752  :  โรงพยาบาลบางบ่อ","1,817","1","0.06","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","3,940","2","0.05","1,735","2","0.12"
"10754  :  โรงพยาบาลบางจาก","2,858","117","4.09","1,958","1","0.05"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","2,931","1,449","49.44","1,638","1,369","83.58"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","495","0","0.00","79","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","2,609","0","0.00","109","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","381","0","0.00","501","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","793","146","18.41","154","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","1,661","9","0.54","1,397","9","0.64"
"10756  :  โรงพยาบาลบางกรวย","1,668","3","0.18","566","54","9.54"
"10757  :  โรงพยาบาลบางใหญ่","3,225","0","0.00","1,072","2","0.19"
"10758  :  โรงพยาบาลบางบัวทอง","3,293","1","0.03","2,542","2","0.08"
"10759  :  โรงพยาบาลไทรน้อย","1,861","6","0.32","1,303","7","0.54"
"10760  :  โรงพยาบาลปากเกร็ด","2,506","6","0.24","628","4","0.64"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","467","0","0.00","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","1,510","3","0.20","167","1","0.60"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","595","0","0.00","482","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","3,437","11","0.32","1,958","7","0.36"
"10761  :  โรงพยาบาลคลองหลวง","2,163","28","1.29","0","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","1,881","1,501","79.80","32","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","2,892","639","22.10","1,158","641","55.35"
"10764  :  โรงพยาบาลหนองเสือ","1,695","1,387","81.83","1,069","937","87.65"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","2,404","0","0.00","1,769","1,263","71.40"
"10766  :  โรงพยาบาลลำลูกกา","1","0","0.00","1","0","0.00"
"10767  :  โรงพยาบาลสามโคก","1,202","626","52.08","909","283","31.13"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","3,320","4","0.12","2,535","2","0.08"
"10768  :  โรงพยาบาลท่าเรือ","2,755","0","0.00","1,174","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","761","0","0.00","126","115","91.27"
"10770  :  โรงพยาบาลบางไทร","854","0","0.00","385","239","62.08"
"10771  :  โรงพยาบาลบางบาล","1,228","0","0.00","216","1","0.46"
"10772  :  โรงพยาบาลบางปะอิน","2,741","6","0.22","2,105","928","44.09"
"10773  :  โรงพยาบาลบางปะหัน","2,273","3","0.13","1,768","1","0.06"
"10774  :  โรงพยาบาลผักไห่","1,571","0","0.00","220","0","0.00"
"10775  :  โรงพยาบาลภาชี","1,389","2","0.14","917","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","1,215","11","0.91","904","406","44.91"
"10777  :  โรงพยาบาลวังน้อย","2,334","1","0.04","345","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","834","0","0.00","343","0","0.00"
"10779  :  โรงพยาบาลอุทัย","1,077","1","0.09","133","1","0.75"
"10780  :  โรงพยาบาลมหาราช","592","1","0.17","16","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","387","0","0.00","125","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","1,113","0","0.00","900","0","0.00"
"10782  :  โรงพยาบาลไชโย","850","1","0.12","504","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","1,119","1","0.09","299","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","1,574","3","0.19","707","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","1,114","0","0.00","798","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","2,910","1,350","46.39","1,476","801","54.27"
"10788  :  โรงพยาบาลสามโก้","764","159","20.81","556","160","28.78"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","3,588","28","0.78","1,019","10","0.98"
"10691  :  โรงพยาบาลบ้านหมี่","1,365","1","0.07","527","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","131","0","0.00","9","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","1,934","435","22.49","821","437","53.23"
"10791  :  โรงพยาบาลชัยบาดาล","2,541","4","0.16","820","1","0.12"
"10792  :  โรงพยาบาลท่าวุ้ง","924","2","0.22","254","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","1,359","781","57.47","795","1","0.13"
"10794  :  โรงพยาบาลสระโบสถ์","897","4","0.45","431","4","0.93"
"10795  :  โรงพยาบาลโคกเจริญ","911","0","0.00","387","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","516","3","0.58","20","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","1,789","225","12.58","2","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","5,225","0","0.00","4,791","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","1,450","496","34.21","889","235","26.43"
"10798  :  โรงพยาบาลบางระจัน","507","0","0.00","79","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","1,190","299","25.13","660","259","39.24"
"10800  :  โรงพยาบาลพรหมบุรี","590","1","0.17","319","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","758","2","0.26","137","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","2,282","9","0.39","3,548","6","0.17"
"10802  :  โรงพยาบาลมโนรมย์","1,147","0","0.00","433","154","35.57"
"10803  :  โรงพยาบาลวัดสิงห์","256","0","0.00","115","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","378","2","0.53","225","2","0.89"
"10805  :  โรงพยาบาลสรรคบุรี","1,742","2","0.11","1,657","0","0.00"
"10806  :  โรงพยาบาลหันคา","2,976","0","0.00","1,545","1","0.06"
"27974  :  โรงพยาบาลหนองมะโมง","744","0","0.00","70","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","593","0","0.00","276","1","0.36"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","0","0","0.00","1,330","0","0.00"
"10808  :  โรงพยาบาลหนองแค","1,837","4","0.22","1,511","5","0.33"
"10809  :  โรงพยาบาลวิหารแดง","348","0","0.00","329","0","0.00"
