"โรงพยาบาล","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"เด็ก 3-5 ปีทั้งหมด[B1]","เด็ก 3-5 ปีที่วัดความยาว[B2]","ความครอบคลุม[ร้อยละ][B2/B1]x100","เตี้ย[A1]","ร้อยละ","ค่อนข้างเตี้ย[A2]","ร้อยละ","สูงตามเกณฑ์[A3]","ร้อยละ","ค่อนข้างสูง[A4]","ร้อยละ","สูง[A5]","ร้อยละ","เด็ก 3-5 ปีทั้งหมด[B1]","เด็ก 3-5 ปีที่วัดความยาว[B2]","ความครอบคลุม[ร้อยละ][B2/B1]x100","เตี้ย[A1]","ร้อยละ","ค่อนข้างเตี้ย[A2]","ร้อยละ","สูงตามเกณฑ์[A3]","ร้อยละ","ค่อนข้างสูง[A4]","ร้อยละ","สูง[A5]","ร้อยละ","เด็ก 3-5 ปีทั้งหมด[B1]","เด็ก 3-5 ปีที่วัดความยาว[B2]","ความครอบคลุม[ร้อยละ][B2/B1]x100","เตี้ย[A1]","ร้อยละ","ค่อนข้างเตี้ย[A2]","ร้อยละ","สูงตามเกณฑ์[A3]","ร้อยละ","ค่อนข้างสูง[A4]","ร้อยละ","สูง[A5]","ร้อยละ","เด็ก 3-5 ปีทั้งหมด[B1]","เด็ก 3-5 ปีที่วัดความยาว[B2]","ความครอบคลุม[ร้อยละ][B2/B1]x100","เตี้ย[A1]","ร้อยละ","ค่อนข้างเตี้ย[A2]","ร้อยละ","สูงตามเกณฑ์[A3]","ร้อยละ","ค่อนข้างสูง[A4]","ร้อยละ","สูง[A5]","ร้อยละ"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11469  :  โรงพยาบาลเลิดสิน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11470  :  โรงพยาบาลนพรัตนราชธานี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11471  :  โรงพยาบาลสงฆ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11472  :  โรงพยาบาลราชวิถี","1","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
