"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"รวม I60-I69","I60-I62","I63","I64-I69","รวม I60-I69","I60-I62","I63","I64-I69","รวม I60-I69","I60-I62","I63","I64-I69","รวม I60-I69","I60-I62","I63","I64-I69","รวม I60-I69","I60-I62","I63","I64-I69"
"B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ","B","A","ร้อยละ"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11469  :  โรงพยาบาลเลิดสิน","297","26","8.75","89","19","21.35","153","7","4.58","55","0","0.00","102","12","11.76","35","10","28.57","57","2","3.51","10","0","0.00","86","4","4.65","24","2","8.33","42","2","4.76","20","0","0.00","69","7","10.14","23","5","21.74","33","2","6.06","13","0","0.00","40","3","7.50","7","2","28.57","21","1","4.76","12","0","0.00"
"11470  :  โรงพยาบาลนพรัตนราชธานี","98","7","7.14","27","6","22.22","69","1","1.45","2","0","0.00","33","2","6.06","5","1","20.00","27","1","3.70","1","0","0.00","32","1","3.13","6","1","16.67","25","0","0.00","1","0","0.00","13","0","0.00","5","0","0.00","8","0","0.00","0","0","0.00","20","4","20.00","11","4","36.36","9","0","0.00","0","0","0.00"
"11471  :  โรงพยาบาลสงฆ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11472  :  โรงพยาบาลราชวิถี","559","75","13.42","196","53","27.04","302","20","6.62","61","2","3.28","178","18","10.11","50","12","24.00","110","6","5.45","18","0","0.00","65","8","12.31","18","5","27.78","45","3","6.67","2","0","0.00","166","34","20.48","77","24","31.17","73","8","10.96","16","2","12.50","150","15","10.00","51","12","23.53","74","3","4.05","25","0","0.00"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
